,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,65.93,53.54,36.75,30.79,28.66,26.9,31.64,25.25,31.15,21.7
1,Short-Term Investments,-,-,-,-,-,-,1.53,-,1.39,-
2,Cash & Short-Term Investments,65.93,53.54,36.75,30.79,28.66,26.9,33.17,25.25,32.54,21.7
3,Cash Growth,79.43%,73.89%,28.22%,14.46%,-13.61%,6.55%,1.95%,16.33%,7.73%,-19.20%
4,Accounts Receivable,15.5,17.51,17.42,12.76,12.05,9.92,11.66,8.51,7,6.98
5,Other Receivables,0.15,0.02,0.05,0.07,0.09,0.02,0.01,0.1,0.08,-
6,Receivables,15.64,17.53,17.47,12.83,12.14,9.95,11.67,8.61,7.08,6.98
7,Inventory,16.16,13.13,16.94,24.83,32.33,27.13,18.62,15.82,12.51,11.28
8,Prepaid Expenses,4.69,2.7,4.97,2.82,2.63,3.39,0.5,2.74,0.81,1.91
9,Other Current Assets,2.24,2.16,2.05,2.05,2.03,2.01,2.98,2,2,-
10,Total Current Assets,104.67,89.05,78.17,73.31,77.8,69.37,66.94,54.42,54.94,41.86
11,"Property, Plant & Equipment",3.37,3.56,4.52,2.59,3.31,3.46,3.31,2.5,3.11,3.77
12,Other Intangible Assets,1.86,2,2.06,1.72,1.81,1.51,1.34,1.13,1.13,1.1
13,Long-Term Deferred Tax Assets,0.13,0.11,0.11,0.13,0.11,0.11,0.12,0.08,0.13,0.04
14,Other Long-Term Assets,0.1,0.36,0.42,0.22,0.27,-,0.03,-,-,-
15,Total Assets,110.11,95.08,85.28,77.97,83.29,74.45,71.74,58.13,59.31,46.78
16,Accounts Payable,4.32,1,2.3,1.27,4.35,3.42,3.26,2.46,2.49,1.24
17,Accrued Expenses,2.47,1.32,1.75,1.52,2.11,1.4,1.65,1.25,1.37,1.21
18,Short-Term Debt,8.52,4.3,1.18,5.89,6.47,7.9,4.64,1.37,3.38,0.39
19,Current Portion of Leases,1.6,1.43,1.49,0.99,1.57,1.45,1.16,0.55,1.05,1.04
20,Current Income Taxes Payable,2.7,4.83,2.25,2.86,5.18,3.81,4.28,5.18,3.49,2.67
21,Current Unearned Revenue,20.88,18.74,17.64,15.68,15.11,12.93,11.68,9.3,8.54,6.93
22,Other Current Liabilities,0.63,0.8,0.64,0.38,0.44,0.8,0.73,0.88,0.59,1.02
23,Total Current Liabilities,41.12,32.42,27.24,28.59,35.23,31.71,27.39,20.99,20.91,14.5
24,Long-Term Leases,0.98,1.1,1.81,0.62,0.67,0.82,1.22,0.03,0.07,0.57
25,Long-Term Unearned Revenue,11.4,9.13,5.62,4.48,3.75,3.18,2.82,2.62,2.34,2.04
26,Long-Term Deferred Tax Liabilities,0.32,0.36,0.38,0.34,0.35,0.31,0.23,0.12,0.14,0.14
27,Total Liabilities,53.81,43.02,35.05,34.02,40,36.01,31.66,23.76,23.47,17.26
28,Common Stock,1.42,1.42,1.42,1.42,1.41,1.41,1.41,1.39,1.38,1.36
29,Additional Paid-In Capital,24.88,24.17,24.19,23.96,23.59,22.89,22.14,20.59,19.59,17.8
30,Retained Earnings,29.49,25.85,24.15,18.08,17.95,13.81,16,11.5,13.84,8.83
31,Comprehensive Income & Other,0.51,0.63,0.47,0.5,0.34,0.34,0.54,0.88,1.03,1.54
32,Shareholders' Equity,56.3,52.06,50.22,43.96,43.29,38.44,40.08,34.36,35.84,29.52
33,Total Liabilities & Equity,110.11,95.08,85.28,77.97,83.29,74.45,71.74,58.13,59.31,46.78
34,Total Debt,11.1,6.83,4.47,7.5,8.72,10.17,7.02,1.95,4.5,2
35,Net Cash (Debt),54.84,46.71,32.27,23.29,19.94,16.73,26.15,23.29,28.04,19.7
36,Net Cash Growth,69.93%,100.56%,61.82%,39.21%,-23.74%,-28.18%,-6.74%,18.23%,1.17%,-16.87%
37,Net Cash Per Share,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02
38,Filing Date Shares Outstanding,1102,1101,1100,1099,1098,1094,1091,1082,1072,1052
39,Total Common Shares Outstanding,1102,1101,1100,1099,1098,1094,1091,1082,1072,1052
40,Working Capital,63.55,56.63,50.93,44.73,42.56,37.66,39.56,33.43,34.03,27.36
41,Book Value Per Share,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03
42,Tangible Book Value,54.44,50.06,48.16,42.24,41.48,36.93,38.75,33.24,34.71,28.42
43,Tangible Book Value Per Share,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03
44,Buildings,-,-,-,-,-,-,-,-,1.23,-
45,Machinery,-,-,5.63,-,4.91,-,4.24,-,3.76,-
