,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,185.2,186.37,161.83,118.47,143.33,157.1,137.67,81.43,101.83,98.26,122.48,86.83,119.54,158.99,144.11,101.64,147.76,129.71
1,Other Revenue,-,-0.2,0.2,-,0.57,-0.2,0.2,-,5.3,-3.13,3.13,-,1.99,-0.89,0.89,-,3.57,0.18
2,Revenue,185.2,186.18,162.03,118.47,143.9,156.9,137.87,81.43,107.13,95.14,125.6,86.83,121.53,158.1,145,101.64,151.33,129.89
3,Revenue Growth (YoY),28.71%,18.66%,17.52%,45.48%,34.32%,64.92%,9.77%,-6.23%,-11.85%,-39.83%,-13.38%,-14.56%,-19.69%,21.72%,-,-,-,-
4,Cost of Revenue,-246.71,96.52,85.53,64.66,84.18,85.54,80.72,48.04,71.67,57.09,76.71,49.91,71.4,87.06,77,61.13,92.01,81.5
5,Gross Profit,431.91,89.66,76.5,53.8,59.71,71.36,57.15,33.39,35.46,38.05,48.89,36.92,50.13,71.05,68,40.5,59.32,48.39
6,"Selling, General & Admin",-42.47,14.08,14.71,13.68,14.5,12.12,12.79,11.83,12.21,10.21,10.02,10.49,14.6,11.71,11.58,11.11,12.18,10.83
7,Research & Development,-159.6,59.38,55.23,45,46.08,45.29,41.43,32.6,33.88,32.45,28.86,29.53,36.28,33.93,31.12,30,28.55,33.7
8,Other Operating Expenses,558.72,-8.12,0.38,-3.08,6.01,-1.35,-1.31,-7.53,8.12,-2.55,-3.28,-3.46,6.06,-1.02,-2.14,-4.03,19.07,-0.62
9,Operating Expenses,356.49,65.45,70.33,55.62,66.43,56.17,53.19,36.32,54.7,39.86,35.81,36.49,56.76,44.95,40.42,36.89,60.4,43.96
10,Operating Income,75.43,24.2,6.17,-1.82,-6.71,15.19,3.97,-2.93,-19.24,-1.81,13.08,0.44,-6.63,26.1,27.58,3.61,-1.08,4.43
11,Interest Expense,-34.15,-0.55,-0.52,-0.22,-0.42,-0.08,-0.08,-0.08,-0.09,-0.06,-0.05,-0.06,-0.09,-0.09,-0.19,-,-,-
12,Interest & Investment Income,1.29,12.98,10.32,10.85,11.13,10.51,10.14,10.4,14.98,11.11,12.08,9.25,3.39,2.89,2.58,2.51,2.51,2.33
13,Currency Exchange Gain (Loss),-,-0.92,0.92,-,2.21,-2.93,2.93,-,4.27,-0.8,0.8,-,-0.75,0.34,-0.34,-,-2.39,-2.44
