,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,6417,6498,3912,3198,3395,4645,3992,4490,4754,3300,3394,4643,4676,7443,-,-,-,-,-
1,Market Cap Growth,39.91%,39.91%,-2.01%,-28.78%,-28.59%,40.74%,17.61%,-3.31%,1.67%,-55.66%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5011,5092,2494,1793,1955,3248,2619,3119,3318,1863,1920,3116,4323,7090,-,-,-,-,-
3,Last Close Price,44.31,44.87,27.01,22.12,23.03,31.50,27.07,30.45,32.08,22.27,22.90,31.33,31.55,50.22,-,-,-,-,-
4,PE Ratio,60.70,61.31,43.93,39.33,51.77,71.39,76.73,105.86,92.74,61.40,49.49,54.83,52.71,88.66,-,-,-,-,-
5,Forward PE,46.16,58.08,37.26,31.05,35.24,46.15,44.21,72.16,111.34,65.97,32.35,61.38,-,-,-,-,-,-,-
6,PS Ratio,9.87,9.97,6.41,5.50,6.09,8.93,8.26,10.65,11.62,7.96,7.91,9.44,9.14,14.14,-,-,-,-,-
7,PB Ratio,3.41,3.53,2.13,1.78,1.90,2.57,2.23,2.53,2.68,1.87,1.92,2.65,2.72,4.35,-,-,-,-,-
8,P/TBV Ratio,3.63,3.63,2.19,1.83,1.95,2.64,2.29,2.61,2.76,1.92,1.96,2.70,2.77,4.44,-,-,-,-,-
9,P/FCF Ratio,-,-,52.59,32.00,-,36.31,111.46,-135.70,-36.64,-,-,-,-,115.64,-,-,-,-,-
10,P/OCF Ratio,-,-,29.43,21.94,25.22,29.95,46.75,167.08,-68.90,-,-,-,-,86.36,-,-,-,-,-
11,EV/Sales Ratio,7.69,7.81,4.08,3.08,3.51,6.25,5.42,7.40,8.11,4.49,4.47,6.33,8.45,13.47,-,-,-,-,-
12,EV/EBITDA Ratio,45.95,46.66,92.39,81.55,-,-,137.51,4468.20,385.95,-,87.74,62.53,68.69,-,-,-,-,-,-
13,EV/EBIT Ratio,48.19,48.97,114.20,139.86,-,-,-868.42,-155.85,-,-,-,94.46,91.03,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,33.53,17.94,-,25.40,73.11,-94.28,-25.57,-,-,-,-,110.15,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-,-,-
16,Debt / EBITDA Ratio,1.12,0.40,1.20,1.58,-,-,0.08,0.15,0.84,-,1.00,0.05,0.28,1.07,0.05,0.06,-,-,-
17,Debt / FCF Ratio,-,-,1.65,0.63,-,0.43,0.18,-0.22,-0.06,-,-,-,-,0.09,-,0.12,-,-,-
18,Asset Turnover,-,0.37,0.34,0.25,0.30,0.34,0.30,0.18,0.23,0.21,0.27,0.19,0.40,1.10,-,-,1.27,-,
19,Inventory Turnover,-,-,1.79,1.76,1.31,1.57,1.42,1.27,0.75,1.17,1.03,1.62,1.36,2.59,3.61,-,-,5.87,-
20,Quick Ratio,-,-,7.52,11.73,15.80,15.03,22.66,24.00,35.74,20.60,21.18,20.05,16.93,16.70,5.14,4.94,-,5.66,5.65
21,Current Ratio,-,-,8.77,13.47,18.07,17.06,26.37,28.33,42.61,24.24,24.88,22.98,18.91,18.00,6.39,6.16,-,6.53,6.93
22,Return on Equity (ROE),7.62%,6.59%,7.23%,1.90%,4.03%,4.99%,3.76%,1.81%,1.15%,2.87%,5.89%,2.44%,7.23%,24.07%,26.96%,5.50%,22.95%,-,
23,Return on Assets (ROA),-,3.01%,0.80%,-0.24%,-0.88%,2.04%,0.54%,-0.40%,-2.60%,-0.25%,1.79%,0.06%,-1.37%,11.36%,-,-,-0.56%,-,
24,Return on Capital (ROIC),9.61%,3.17%,0.83%,-0.25%,-0.92%,2.12%,0.56%,-0.41%,-2.71%,-0.26%,1.88%,0.06%,-1.50%,13.49%,15.58%,2.16%,-0.66%,-,
25,Return on Capital Employed (ROCE),-,-,1.18%,0.71%,-,-,-0.17%,-1.12%,-,-,-,1.88%,2.74%,-,11.08%,7.29%,-,-,1.11%
