,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,50.67,59.21,46.98,29.62,46.4,53.47,44.64,17.48,46.6,92.45,72.69,70.16,70.16,91.07,91.07
1,Other Revenue,-0.79,0.79,-,0.71,-0.25,0.25,-,0.93,-0.49,0.49,-,0.35,0.35,0.18,0.18
2,Revenue,49.88,60,46.98,30.33,46.14,53.72,44.64,18.42,46.11,92.94,72.69,70.51,70.51,91.25,91.25
3,Revenue Growth (YoY),8.09%,11.69%,5.24%,64.71%,0.08%,-42.20%,-38.58%,-73.88%,-34.61%,1.85%,-20.34%,-,-,-,-
4,Cost of Revenue,31.45,42.66,29.99,29.79,29.92,38.5,31.54,15.92,27.09,55.36,43.24,39.32,39.32,54.5,54.5
5,Gross Profit,18.43,17.34,16.99,0.54,16.23,15.22,13.1,2.49,19.02,37.58,29.45,31.19,31.19,36.75,36.75
6,"Selling, General & Admin",14.42,14.75,12.27,15.2,16.26,14.06,11.4,11.97,11.02,12.12,10.79,11.11,11.11,11.86,11.86
7,Research & Development,3.1,3.68,3,3.59,3.55,4.28,1.95,0.73,4.13,4.48,2.04,5.22,5.22,3.42,3.42
8,Other Operating Expenses,-0.13,0.08,-0.09,-0.16,0.14,-0.11,-0.08,6.93,-0.84,-0.96,-6.49,-0.48,-0.48,-0.54,-0.54
9,Operating Expenses,18.16,19.12,15.16,23.48,19.46,19.75,13.43,19.31,14.51,19,6.68,16.09,16.09,14.98,14.98
10,Operating Income,0.27,-1.77,1.84,-22.94,-3.23,-4.54,-0.33,-16.82,4.5,18.58,22.77,15.11,15.11,21.77,21.77
11,Interest Expense,-0.22,-0.47,-,-0.29,-0.3,-0.62,-,-,-0.62,-1.18,-,-0.43,-0.43,-0.39,-0.39
12,Interest & Investment Income,1.63,1.92,2.65,3.28,3.36,4.12,1.86,0.7,0.72,1.49,0.26,0.67,0.67,0.83,0.83
13,Currency Exchange Gain (Loss),-0.17,0.17,-,0.36,-0.77,0.77,-,7.21,-5.07,5.07,-,-0.59,-0.59,-0.26,-0.26
14,Other Non Operating Income (Expenses),-0.49,-0.02,-,-0.62,0.65,0,-0.03,-7.54,7.29,0.79,-0.66,0.15,0.15,-0.03,-0.03
15,EBT Excluding Unusual Items,1.02,-0.17,4.48,-20.22,-0.28,-0.27,1.51,-16.45,6.82,24.74,22.38,14.91,14.91,21.93,21.93
16,Gain (Loss) on Sale of Assets,-1.27,-,-0.22,0.2,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,-0.82,-,-,-,-,-,-,3.01,-3.01,0.48,-0.48,0,-0,-0,-0
18,Other Unusual Items,0.23,0.45,0.02,-2.14,-0,0,-,7.5,0.27,-0.27,-,1.35,1.35,0.35,0.35
