,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,102.98,93.05,372.82,371.2,361.59,398.94,409.25,460.46,-,73.63,-,143.47,143.5,149.79,149.79
1,Trading Asset Securities,294,311,45,51,64,72.97,75.9,79.4,-,85.2,-,27,27,75.5,75.5
2,Cash & Short-Term Investments,396.98,404.05,417.82,422.2,425.59,471.91,485.15,539.86,-,158.83,170.47,170.47,170.5,225.29,225.29
3,Cash Growth,-6.72%,-14.38%,-13.88%,-21.79%,-,197.12%,184.59%,216.68%,-,-29.50%,-24.33%,-,-,-,-
4,Accounts Receivable,78.55,83.03,75.87,81.44,97.56,108.7,104.9,98.97,-,146.77,-,90.28,90.28,94.05,94.05
5,Other Receivables,1.45,1.53,1.23,1.71,7.57,5.49,3.82,3.08,-,3.91,-,2.69,1.09,2.33,2.33
6,Receivables,80,84.55,77.11,83.16,105.13,114.19,108.72,102.04,-,150.68,-,92.98,91.38,96.38,96.38
7,Inventory,150.91,143.35,144.79,144.87,142.17,138.36,145.39,144.89,-,122.01,-,138.94,138.94,140.48,140.48
8,Other Current Assets,18.24,17.49,19.63,15.48,22.1,19.75,20.15,11.17,-,5.74,-,4.2,5.77,3.74,3.74
9,Total Current Assets,646.12,649.44,659.34,665.7,694.99,744.21,759.41,797.96,-,437.26,-,406.59,406.59,465.89,465.89
10,"Property, Plant & Equipment",269.57,264.31,256.71,259.37,257.14,249.95,244.42,241.9,-,189.71,-,161.5,161.5,105.47,105.47
11,Other Intangible Assets,16.25,16.38,16.52,21.86,21.63,21.77,21.92,22.09,-,22.5,-,22.66,22.66,22.98,22.98
12,Long-Term Deferred Tax Assets,13.11,13.51,14.01,13.97,6.34,6.95,6.31,10.3,-,6.28,-,6.4,6.4,7.44,7.44
13,Long-Term Deferred Charges,0.75,0.35,0.18,0.21,0.2,0.04,0.06,0.1,-,0.24,-,0.44,0.44,0.63,0.63
14,Other Long-Term Assets,23.32,23.31,25.18,4.75,2.27,1.97,0.46,1.01,-,4.64,-,0.34,0.34,3.86,3.86
15,Total Assets,969.11,967.31,971.94,965.86,982.58,1025,1033,1073,-,660.63,-,597.93,597.93,606.27,606.27
16,Accounts Payable,53.6,50.36,48.99,53.09,60.14,49.67,50.25,73.17,-,67.51,-,82.82,82.82,85.11,85.11
17,Accrued Expenses,7.37,7.54,6.06,9.34,6.23,6.73,4.78,8.52,-,15.31,-,12.61,12.61,12.95,12.95
18,Short-Term Debt,-,-,-,-,-,-,11,28.22,-,37.22,-,-,-,-,-
19,Current Portion of Leases,3.48,3.76,4.29,4.1,6.44,6.35,-,6.05,-,5.8,-,5.15,5.15,4.16,4.16
20,Current Income Taxes Payable,0.84,-,1.9,-,3.99,-,1.02,0.42,-,3.31,-,0.08,0.08,3.06,3.06
21,Current Unearned Revenue,21.23,19.34,21.33,14.06,11.34,12.29,5.72,3.26,-,5.13,-,8.8,8.8,22.56,22.56
22,Other Current Liabilities,5.98,7.45,9.11,7.93,5,7.8,14.05,5.29,-,3.45,-,4.45,4.45,22.9,22.9
23,Total Current Liabilities,92.52,88.46,91.7,88.52,93.12,82.84,86.82,124.93,-,137.73,-,113.91,113.91,150.74,150.74
24,Long-Term Leases,13.9,14.47,15.03,16.29,17.05,18.71,22.14,21.94,-,25.02,-,26.67,26.67,26.48,26.48
25,Long-Term Unearned Revenue,4.71,4.85,5,5.14,5.29,5.43,5.58,5.72,-,6.01,-,6.3,6.3,6.59,6.59
26,Long-Term Deferred Tax Liabilities,2.23,2.36,3.17,3.17,-,-,-,3.89,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,-,-,-,-,0.03,0.03,0.03,0.03,-,0.13,-,0.29,0.29,0.47,0.47
28,Total Liabilities,113.36,110.14,114.89,113.13,115.49,107,114.57,156.5,-,168.89,-,147.17,147.17,184.28,184.28
29,Common Stock,50,50,50,50,50,50,50,50,-,37.5,-,37.5,37.5,37.5,37.5
30,Additional Paid-In Capital,509.89,509.89,510.24,510.24,507.5,507.5,507.5,507.5,-,92.45,-,92.45,92.45,92.45,92.45
31,Retained Earnings,289.64,290.7,290.07,285.73,303.44,354.19,360.51,352.5,-,353.38,-,312.82,312.82,283.92,283.92
32,Comprehensive Income & Other,5.86,6.16,6.29,6.3,5.68,5.68,-,6.86,-,8.42,-,7.98,7.98,8.11,8.11
33,Total Common Equity,855.39,856.75,856.61,852.27,866.62,917.37,918.01,916.86,-,491.75,450.76,450.76,450.76,421.98,421.98
34,Minority Interest,0.36,0.41,0.44,0.46,0.47,0.51,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,855.76,857.17,857.05,852.73,867.09,917.88,918.01,916.86,-,491.75,450.76,450.76,450.76,421.98,421.98
36,Total Liabilities & Equity,969.11,967.31,971.94,965.86,982.58,1025,1033,1073,-,660.63,-,597.93,597.93,606.27,606.27
