,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1647,1416,1250,1386,1882,1865,1850,1879,1910,-,-,-,-,-,-,-
1,Market Cap Growth,-24.10%,-24.10%,-32.46%,-26.24%,-1.47%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1267,1030,851,984,1480,1419,1398,1788,1819,-,-,-,-,-,-,-
3,Last Close Price,32.93,28.31,24.99,27.72,37.63,37.30,36.04,36.60,37.19,-,-,-,-,-,-,-
4,PE Ratio,-,-,-90.54,-100.68,-,-,1941.71,85.65,-,-,-,-,-,-,-,-
5,PS Ratio,8.80,7.56,6.81,7.82,10.76,11.45,11.36,9.30,8.30,-,-,-,-,-,-,-
6,PB Ratio,1.92,1.65,1.46,1.62,2.21,2.15,2.02,2.05,2.08,-,-,-,-,-,-,-
7,P/TBV Ratio,1.69,1.69,1.49,1.65,2.27,2.21,2.07,2.10,2.13,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-94.62,-,-,-,-24.10,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,37.75,37.75,28.08,34.78,97.99,75.06,427.84,-,157.81,-,-,-,-,-,-,-
10,EV/Sales Ratio,6.77,5.50,4.64,5.56,8.46,8.71,8.58,8.85,7.90,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-62.84,-42.99,-42.44,-,-,-,153.49,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-45.56,-,-34.09,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-64.74,-,-64.48,-,-,-,-18.21,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.06,-,0.14,0.07,0.07,0.07,0.07,0.07
15,Debt / EBITDA Ratio,-,2.62,1.82,1.50,-,-,-,7.22,-,-,0.73,0.33,0.44,0.44,0.32,0.32
16,Debt / FCF Ratio,-,-,-1.38,-,-,-,-0.33,-,-,-,-0.85,-,-,-,1.45,2.90
17,Asset Turnover,0.21,0.25,0.19,0.12,0.18,0.21,0.17,-,-,-,-,0.47,0.47,0.60,-,
18,Inventory Turnover,0.91,0.85,1.18,0.83,0.83,0.85,1.09,0.87,-,-,-,-,1.13,1.13,1.55,-
19,Quick Ratio,5.16,5.16,5.52,5.40,5.71,5.70,7.08,6.84,5.14,-,2.25,-,2.31,2.30,2.13,2.13
20,Current Ratio,6.98,6.98,7.34,7.19,7.52,7.46,8.98,8.75,6.39,-,3.17,-,3.57,3.57,3.09,3.09
21,Return on Equity (ROE),-0.52%,0.28%,2.02%,-8.39%,-0.35%,0.28%,0.58%,-,-,18.38%,16.78%,12.82%,13.25%,18.05%,-,
22,Return on Assets (ROA),0.07%,-0.46%,0.47%,-5.89%,-0.80%,-1.10%,-0.08%,-,-,-,-,6.32%,6.27%,8.98%,-,
23,Return on Capital (ROIC),0.08%,-0.51%,0.52%,-6.50%,-0.88%,-1.20%,-0.09%,-,-,8.91%,11.79%,7.83%,8.08%,12.02%,-,
24,Return on Capital Employed (ROCE),-,-2.58%,-,-3.28%,-,-,-,-,-,-,13.68%,-,15.24%,12.12%,9.56%,4.78%
25,Earnings Yield,-0.86%,-1.00%,-1.10%,-0.99%,-0.89%,-0.20%,0.05%,1.17%,2.07%,-,-,-,-,-,-,-
26,FCF Yield,-1.19%,-1.38%,-1.06%,-0.90%,-2.07%,-2.68%,-4.15%,-4.07%,-4.19%,-,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,2.78%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,7.84%,15.52%,-,6.27%,0.89%,0.21%,-,-,-,-
29,Buyback Yield / Dilution,-6.59%,-0.47%,-0.37%,-0.73%,-32.06%,-32.59%,-33.63%,-33.15%,-1.38%,0.02%,-0.41%,-0.43%,-,-,-,-
30,Total Shareholder Return,-6.59%,-0.47%,-0.37%,-0.73%,-32.06%,-32.59%,-30.86%,-33.15%,-1.38%,0.02%,-0.41%,-0.43%,-,-,-,-
