,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2185,2147,1973,2288,2805,2869,2940,3213,2742,2651,3213,4060,4886,-,-,-,-,-,-,-
1,Market Cap Growth,-25.17%,-25.17%,-32.90%,-28.77%,2.31%,8.24%,-8.52%,-20.86%,-43.89%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,897,705,743,1544,2061,1684,1755,1691,1220,1204,1715,3756,4583,-,-,-,-,-,-,-
3,Last Close Price,27.18,26.62,24.31,27.80,34.07,34.85,35.71,38.48,32.83,31.74,38.48,47.70,57.41,-,-,-,-,-,-,-
4,PE Ratio,38.90,38.13,25.72,24.92,24.35,27.17,25.15,24.56,19.45,16.18,18.68,21.90,22.21,-,-,-,-,-,-,-
5,Forward PE,16.37,16.04,14.64,15.15,19.19,17.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.76,3.68,3.14,3.66,4.51,4.88,5.01,5.23,4.11,3.81,4.48,4.96,4.96,-,-,-,-,-,-,-
7,PB Ratio,1.18,1.16,1.07,1.22,1.51,1.56,1.62,1.76,1.54,1.50,1.87,2.33,2.89,-,-,-,-,-,-,-
8,P/TBV Ratio,1.18,1.18,1.09,1.24,1.54,1.59,1.65,1.79,1.57,1.53,1.90,2.37,2.94,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-129.74,-91.50,-,-,-,17.43,20.34,10.19,11.42,-,13.94,38.30,-,-,-,-,-,-,-
10,P/OCF Ratio,27.38,27.38,16.34,26.08,-,20.60,14.29,17.33,9.17,10.01,13.51,12.23,24.41,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.54,1.21,1.18,2.47,3.31,2.86,2.99,2.76,1.83,1.73,2.39,4.59,4.66,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,11.40,8.91,7.48,13.81,14.72,14.42,13.02,11.15,7.38,6.36,8.64,16.74,17.27,-,-,-,-,-,-,-
13,EV/EBIT Ratio,21.17,14.98,11.18,19.32,19.21,20.22,17.08,14.14,9.06,7.52,9.96,18.83,18.84,-,-,-,-,-,-,-
