,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,126.46,151.87,129.64,145.12,186.11,133.36,127.8,122.67,181.58,163.45,180.61,155.73,193.98,273.78,346.74,264.4,264.4,133.1,133.1
1,Other Revenue,-3.57,3.57,-,30.2,-18.36,18.36,-,18.25,-15.49,15.49,-,14.22,-6.05,6.05,-,2.34,2.34,0.31,0.31
2,Revenue,122.89,155.44,129.64,175.32,167.75,151.71,127.8,140.92,166.1,178.94,180.61,169.94,187.94,279.83,346.74,266.73,266.73,133.4,133.4
3,Revenue Growth (YoY),-26.74%,2.45%,1.43%,24.41%,1.00%,-15.21%,-29.24%,-17.08%,-11.62%,-36.06%,-47.91%,-36.29%,-29.54%,109.76%,159.92%,-,-,-,-
4,Cost of Revenue,97.57,126.55,104.56,136.18,118.41,107.92,79.75,110.94,103.93,126.32,120.79,120.57,119.78,194.3,233.22,184.18,184.18,84.1,84.1
5,Gross Profit,25.33,28.89,25.08,39.14,49.34,43.79,48.05,29.98,62.17,52.62,59.82,49.38,68.15,85.53,113.52,82.56,82.56,49.3,49.3
6,"Selling, General & Admin",16.23,14.43,14.69,10.7,19.09,13.42,12.47,11.87,12.76,7.11,7.17,6.76,8.93,5.65,7.76,2.35,2.35,7.36,7.36
7,Research & Development,4.92,4.69,5.28,4.71,6.54,6.18,5.09,6.2,5.71,7.34,6.05,6.96,5.76,10.82,12.84,8.69,8.69,4.99,4.99
8,Other Operating Expenses,-0.59,0.18,0.38,-3.27,-0.18,-0.07,-0.43,9.52,0.23,-3.18,-1.72,6.13,-0.39,1.78,-0.4,0.9,0.9,0.8,0.8
9,Operating Expenses,20.37,20.44,18.7,11.86,25.04,21.81,14.31,26.74,18.39,13.8,10.91,20.79,12.35,19.39,20.75,12.12,12.12,14.46,14.46
10,Operating Income,4.96,8.45,6.38,27.28,24.3,21.98,33.74,3.24,43.78,38.82,48.91,28.59,55.8,66.14,92.77,70.43,70.43,34.84,34.84
11,Interest Expense,-0.13,-0.2,-0.21,-0.36,-,-3.37,-0.27,-0.45,-1.29,-,-0.48,-0.49,-0.35,-0.32,-0.46,-0.11,-0.11,-0.2,-0.2
12,Interest & Investment Income,3.78,3.97,6.11,9.74,5.13,10.85,7.66,5.17,7.13,7.1,5.55,2.26,1.39,1.32,1.08,0.73,0.73,0.5,0.5
13,Currency Exchange Gain (Loss),-1.08,1.08,-,1.22,-1.78,1.78,-,6.2,-7.15,7.15,-,-6.89,4.21,-4.21,-,-7.04,-7.04,0.31,0.31
14,Other Non Operating Income (Expenses),-0.38,1.15,0.07,-2.33,2.11,-1.56,1.55,-10.08,11.34,-1.42,0,2.91,-3.48,-0.95,1.28,-0.05,-0.05,-0.04,-0.04
15,EBT Excluding Unusual Items,7.15,14.45,12.35,35.55,29.76,29.68,42.68,4.08,53.8,51.65,53.99,26.38,57.57,61.99,94.67,63.96,63.96,35.41,35.41
16,Gain (Loss) on Sale of Investments,3.03,1.7,2.5,4.36,2.71,1.76,0.23,5.16,-1.91,-3.61,1.36,1.2,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.04,0.01,0.42,-0.08,-0.03,0.01,1.1,-0.02,0.07,-,-,0.06,0.02,0.21,0.28,0.28,-,-
18,Asset Writedown,-1.73,-0.2,0.2,-9.99,-0.52,0.1,-0.1,-4.34,-6.06,-0.19,-0.88,1.94,-2.35,0.7,-0.7,-,-,-0.29,-0.29
19,Other Unusual Items,0.67,-0.67,0.09,-1.54,-,-,-,7.95,-,-,-,10.18,-,-,-,1.95,1.95,2.21,2.21
20,Pretax Income,9.12,15.25,15.14,28.81,31.86,31.51,42.83,13.95,45.81,47.93,54.48,39.69,55.28,62.7,94.18,66.2,66.2,37.33,37.33
21,Income Tax Expense,1.05,2.62,1.27,7.23,3.89,3.78,5.56,1.91,6.04,6.22,7.03,4.8,7.3,7.64,12.07,8.81,8.81,4.9,4.9
22,Earnings From Continuing Operations,8.07,12.63,13.87,21.58,27.97,27.73,37.26,12.03,39.78,41.71,47.45,34.89,47.98,55.06,82.12,57.38,57.38,32.43,32.43
23,Minority Interest in Earnings,0.02,0.06,0.03,0.04,0.51,0.1,0.01,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,8.09,12.69,13.9,21.62,28.48,27.83,37.27,12.03,39.78,41.71,47.45,34.89,47.98,55.06,82.12,57.38,57.38,32.43,32.43
25,Net Income to Common,8.09,12.69,13.9,21.62,28.48,27.83,37.27,12.03,39.78,41.71,47.45,34.89,47.98,55.06,82.12,57.38,57.38,32.43,32.43
26,Net Income Growth,-71.57%,-54.41%,-62.70%,79.67%,-28.41%,-33.27%,-21.45%,-65.51%,-17.10%,-24.25%,-42.22%,-39.20%,-16.38%,69.77%,153.19%,-,-,-,-
27,Shares Outstanding (Basic),81,79,82,80,81,82,81,81,81,80,82,67,61,61,61,61,61,61,61
28,Shares Outstanding (Diluted),81,79,82,80,81,82,81,81,81,80,82,67,61,61,61,61,61,61,61
29,Shares Change (YoY),-0.65%,-2.89%,0.93%,-0.50%,0.24%,1.79%,-0.96%,19.99%,33.52%,31.40%,34.49%,11.12%,0.32%,-0.14%,-0.60%,-,-,-,-
30,EPS (Basic),0.10,0.16,0.17,0.27,0.35,0.34,0.46,0.15,0.49,0.52,0.58,0.52,0.79,0.90,1.35,0.95,0.95,0.53,0.53
31,EPS (Diluted),0.10,0.16,0.17,0.27,0.35,0.34,0.46,0.15,0.49,0.52,0.58,0.52,0.79,0.90,1.35,0.95,0.95,0.53,0.53
32,EPS Growth,-71.39%,-53.06%,-63.04%,80.57%,-28.58%,-34.44%,-20.69%,-71.25%,-37.92%,-42.35%,-57.04%,-45.29%,-16.65%,70.01%,154.72%,-,-,-,-
33,Free Cash Flow,2.04,13.99,-9.19,-23.39,-2.97,10.48,14.34,42.04,101.76,-0.19,125.5,5,73.43,87.4,-38.24,64.69,64.69,-22.52,-22.52
34,Free Cash Flow Per Share,0.03,0.18,-0.11,-0.29,-0.04,0.13,0.18,0.52,1.25,-0.00,1.53,0.07,1.21,1.43,-0.63,1.07,1.07,-0.37,-0.37
35,Dividend Per Share,-,-,-,0.360,-,-,-,0.500,-,-,-,0.750,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-28.00%,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,20.61%,18.58%,19.35%,22.32%,29.41%,28.86%,37.60%,21.28%,37.43%,29.40%,33.12%,29.06%,36.26%,30.57%,32.74%,30.95%,30.95%,36.96%,36.96%
38,Operating Margin,4.03%,5.44%,4.92%,15.56%,14.49%,14.49%,26.40%,2.30%,26.36%,21.69%,27.08%,16.82%,29.69%,23.64%,26.76%,26.41%,26.41%,26.12%,26.12%
39,Profit Margin,6.59%,8.16%,10.72%,12.33%,16.97%,18.34%,29.16%,8.54%,23.95%,23.31%,26.27%,20.53%,25.53%,19.68%,23.68%,21.51%,21.51%,24.31%,24.31%
40,Free Cash Flow Margin,1.66%,9.00%,-7.09%,-13.34%,-1.77%,6.91%,11.22%,29.83%,61.27%,-0.11%,69.49%,2.94%,39.07%,31.23%,-11.03%,24.25%,24.25%,-16.88%,-16.88%
41,EBITDA,12.75,17.15,14.17,35.07,32.9,29.66,42.34,11.84,50.93,46.56,56.07,35.74,60,72.59,96.97,75.08,75.08,38.58,38.58
42,EBITDA Margin,10.37%,11.03%,10.93%,20.00%,19.61%,19.55%,33.13%,8.40%,30.67%,26.02%,31.05%,21.03%,31.93%,25.94%,27.97%,28.15%,28.15%,28.92%,28.92%
43,D&A For EBITDA,7.79,8.7,7.79,7.79,8.6,7.68,8.6,8.6,7.16,7.74,7.16,7.16,4.2,6.45,4.2,4.64,4.64,3.74,3.74
