,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,343.21,632.22,712.08,665.16,338.73,363.13,775.57,1005,1213,1187,1288,1416,-,331.35,-,321.35,321.35,168.55,168.55
1,Short-Term Investments,266.12,541.4,239.46,264.03,-,406.58,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,692.52,282.58,294.9,410.49,421.25,438.12,445.3,300.62,350.16,300.09,250.95,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1302,1456,1246,1340,759.98,1208,1221,1305,1563,1488,1539,1416,-,331.35,321.35,321.35,321.35,168.55,168.55
4,Cash Growth,71.30%,20.56%,2.09%,2.64%,-51.37%,-18.80%,-20.67%,-7.80%,-,348.93%,378.93%,340.50%,-,96.59%,90.66%,-,-,-,-
5,Accounts Receivable,137.57,143.65,123.94,170.88,149.58,156.67,120.72,139.01,152.91,177.42,115.22,161.97,-,238.48,-,155.42,155.42,168.5,168.5
6,Other Receivables,1.13,17.89,2.15,3.44,0.86,1.71,0.66,1.9,0.7,0.71,0.58,9.7,-,5.51,-,8.84,8.84,4.03,4.03
7,Receivables,138.7,161.54,126.09,174.32,150.44,158.38,121.38,140.91,153.61,178.14,115.8,171.67,-,243.99,-,164.27,164.27,172.53,172.53
8,Inventory,74.47,66.05,72.33,68.93,78.76,62.45,60.99,64.18,90.5,100.75,117.49,142.63,-,118.14,-,101.31,101.31,75.55,75.55
9,Other Current Assets,224.39,7.68,168.15,4.63,591.58,6.88,5.42,5.16,6.3,6.33,12.37,12.8,-,14.07,-,18.33,18.33,17.29,17.29
10,Total Current Assets,1739,1691,1613,1588,1581,1436,1409,1515,1813,1773,1785,1743,-,707.56,-,605.26,605.26,433.92,433.92
11,"Property, Plant & Equipment",322.26,330.12,280.47,263.7,252.7,231.41,237.72,235.98,258.98,261.64,268.29,276.34,-,261.54,-,212.08,212.08,119.66,119.66
12,Long-Term Investments,22.76,78.52,173.64,244.09,240.67,358.5,382.75,280.52,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,34.73,35.01,35.29,35.28,35.53,28.48,28.4,28.65,28.9,29.14,29.39,29.42,-,29.86,-,30.3,30.3,27.46,27.46
14,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,6.21,5.64,4.6,3.78,-,4.57,-,3.74,3.74,3.91,3.91
15,Long-Term Deferred Charges,2.65,1.89,1.68,1.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,7.5,6.16,29.62,16.3,9.26,5.18,1.83,6.28,1.1,1.48,0.77,0.33,-,0.35,-,7.11,7.11,14.93,14.93
17,Total Assets,2129,2143,2134,2149,2119,2059,2059,2067,2108,2071,2088,2053,-,1004,-,858.5,858.5,599.89,599.89
18,Accounts Payable,211.9,226.16,189.68,210.43,201.41,174.09,151.47,179.56,196.01,186.35,201.71,251.72,-,305.01,-,289.32,289.32,172.41,172.41
19,Accrued Expenses,8.48,8.15,6.7,12.99,11.28,9.77,6.47,9.89,8.53,8.14,6.18,11.35,-,18.93,-,16.56,16.56,11.32,11.32
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,5.01,-,45.03,45.03,40.02,40.02
21,Current Portion of Leases,10.42,8.45,6.68,8.26,6.46,6.53,13.93,13.39,8.63,7.54,6.45,5.36,-,1.93,-,-,-,-,-
22,Current Income Taxes Payable,4.67,2.38,3.81,5.95,4.01,1.36,8.09,2.8,9.93,9.05,7.59,7.27,-,6.96,-,1.8,1.8,8.36,8.36
