,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,2288,1956,2627,2484,3009,2194,4564,7117,4081,4889,Upgrade
1,Short-Term Investments,295,187,506,79,510,471,912,468,1121,508,Upgrade
2,Cash & Short-Term Investments,2583,2143,3133,2563,3519,2665,5476,7585,5202,5397,Upgrade
3,Cash Growth,-17.56%,-16.39%,-10.97%,-3.83%,-35.74%,-64.86%,5.27%,40.54%,-18.43%,55.89%,Upgrade
4,Accounts Receivable,5388,5295,5639,4554,6837,6805,8738,6936,7003,7150,Upgrade
5,Other Receivables,30,49,27,626,751,49,54,67,71,118,Upgrade
6,Receivables,5418,5344,5666,5180,7588,6854,8792,7003,7074,7268,Upgrade
7,Inventory,2122,2237,1608,1987,2065,1673,1444,1081,1081,1184,Upgrade
8,Prepaid Expenses,4703,4318,1026,3382,1104,3125,1104,3554,1082,3495,Upgrade
9,Restricted Cash,205,161,211,375,375,455,187,723,726,733,Upgrade
10,Other Current Assets,-,7,2567,-,2395,3823,1618,302,2146,283,Upgrade
11,Total Current Assets,15031,14210,14211,13487,17046,18595,18621,20248,17311,18360,Upgrade
12,"Property, Plant & Equipment",30916,30453,29861,29209,28872,28554,28207,32736,32827,32231,Upgrade
13,Long-Term Investments,6806,7045,7249,7505,7934,5504,5688,3162,2665,2542,Upgrade
14,Goodwill,17963,17971,17976,17977,17971,17979,18248,18460,18461,18331,Upgrade
15,Other Intangible Assets,22798,21758,19542,19534,17670,18489,18209,16665,14037,14643,Upgrade
16,Long-Term Accounts Receivable,261,272,324,286,285,281,300,291,354,342,Upgrade
17,Long-Term Deferred Tax Assets,811,879,913,1001,985,706,788,879,932,1092,Upgrade
18,Long-Term Deferred Charges,2097,1983,3581,1713,3193,1620,2754,1455,2713,1432,Upgrade
19,Other Long-Term Assets,2075,1405,906,1114,1108,1526,1408,8437,8539,8580,Upgrade
20,Total Assets,98758,95976,94563,91826,95064,93254,94223,102333,97839,97553,Upgrade
21,Accounts Payable,7570,6386,6297,5161,6074,4474,5770,3669,4418,2682,Upgrade
22,Accrued Expenses,8455,8330,8255,6688,8991,8824,8485,5788,6403,6586,Upgrade
23,Short-Term Debt,3934,3951,1049,1035,3950,3965,2419,5135,2370,3071,Upgrade
24,Current Portion of Long-Term Debt,45,40,151,122,98,-,-,-,23,-,Upgrade
25,Current Portion of Leases,1103,1085,1107,1074,1130,1123,1120,1347,1508,1486,Upgrade
26,Current Income Taxes Payable,2153,1857,1853,2150,2185,1921,1827,1708,1290,1449,Upgrade
27,Current Unearned Revenue,1561,1449,1659,1690,1606,1526,1658,1633,1629,1635,Upgrade
28,Other Current Liabilities,470,427,397,353,340,802,336,696,693,694,Upgrade
29,Total Current Liabilities,25291,23525,20768,18273,24374,22635,21615,19976,18334,17603,Upgrade
30,Long-Term Debt,47985,52116,50997,50320,45571,45910,44501,53407,54447,53574,Upgrade
31,Long-Term Leases,919,1068,1036,861,994,1143,1273,2097,2362,2712,Upgrade
