,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3927,4752,4614,5263,6757,9376,11668,17232,15961,-,-
1,Market Cap Growth,-9.72%,-9.72%,-31.72%,-43.86%,-42.09%,-45.59%,-26.90%,-,-,-,-
2,Enterprise Value,2898,3743,3516,3811,4959,7198,8937,14804,20112,-,-
3,Last Close Price,4.81,6.85,6.68,7.62,9.81,14.04,17.50,27.30,27.00,-,-
4,PS Ratio,9.46,14.25,17.00,23.40,37.60,89.05,169.30,448.49,1026.24,-,-
5,PB Ratio,1.12,1.60,1.43,1.77,2.17,2.71,3.06,4.55,5.37,-,-
6,P/TBV Ratio,2.82,2.82,2.35,2.83,3.27,3.72,3.96,5.13,5.43,-,-
7,EV/Sales Ratio,8.69,11.23,12.96,16.95,27.60,68.37,129.67,385.30,1293.12,-,-
8,Debt / Equity Ratio,0.01,0.01,0.05,0.01,0.01,0.01,0.00,0.00,0.00,-1.33,-1.61
9,Earnings Yield,-8.83%,-7.30%,-9.07%,-8.59%,-6.74%,-4.79%,-2.74%,-4.14%,-16.85%,-,-
10,FCF Yield,-6.81%,-5.63%,-6.18%,-7.17%,-5.30%,-3.19%,-4.13%,-3.08%,-1.95%,-,-
11,Buyback Yield / Dilution,-2.11%,-2.00%,-2.23%,-3.05%,-3.15%,-5.25%,-14.30%,-836.14%,-982.30%,-98.55%,-
12,Total Shareholder Return,-2.11%,-2.00%,-2.23%,-3.05%,-3.15%,-5.25%,-14.30%,-836.14%,-982.30%,-98.55%,-
