,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,167.62,142.67,103.7,104.42,54.54,35.34,20.8,11.14,1.95,0.19
1,Revenue Growth (YoY),61.65%,36.63%,90.15%,195.45%,162.15%,217.15%,965.73%,5765.26%,-,-
2,Cost of Revenue,68.42,61.02,40.99,35.81,20.23,14.1,5.12,1.7,0.02,0.01
3,Gross Profit,99.2,81.66,62.71,68.61,34.3,21.25,15.69,9.44,1.93,0.18
4,"Selling, General & Admin",201,208.17,214.22,219.69,154.09,150.64,103.17,116.45,167.09,32.51
5,Research & Development,58.71,50.68,73.09,85.87,98.44,76.81,92.24,127.44,52.11,68.7
6,Operating Expenses,259.9,258.93,287.58,305.96,252.82,227.45,195.41,243.89,219.2,101.21
7,Operating Income,-160.7,-177.28,-224.87,-237.35,-218.51,-206.2,-179.73,-234.45,-217.27,-101.03
8,Interest Expense,-1.83,-0.69,-0.64,-0.81,-0.98,-0.21,-0.36,-0.04,-0.02,-0.04
9,Interest & Investment Income,14.29,9.2,12.72,14.15,14.08,14.58,12.3,14.25,8.05,3.88
10,Earnings From Equity Investments,-,-,-,-,-,-,-13.33,-,-,-
11,Currency Exchange Gain (Loss),0.73,-1.46,2.55,10.68,11.75,-2.75,-10.62,-119.97,17.4,18.49
12,Other Non Operating Income (Expenses),-3.35,-4.17,0.82,6.2,1.11,0.22,0.32,-45.34,-40.28,-1196
13,EBT Excluding Unusual Items,-150.86,-174.4,-209.42,-207.14,-192.56,-194.36,-191.41,-385.54,-232.12,-1275
14,Gain (Loss) on Sale of Investments,-0.21,-,1.16,1,0.26,3.98,95.86,5.6,2.03,9.65
15,Asset Writedown,-,3.18,-,-3.18,-,-,-,-,-,-
16,Other Unusual Items,-,-,-,-0.6,-,-,25.94,-143.16,-1512,187.78
17,Pretax Income,-151.08,-171.22,-208.26,-209.92,-192.31,-190.38,-69.61,-523.1,-1742,-1078
18,Income Tax Expense,0.27,0.17,0.14,0.05,0.36,-,-,-,-,-
19,Earnings From Continuing Operations,-151.34,-171.39,-208.4,-209.97,-192.67,-190.38,-69.61,-523.1,-1742,-1078
20,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,3.2
21,Net Income,-151.34,-171.39,-208.4,-209.97,-192.67,-190.38,-69.61,-523.1,-1742,-1074
22,Net Income to Common,-151.34,-171.39,-208.4,-209.97,-192.67,-190.38,-69.61,-523.1,-1742,-1074
23,Shares Outstanding (Basic),659,652,646,638,627,618,596,541,64,50
24,Shares Outstanding (Diluted),659,652,646,638,627,618,596,541,64,50
25,Shares Change (YoY),2.00%,2.23%,3.05%,3.15%,5.25%,14.30%,836.14%,982.30%,98.55%,-
26,EPS (Basic),-0.23,-0.26,-0.32,-0.33,-0.31,-0.31,-0.12,-0.97,-27.36,-21.49
27,EPS (Diluted),-0.23,-0.26,-0.32,-0.33,-0.31,-0.31,-0.12,-0.97,-27.36,-21.49
28,Free Cash Flow,-132.53,-116.28,-142.56,-206.59,-109.88,-145.4,-246.82,-194.96,-67.78,-71.29
29,Free Cash Flow Per Share,-0.20,-0.18,-0.22,-0.32,-0.18,-0.24,-0.41,-0.36,-1.06,-1.43
30,Operating Margin,-95.87%,-124.26%,-216.86%,-227.30%,-400.68%,-583.43%,-863.94%,-2103.79%,-11130.74%,-53174.74%
31,Profit Margin,-90.29%,-120.13%,-200.97%,-201.08%,-353.29%,-538.67%,-334.61%,-4693.97%,-89230.02%,-565443.68%
32,Free Cash Flow Margin,-79.06%,-81.50%,-137.48%,-197.84%,-201.49%,-411.40%,-1186.45%,-1749.48%,-3472.28%,-37520.00%
33,EBITDA,-131,-154.32,-201.44,-221.59,-207.18,-198.71,-177.6,-232.57,-216.05,-100.85
34,D&A For EBITDA,29.7,22.96,23.43,15.77,11.33,7.49,2.13,1.88,1.22,0.18
35,EBIT,-160.7,-177.28,-224.87,-237.35,-218.51,-206.2,-179.73,-234.45,-217.27,-101.03
