,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,586,823,877,1001,1362,592,545,581,592,616,652,Upgrade
1,Market Cap Growth,-17.75%,-17.75%,-35.65%,69.00%,150.00%,2.04%,-8.00%,-5.77%,-9.09%,-46.67%,-60.00%,Upgrade
2,Enterprise Value,788,1012,1053,1193,1574,839,791,802,824,820,825,Upgrade
3,Last Close Price,0.10,0.14,0.15,0.17,0.23,0.10,0.09,0.10,0.10,0.10,0.11,Upgrade
4,PS Ratio,4.26,5.99,7.44,9.30,18.03,8.63,6.97,5.68,6.20,4.79,4.24,Upgrade
5,PB Ratio,2.15,2.98,2.78,2.95,4.01,1.66,1.48,1.50,1.54,1.49,1.48,Upgrade
6,P/TBV Ratio,4.41,4.41,4.16,4.18,5.72,2.99,2.34,2.67,2.51,2.70,2.25,Upgrade
7,P/FCF Ratio,661.91,929.34,-,17.30,26.31,24.20,-111.31,-,46.56,-,-,Upgrade
8,P/OCF Ratio,124.31,124.31,-,17.13,25.37,22.85,135.06,-,42.96,-,-,Upgrade
9,EV/Sales Ratio,5.73,7.36,8.94,11.08,20.83,12.22,10.11,7.84,8.62,6.38,5.37,Upgrade
10,EV/EBITDA Ratio,-,-,-,-246.60,-,-,-,-,-,-40.98,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-88.51,-,-,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,889.68,1142.73,-,20.61,30.40,34.26,-161.56,-,64.78,-,-,Upgrade
13,Debt / Equity Ratio,0.81,0.81,0.68,0.61,0.67,0.63,0.70,0.65,0.64,0.60,0.55,Upgrade
14,Debt / FCF Ratio,252.75,252.75,-,3.60,4.40,9.23,-52.58,-,19.25,-,-,Upgrade
15,Return on Capital Employed (ROCE),-,-,-,-2.48%,-,-,-,-,-,-,-,Upgrade
16,Earnings Yield,-9.03%,-6.43%,-2.45%,-2.40%,-3.59%,-10.42%,-7.20%,-6.87%,-9.83%,-14.19%,-14.92%,Upgrade
17,FCF Yield,0.15%,0.11%,2.34%,5.78%,3.80%,4.13%,-0.90%,1.41%,2.15%,-4.13%,3.43%,Upgrade
