,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,51,47,63,78,149,147,127,200,203,210,327,Upgrade
1,Market Cap Growth,-39.13%,-39.13%,-57.95%,-47.13%,17.33%,-26.20%,-37.44%,-4.84%,-37.82%,-47.46%,-24.31%,Upgrade
2,Enterprise Value,48,28,54,77,-14,153,140,207,214,266,201,Upgrade
3,Last Close Price,0.30,0.28,0.37,0.46,0.88,0.87,0.75,1.18,1.20,1.24,1.93,Upgrade
4,PE Ratio,0.68,0.63,-1.19,-,-,6.57,-143.11,-,-,8.23,12.23,Upgrade
5,PS Ratio,0.05,0.05,0.07,0.07,0.08,0.11,0.45,0.35,0.27,0.23,0.56,Upgrade
6,PB Ratio,0.13,0.12,0.16,0.24,0.34,0.21,0.19,0.30,0.30,0.31,0.49,Upgrade
7,P/TBV Ratio,0.12,0.12,0.16,0.24,0.34,0.21,0.19,0.30,0.30,0.31,0.49,Upgrade
8,P/FCF Ratio,-,-,-,-0.47,-,1.12,-,-,-2.87,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-0.47,-,1.12,-,-,-2.87,-,-,Upgrade
10,EV/Sales Ratio,0.05,0.03,0.06,0.07,-,0.12,0.49,0.37,0.28,0.29,0.34,Upgrade
11,EV/EBITDA Ratio,0.62,0.37,-1.07,-,-,65.58,-,-49.63,-,10.90,15.78,Upgrade
12,EV/EBIT Ratio,0.64,0.37,-1.04,-,-,254.34,-,-34.60,-,11.72,17.79,Upgrade
13,EV/FCF Ratio,-2.03,-,-,-0.47,-,1.16,-,-,-3.01,-,-,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.04,0.12,Upgrade
15,Debt / FCF Ratio,-,-,-,-0.01,-,0.00,-,-,-0.34,-,-,Upgrade
16,Return on Capital Employed (ROCE),18.88%,18.88%,-13.59%,-,-,0.09%,-,-0.90%,-,3.40%,1.71%,Upgrade
17,Earnings Yield,147.46%,158.00%,-84.07%,-468.83%,-156.73%,15.22%,-0.70%,-5.72%,-0.40%,12.16%,8.18%,Upgrade
18,FCF Yield,-46.83%,-50.17%,1.37%,-212.81%,-3.53%,89.10%,-34.77%,-1.32%,-34.90%,-207.67%,-126.09%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-0.07%,-0.10%,-0.03%,-,-,-,0.07%,Upgrade,
20,Total Shareholder Return,-,-,-,-0.07%,-0.10%,-0.03%,-,-,-,0.07%,Upgrade,
