,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,1398,940.21,1302,1554,363.7,549.07,-,404.86
1,Trading Asset Securities,316.12,716.6,-,-,-,-,-,-
2,Cash & Short-Term Investments,1714,1657,1302,1554,363.7,549.07,404.86,404.86
3,Cash Growth,371.40%,201.75%,221.62%,283.76%,-,-,-,-
4,Accounts Receivable,3710,3874,3771,3177,3470,3647,-,2920
5,Other Receivables,13.94,12.34,18.42,11.81,33.76,117.4,-,17.57
6,Receivables,3724,3886,3789,3188,3504,3764,-,2938
7,Inventory,2468,2442,2453,2632,2685,2410,-,3181
8,Other Current Assets,402.77,297.43,426.52,417.59,503.77,447.71,-,459.86
9,Total Current Assets,8309,8282,7971,7792,7056,7171,-,6983
10,"Property, Plant & Equipment",813.67,807.9,810.79,814.99,791.98,791.69,-,824.84
11,Long-Term Investments,11.24,11.24,11.16,11.23,7.4,7.59,-,7.57
12,Other Intangible Assets,294.26,295.94,282.33,277.01,280.89,282.54,-,286.69
13,Long-Term Deferred Tax Assets,92.65,92.44,96.51,93.72,93.18,92.16,-,87.37
14,Long-Term Deferred Charges,0.17,0.17,0.79,2.65,0.18,0.18,-,0.18
15,Other Long-Term Assets,12.88,16.85,33.12,42.13,34.4,34.2,-,26.66
16,Total Assets,9534,9507,9205,9034,8264,8380,-,8217
17,Accounts Payable,3278,3149,2806,2479,2445,2463,-,2586
18,Accrued Expenses,12.81,61.05,18.09,67.74,14.74,81.45,-,76.08
19,Short-Term Debt,574.2,515.04,456.3,748.28,995.56,1279,-,1288
20,Current Portion of Long-Term Debt,111.07,0.16,-,0.16,10.7,1.16,-,0.07
21,Current Portion of Leases,-,18.21,20.52,16.08,-,10.1,-,8.44
22,Current Income Taxes Payable,42.59,9.37,46.73,2.87,31.37,19.09,-,13.29
23,Current Unearned Revenue,440.4,394.76,559.93,590.51,686.94,436.42,-,371.34
24,Other Current Liabilities,703.12,935.77,889.6,771.2,782.02,725.55,-,585.97
25,Total Current Liabilities,5162,5084,4797,4676,4966,5016,-,4930
26,Long-Term Debt,-,99.8,99.8,99.8,99.8,188.9,-,190
27,Long-Term Leases,5.13,6.24,9.5,5.16,8.53,8.29,-,10.52
28,Long-Term Unearned Revenue,8.33,7.38,7.77,8.15,8.72,6.93,-,7.4
29,Long-Term Deferred Tax Liabilities,11.26,11.71,12.03,11.15,11.73,11.99,-,8.05
30,Other Long-Term Liabilities,-,-,5.08,5.08,-,-,-,3.24
31,Total Liabilities,5186,5209,4931,4805,5095,5232,-,5149
32,Common Stock,2675,2675,2675,2675,2006,2006,-,2006
33,Additional Paid-In Capital,1079,1079,1079,1079,711.26,711.26,-,711.26
34,Retained Earnings,583.35,536.39,514.23,472.6,437.56,417.25,-,348.52
35,Comprehensive Income & Other,10.23,7.31,5.65,1.95,14.46,12.91,-,1.37
36,Shareholders' Equity,4348,4298,4274,4229,3170,3148,3068,3068
37,Total Liabilities & Equity,9534,9507,9205,9034,8264,8380,-,8217
38,Total Debt,690.4,639.44,586.12,869.48,1115,1487,1497,1497
39,Net Cash (Debt),1024,1017,715.99,684.23,-750.89,-938.13,-1093,-1093
40,Net Cash Per Share,0.38,0.38,0.27,0.34,-0.38,-0.47,-0.54,-0.54
41,Filing Date Shares Outstanding,2675,2675,2675,2675,2006,2006,2012,2006
42,Total Common Shares Outstanding,2675,2675,2675,2675,2006,2006,2012,2006
43,Working Capital,3148,3199,3174,3116,2090,2156,-,2053
44,Book Value Per Share,1.63,1.61,1.60,1.58,1.58,1.57,1.53,1.53
45,Tangible Book Value,4054,4002,3992,3952,2889,2865,2781,2781
46,Tangible Book Value Per Share,1.52,1.50,1.49,1.48,1.44,1.43,1.39,1.39
47,Buildings,-,836.92,-,834.14,-,-,-,861.05
48,Machinery,-,802.09,-,805.39,-,-,-,752.39
49,Construction In Progress,-,31.21,-,9.98,-,-,-,4.89
