,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,2574,2477,2527,2446,2140,2045,2394,1918
1,Other Revenue,-134.6,134.6,-,269.85,-134.89,134.89,-,375.7
2,Revenue,2440,2611,2527,2716,2005,2180,2394,2293
3,Revenue Growth (YoY),21.67%,19.77%,5.54%,18.41%,-,-,-,-
4,Cost of Revenue,2147,2390,2350,2511,1821,2036,2241,2137
5,Gross Profit,292.71,221.07,176.7,204.67,183.91,143.81,152.69,156.29
6,"Selling, General & Admin",119.47,107.04,69.05,135.26,105.27,74.32,58.13,91.01
7,Research & Development,33.08,59.89,25.15,35.63,38.99,9.04,10.74,33.95
8,Other Operating Expenses,0.13,17.15,3.01,20.13,7.06,3.22,3.63,39.63
9,Operating Expenses,164.25,165.22,113.24,175.99,131,116.34,82.28,150.49
10,Operating Income,128.46,55.85,63.47,28.68,52.92,27.47,70.42,5.8
11,Interest Expense,-2.14,-2.9,-2.51,-8.01,-1.43,-3.95,-7.16,-13.45
12,Interest & Investment Income,4.74,1.71,4.73,2,1.9,1.5,1.28,2.76
13,Currency Exchange Gain (Loss),-2.84,2.84,-,-2.66,-5.97,5.97,-,7.67
14,Other Non Operating Income (Expenses),-1.67,-4.35,-2.29,-2.01,6.18,1.39,-1.24,-1.73
15,EBT Excluding Unusual Items,126.55,53.16,63.4,18,53.61,32.37,63.29,1.05
16,Gain (Loss) on Sale of Investments,0.61,3.66,-1.19,2.39,-7.09,-3.82,-0.59,-0.27
17,Gain (Loss) on Sale of Assets,-0.99,-0.06,-,-5.69,-1.03,1.03,-,-0.75
18,Asset Writedown,-23.58,8.29,-8.29,-,-22.36,21.15,-21.15,-
19,Other Unusual Items,-1.75,11.6,-,19.29,0.13,-0.13,-,31.51
20,Pretax Income,100.84,76.63,53.92,33.99,23.27,50.6,41.55,31.53
21,Income Tax Expense,23.38,17.21,12.29,-1.06,2.96,15.51,7.95,-4.96
22,Net Income,77.45,59.42,41.63,35.05,20.31,35.09,33.6,36.49
23,Net Income to Common,77.45,59.42,41.63,35.05,20.31,35.09,33.6,36.49
24,Net Income Growth,281.44%,69.34%,23.91%,-3.96%,-,-,-,-
25,Shares Outstanding (Basic),2682,2678,2669,2015,1996,2005,2012,2005
26,Shares Outstanding (Diluted),2682,2678,2669,2015,1996,2005,2012,2005
27,Shares Change (YoY),34.36%,33.57%,32.65%,0.51%,-,-,-,-
28,EPS (Basic),0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02
29,EPS (Diluted),0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02
30,EPS Growth,183.92%,26.78%,-6.59%,-4.44%,-,-,-,-
31,Free Cash Flow,59.41,300.15,13.32,373.02,207.93,147.71,103.76,38.54
32,Free Cash Flow Per Share,0.02,0.11,0.00,0.19,0.10,0.07,0.05,0.02
33,Dividend Per Share,-,0.011,-,0.014,-,-,-,-
34,Gross Margin,12.00%,8.47%,6.99%,7.54%,9.17%,6.60%,6.38%,6.81%
35,Operating Margin,5.27%,2.14%,2.51%,1.06%,2.64%,1.26%,2.94%,0.25%
36,Profit Margin,3.17%,2.28%,1.65%,1.29%,1.01%,1.61%,1.40%,1.59%
37,Free Cash Flow Margin,2.43%,11.49%,0.53%,13.74%,10.37%,6.78%,4.33%,1.68%
38,EBITDA,149.04,76.31,84.05,49.53,71.8,48.76,90.54,26.53
39,EBITDA Margin,6.11%,2.92%,3.33%,1.82%,3.58%,2.24%,3.78%,1.16%
40,D&A For EBITDA,20.58,20.46,20.58,20.85,18.88,21.29,20.12,20.73
41,EBIT,128.46,55.85,63.47,28.68,52.92,27.47,70.42,5.8
42,EBIT Margin,5.27%,2.14%,2.51%,1.06%,2.64%,1.26%,2.94%,0.25%
43,Effective Tax Rate,23.19%,22.46%,22.79%,-,12.74%,30.65%,19.13%,-
44,Revenue as Reported,2440,2611,2527,2716,2005,2180,2394,2293
