,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,150,216,193,265,716,923,4731,5447,4140,-,-
1,Market Cap Growth,-18.43%,-18.43%,-73.04%,-71.35%,-84.87%,-83.05%,14.29%,-,-,-,-
2,Enterprise Value,-144,-341,-396,-349,200,357,3776,3781,3974,-,-
3,Last Close Price,0.14,0.21,0.19,0.26,0.69,0.89,4.56,5.25,3.92,-,-
4,PE Ratio,-,-,-,-0.89,-,9.63,22.08,21.25,20.31,-,-
5,Forward PE,-,1.81,1.81,1.81,1.81,1.96,10.61,14.57,13.16,-,-
6,PS Ratio,0.13,0.18,0.15,0.21,0.55,0.63,2.89,3.37,3.16,-,-
7,PB Ratio,0.13,0.19,0.16,0.21,0.54,0.54,2.62,3.22,2.52,-,-
8,P/TBV Ratio,0.41,0.41,0.35,0.41,1.09,1.24,6.09,8.04,2.74,-,-
9,P/FCF Ratio,1.45,-,1.32,5.58,-532.13,-,20.39,18.28,22.26,-,-
10,P/OCF Ratio,2.01,2.01,1.29,5.10,224.39,-,19.71,18.05,21.75,-,-
11,EV/Sales Ratio,-,-,-,-,0.16,0.24,2.30,2.34,3.03,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,1.92,11.52,10.81,14.09,-,-
13,EV/EBIT Ratio,-,-,-,-,-,2.07,12.00,11.15,14.56,-,-
14,EV/FCF Ratio,-1.39,-,-,-,-148.82,-,16.28,12.69,21.37,-,-
15,Debt / Equity Ratio,0.25,0.25,0.07,0.11,0.15,0.15,0.18,0.19,0.03,0.15,0.24
16,Debt / FCF Ratio,2.83,-,0.58,2.97,-144.96,-,1.42,1.07,0.24,-,0.26
17,Return on Capital Employed (ROCE),-,-3.87%,-,0.05%,-,9.34%,15.65%,17.19%,16.26%,85.82%,87.56%
18,Earnings Yield,-79.83%,-55.65%,-46.35%,-112.01%,-44.43%,10.39%,4.53%,4.71%,4.92%,-,-
19,FCF Yield,68.73%,47.91%,75.88%,17.94%,-0.19%,12.03%,4.90%,5.47%,4.49%,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,-1.59%,-38.33%,-39.41%,-3.45%,-,
21,Total Shareholder Return,-,-,-,-,-,-1.59%,-38.33%,-39.41%,-3.45%,-,
