,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2044,1923,1744,1435,1780,2299,2411,2646,2868,2461,2494,-,-,-,-,-,-
1,Market Cap Growth,-16.36%,-16.36%,-27.67%,-45.78%,-37.96%,-6.61%,-3.34%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1649,1528,1095,749,1013,1532,1603,1690,1767,1360,2083,-,-,-,-,-,-
3,Last Close Price,11.65,10.96,9.94,8.03,9.84,12.71,13.33,14.63,15.64,13.42,13.60,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,27.64,-,-,-,-,-,-,-
5,PS Ratio,1.47,1.38,1.30,1.13,1.38,2.00,1.65,1.61,1.86,1.47,1.64,-,-,-,-,-,-
6,PB Ratio,1.92,1.82,1.65,1.27,1.53,1.89,1.95,2.11,2.20,1.85,2.04,-,-,-,-,-,-
7,P/TBV Ratio,1.89,1.89,1.71,1.32,1.58,1.95,2.02,2.18,2.23,1.88,2.07,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,56.17,-17.76,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,19.26,-,27.11,-110.41,-,-,-17.75,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.18,1.10,0.82,0.59,0.79,1.33,1.10,1.03,1.15,0.81,1.37,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,15.06,26.58,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,15.42,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,37.45,-11.81,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.22,0.22,0.22,0.32,0.16,0.15,0.14,0.06,0.10,0.10,0.14,-,0.36,0.36,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,0.31,79.02,-,-,0.32,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,4.33,-1.29,-,-,-,-,-,-,0.69,-,-,-
17,Asset Turnover,-,0.25,0.48,0.23,1.01,0.18,0.57,0.02,1.53,-,-,-,-,-,-,-,
18,Inventory Turnover,-,-,0.78,1.42,0.75,3.10,0.44,2.23,0.04,4.72,-,-,-,-,-,-,-
19,Quick Ratio,-,-,0.62,0.85,0.90,1.10,0.91,1.27,1.45,1.54,1.18,-,-,0.69,-,-,-
20,Current Ratio,-,-,1.33,1.36,1.51,1.61,1.61,1.85,2.00,1.97,1.81,-,-,1.20,-,-,-
21,Return on Equity (ROE),-0.03%,-5.06%,-3.29%,-11.06%,-6.36%,-6.12%,-4.28%,-7.80%,33.10%,-,-,-15.94%,-,-,-,-,
22,Return on Assets (ROA),-,-0.83%,-2.14%,-4.14%,-2.93%,-1.31%,-2.54%,-3.65%,10.11%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),-0.68%,-1.67%,-4.16%,-8.00%,-5.62%,-2.46%,-4.43%,-6.24%,18.26%,-,-,-9.77%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,6.57%,-,-,-,22.25%,-,-,-
25,Earnings Yield,-2.76%,-2.93%,-4.35%,-5.64%,-4.79%,-3.39%,1.95%,2.33%,2.68%,3.62%,3.19%,-,-,-,-,-,-
26,FCF Yield,-,-10.04%,-2.57%,-4.19%,1.78%,-5.63%,-8.65%,-3.94%,-9.91%,-0.89%,-,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,1.49%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,1.03%,-,39.65%,-,1.40%,-,-,-
29,Buyback Yield / Dilution,2.85%,0.36%,8.26%,2.43%,0.07%,3.09%,-31.57%,-33.17%,-35.49%,-41.83%,-5.18%,-,-,-,-,-,-
30,Total Shareholder Return,2.85%,0.36%,8.26%,2.43%,0.07%,3.09%,-31.57%,-33.17%,-35.49%,-40.34%,-5.18%,-,-,-,-,-,-
