,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,736.11,191.17,316.16,150.91,656.92,117.67,341.12,10.16,974.45,304.12,238.91,137.45,833.51,176.46,130.88,130.88
1,Other Revenue,-,-14.02,14.02,-,22.58,-4.36,4.36,-,14.47,-5.18,5.18,-,5.67,-,-,-
2,Revenue,736.11,177.15,330.18,150.91,679.51,113.31,345.49,10.16,988.92,298.94,244.09,137.45,839.18,176.46,130.88,130.88
3,Revenue Growth (YoY),8.33%,56.35%,-4.43%,1385.08%,-31.29%,-62.10%,41.54%,-92.61%,17.84%,69.41%,86.50%,5.01%,-,-,-,-
4,Cost of Revenue,-553.3,157.36,263.76,132.18,630.63,82.45,314.93,5.63,768.79,250.45,188.76,118.89,665.76,65.99,137.93,137.93
5,Gross Profit,1289,19.79,66.41,18.73,48.88,30.86,30.56,4.53,220.13,48.49,55.34,18.55,173.42,110.47,-7.05,-7.05
6,"Selling, General & Admin",-135.9,27.55,62.95,45.4,61.48,32.4,37.55,35.01,51.94,37.77,34.27,39.09,36.39,82.44,-,-
7,Research & Development,-69.5,19.96,25.33,24.21,19.35,18.17,15.71,19.86,11.79,15.11,16.25,15.61,21.31,33.81,-,-
8,Other Operating Expenses,1480,-6.29,1.63,-0.35,-6.27,0.58,2.07,-0.93,22.92,-6.08,-0.51,-11.59,8.71,-6.51,-,-
9,Operating Expenses,1293,29.09,90.14,62.66,80.47,44.37,55.07,40.73,115.8,48.5,53.42,36.59,81.02,109.84,-,-
10,Operating Income,-3.51,-9.3,-23.73,-43.93,-31.6,-13.51,-24.51,-36.2,104.32,-0.01,1.92,-18.03,92.4,0.63,-7.05,-7.05
11,Interest Expense,-10.64,-1.96,-2.61,-,-1.15,-0.97,-,-3.49,-0.65,-1.3,-1.27,-,-1.29,-2.78,-,-
12,Interest & Investment Income,4.57,4.55,1.44,4.64,3.09,4.16,10.22,1.26,1.71,1.6,1.68,0.23,3.63,3.11,-,-
13,Currency Exchange Gain (Loss),-,-2.77,2.77,-,-0.24,-9.21,9.21,-,5.9,-3.78,3.78,-,-1.02,-,-,-
14,Other Non Operating Income (Expenses),-0.82,1.33,-0.57,-,-3.05,4.87,-0.58,-0,-18.45,17.18,0.4,0.02,-0.57,-1.09,0.42,0.42
15,EBT Excluding Unusual Items,-10.4,-8.15,-22.7,-39.28,-32.95,-14.66,-5.67,-38.43,92.84,13.69,6.5,-17.79,93.14,-0.14,-6.63,-6.63
16,Gain (Loss) on Sale of Investments,-0.99,1.14,2.63,-2.78,2.71,-1.82,-11.74,4.98,14.4,-26.43,-5.69,0.32,-0.2,0.94,-,-
17,Gain (Loss) on Sale of Assets,0.02,0,-0.02,-,-0.31,0.03,0.3,0.02,-0.08,0.06,0.13,-,-0.29,-,-,-
18,Asset Writedown,8.84,-9.21,1.27,-0.9,5.72,-8.77,-1.26,0.62,-4.75,4.28,0.19,-0.42,4.64,-2.66,-,-
19,Other Unusual Items,-0.49,-3.52,3.84,0.16,-1.19,-,-,-,20.96,-,-,-,12.54,-,-,-
20,Pretax Income,-3.02,-19.74,-14.97,-42.8,-26.02,-25.23,-18.36,-32.8,123.37,-8.4,1.13,-17.89,109.85,-1.86,-6.63,-6.63
21,Income Tax Expense,-2.94,-5.87,-5.54,-9.83,-6.49,-6.17,-4.67,-7.13,17.92,-3.96,-0.42,-4.36,13.75,-1.49,-2.02,-2.02
22,Earnings From Continuing Operations,-0.08,-13.86,-9.43,-32.97,-19.53,-19.05,-13.69,-25.66,105.46,-4.44,1.55,-13.53,96.09,-0.37,-4.61,-4.61
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-0,-,-,-,-
24,Net Income,-0.08,-13.86,-9.43,-32.97,-19.53,-19.05,-13.69,-25.66,105.46,-4.44,1.55,-13.53,96.09,-0.37,-4.61,-4.61
25,Net Income to Common,-0.08,-13.86,-9.43,-32.97,-19.53,-19.05,-13.69,-25.66,105.46,-4.44,1.55,-13.53,96.09,-0.37,-4.61,-4.61
26,Net Income Growth,-,-,-,-,-,-,-,-,9.74%,-,-,-,-,-,-,-
27,Shares Outstanding (Basic),177,174,170,183,177,190,174,183,183,144,131,135,129,137,-,-
28,Shares Outstanding (Diluted),177,174,170,183,177,190,174,183,183,144,131,135,129,137,-,-
29,Shares Change (YoY),-0.36%,-8.26%,-2.43%,-0.07%,-3.09%,31.57%,33.17%,35.49%,41.83%,5.18%,-,-,-,-,-,-
30,EPS (Basic),-0.00,-0.08,-0.06,-0.18,-0.11,-0.10,-0.08,-0.14,0.58,-0.03,0.01,-0.10,0.74,-0.00,-,-
31,EPS (Diluted),-0.00,-0.08,-0.06,-0.18,-0.11,-0.10,-0.08,-0.14,0.58,-0.03,0.01,-0.10,0.74,-0.00,-,-
32,EPS Growth,-,-,-,-,-,-,-,-,-22.62%,-,-,-,-,-,-,-
33,Free Cash Flow,-,-129.27,-21.92,-155.72,131.83,8.89,-59.57,-40.23,-44.82,-84.14,56.14,-171.07,176.85,-,-,-
34,Free Cash Flow Per Share,-,-0.74,-0.13,-0.85,0.74,0.05,-0.34,-0.22,-0.24,-0.58,0.43,-1.26,1.37,-,-,-
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.200,-,-,-,-,-,-,-
36,Gross Margin,175.17%,11.17%,20.11%,12.41%,7.19%,27.23%,8.84%,44.59%,22.26%,16.22%,22.67%,13.50%,20.67%,62.60%,-5.39%,-5.39%
37,Operating Margin,-0.48%,-5.25%,-7.19%,-29.11%,-4.65%,-11.92%,-7.09%,-356.20%,10.55%,-0.00%,0.78%,-13.12%,11.01%,0.36%,-5.39%,-5.39%
38,Profit Margin,-0.01%,-7.83%,-2.86%,-21.85%,-2.87%,-16.82%,-3.96%,-252.53%,10.66%,-1.49%,0.63%,-9.84%,11.45%,-0.21%,-3.53%,-3.53%
39,Free Cash Flow Margin,-,-72.97%,-6.64%,-103.19%,19.40%,7.85%,-17.24%,-395.89%,-4.53%,-28.15%,23.00%,-124.46%,21.07%,-,-,-
40,EBITDA,-2.11,-7.9,-21.9,-42.52,-30.19,-12.92,-23.25,-35.6,104.92,0.54,2.37,-17.49,92.95,0.96,-6.71,-6.71
41,EBITDA Margin,-0.29%,-4.46%,-6.63%,-28.18%,-4.44%,-11.40%,-6.73%,-,10.61%,0.18%,0.97%,-12.72%,11.08%,0.55%,-5.13%,-5.13%
42,D&A For EBITDA,1.41,1.41,1.83,1.41,1.41,0.6,1.26,0.6,0.6,0.55,0.46,0.55,0.55,0.34,0.34,0.34
43,EBIT,-3.51,-9.3,-23.73,-43.93,-31.6,-13.51,-24.51,-36.2,104.32,-0.01,1.92,-18.03,92.4,0.63,-7.05,-7.05
44,EBIT Margin,-0.48%,-5.25%,-7.19%,-29.11%,-4.65%,-11.92%,-7.09%,-,10.55%,-0.00%,0.78%,-13.12%,11.01%,0.36%,-5.39%,-5.39%
45,Effective Tax Rate,-,-,-,-,-,-,-,-,14.52%,-,-,-,12.52%,-,-,-
46,Revenue as Reported,-,177.15,330.18,150.91,679.51,113.31,345.49,10.16,988.92,298.94,244.09,137.45,839.18,438.22,-,-
