,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,295.68,587.12,463.24,516.35,353.55,354.58,218.28,264.5,1272,-,-,532.33,-,-,-
1,Short-Term Investments,-,-,40,-,19.85,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,332.51,388.21,408.28,538.58,588.33,528.9,868.12,864.56,-,-,-,0.74,-,-,-
3,Cash & Short-Term Investments,628.19,628.19,1015,871.53,1075,941.87,883.48,1086,1129,1272,-,533.07,533.07,-,-,-
4,Cash Growth,-41.55%,-33.30%,14.92%,-19.78%,-4.81%,-25.95%,-,103.80%,111.80%,-,-,-,-,-,-,-
5,Accounts Receivable,-,353.1,437.82,444.29,461.03,391.17,542.83,517.79,670.62,363.74,-,-,386.52,-,-,-
6,Other Receivables,-,31.81,35.5,24.43,20.67,45.03,1.4,16.84,18.89,14.34,-,-,0.55,-,-,-
7,Receivables,-,384.9,473.32,468.72,481.7,436.2,544.23,534.63,689.5,378.08,-,-,387.08,-,-,-
8,Inventory,-,858.78,750.25,736.29,677.03,948.37,562.69,566.3,494.69,808.99,-,-,616.12,-,-,-
9,Other Current Assets,-,307.94,140.66,175.72,39.92,105.9,96.78,45.21,17.91,77.96,-,-,59.29,-,-,-
10,Total Current Assets,-,2180,2380,2252,2273,2432,2087,2233,2331,2537,-,-,1596,-,-,-
11,"Property, Plant & Equipment",-,336.06,319.18,247.21,194.35,178.41,174.5,111.61,17.2,17.77,-,-,21.9,-,-,-
12,Other Intangible Assets,-,40.82,40.77,40.76,41.23,41.24,41.3,17.37,17.51,17.54,-,-,17.94,-,-,-
13,Long-Term Deferred Tax Assets,-,61.83,55.94,50.34,40.46,33.9,27.69,22.79,15.65,21.37,-,-,12.59,-,-,-
14,Long-Term Deferred Charges,-,0.78,0.82,0.86,0.9,0.06,6,0.06,1.01,0.06,-,-,-,-,-,-
15,Other Long-Term Assets,-,88.29,87.59,78.55,88.91,70.87,54.23,48.13,142.6,41.75,-,-,35.56,-,-,-
16,Total Assets,-,2708,2884,2670,2639,2757,2391,2433,2525,2636,-,-,1684,-,-,-
17,Accounts Payable,-,572.07,621.76,580.1,665.61,682.52,541.98,486.58,685.96,557.79,-,-,697.44,-,-,-
18,Accrued Expenses,-,44.24,42.57,27.9,51.48,32.12,38.56,24.92,62.33,34.86,-,-,34.39,-,-,-
19,Short-Term Debt,-,231.74,365.12,185.14,175.14,175,75,127.25,127.25,165.69,-,-,108.35,-,-,-
20,Current Portion of Leases,-,-,1.25,-,1.28,-,0.5,-,4.77,-,-,-,4.99,-,-,-
21,Current Income Taxes Payable,-,5.46,0.09,3.97,0.14,1.29,0.03,7.97,12.19,1.24,-,-,10.81,-,-,-
22,Current Unearned Revenue,-,736.63,664.71,656.52,490.43,582.48,361.68,429.24,255.17,592.02,-,-,447.93,-,-,-
23,Other Current Liabilities,-,48.56,47.93,39.69,26.42,39.28,109.1,39.94,34.48,52.34,-,-,24.81,-,-,-
24,Total Current Liabilities,-,1639,1743,1493,1410,1513,1127,1116,1182,1404,-,-,1329,-,-,-
25,Long-Term Leases,-,1.7,0.51,0.73,0.96,0.63,0.73,3.19,4.38,5.25,-,-,8.92,-,-,-
26,Other Long-Term Liabilities,-,8.58,8.51,10.79,9.32,6.35,8.13,10.06,10.56,5.71,-,-,6.53,-,-,-
27,Total Liabilities,-,1649,1752,1505,1421,1520,1136,1129,1197,1415,-,-,1344,-,-,-
28,Common Stock,-,180.85,180.85,180.85,180.85,180.85,180.85,180.85,180.85,180.85,-,-,135.64,-,-,-
29,Additional Paid-In Capital,-,893.31,898.93,894.23,892.83,891.97,890.73,889.49,888.52,887.2,-,-,36.52,-,-,-
30,Retained Earnings,-,78.78,92.64,102.07,135.04,154.57,173.62,223.48,249.14,143.68,-,-,160.1,-,-,-
31,Treasury Stock,-,-103.9,-50.58,-21.67,-,-,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,-,9.58,9.56,9.65,9.8,9.77,9.99,9.53,9.54,8.89,-,-,7.11,-,-,-
33,Total Common Equity,1059,1059,1131,1165,1219,1237,1255,1303,1328,1221,-,339.37,339.37,-,-,-
34,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-0,-,-,-
35,Shareholders' Equity,1059,1059,1131,1165,1219,1237,1255,1303,1328,1221,-,339.37,339.37,-,-,-
36,Total Liabilities & Equity,-,2708,2884,2670,2639,2757,2391,2433,2525,2636,-,-,1684,-,-,-
37,Total Debt,233.43,233.43,366.87,185.87,177.37,175.63,76.22,130.44,136.4,170.95,-,122.26,122.26,-,-,-
38,Net Cash (Debt),394.75,394.75,648.46,685.65,897.4,766.25,807.26,955.96,992.66,1101,-,410.8,410.8,-,-,-
