,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,516.64,234.1,585.81,408.71,78.92,288.71,-
1,Short-Term Investments,-,350.76,37.06,186.82,201.63,190.45,-
2,Trading Asset Securities,982.08,1130,1003,1015,1304,1298,-
3,Cash & Short-Term Investments,1499,1715,1626,1611,1584,1777,-
4,Cash Growth,-7.80%,6.45%,2.61%,-9.33%,-,-,-
5,Accounts Receivable,51.41,34.19,37.32,24.94,29.25,24.89,-
6,Other Receivables,-,-,-,-,4.27,2.2,-
7,Receivables,51.41,34.19,37.46,24.94,34.38,27.94,-
8,Prepaid Expenses,16.01,15.47,9.39,8.42,11.18,6.23,-
9,Restricted Cash,0.41,0.05,0.13,0.18,0.08,0.18,-
10,Other Current Assets,36.72,36.79,27.1,26.49,29.7,37.5,-
11,Total Current Assets,1603,1801,1700,1671,1660,1849,-
12,"Property, Plant & Equipment",53.12,61.1,85.76,107.01,125.46,113.23,-
13,Long-Term Investments,6.92,5.42,22.5,27.88,25.45,23.29,-
14,Other Intangible Assets,1.05,1.18,0.69,0.59,0.37,0.41,-
15,Long-Term Deferred Tax Assets,0.72,4.67,17.65,19.14,17.49,13.19,-
16,Long-Term Deferred Charges,26.68,29.72,28.25,31.22,26.26,19.1,-
17,Other Long-Term Assets,6.57,2.97,11.38,13.98,12.42,16.25,-
18,Total Assets,1698,1906,1866,1871,1867,2035,-
19,Accounts Payable,7.41,2.56,6.29,6.77,9.71,4.7,-
20,Accrued Expenses,167.96,207.93,182.46,253.69,169.98,199.06,-
21,Current Portion of Leases,10.35,22,32.41,33.9,35.25,37.13,-
22,Current Unearned Revenue,433.29,460.94,427.9,469.33,390.4,398.41,-
23,Other Current Liabilities,1.45,2.15,0.86,2.98,5.37,3.15,-
24,Total Current Liabilities,620.47,695.58,649.92,766.66,610.7,642.45,-
25,Long-Term Debt,-,-,-,9408,7403,6611,-
26,Long-Term Leases,7.31,0.74,6.83,22.31,32.35,39.4,-
27,Long-Term Unearned Revenue,34.94,55.2,27.37,30.06,18.8,22.28,-
28,Total Liabilities,662.72,751.52,684.12,10227,8065,7315,-
29,Common Stock,0.05,0.05,0.05,0.02,0.02,0.02,-
30,Additional Paid-In Capital,13176,13146,13028,623.06,623.06,623.06,-
31,Retained Earnings,-11147,-11048,-10897,-7815,-5379,-5216,-
32,Comprehensive Income & Other,-993.89,-943.49,-948.94,-1164,-1442,-687.11,-
33,Shareholders' Equity,1036,1155,1182,-8357,-6198,-5280,-
34,Total Liabilities & Equity,1698,1906,1866,1871,1867,2035,-
35,Total Debt,17.66,22.74,39.24,9465,7471,6687,-
36,Net Cash (Debt),1481,1692,1586,-7854,-5887,-4911,-
37,Net Cash Growth,-6.64%,-,-,-,-,-,-
38,Net Cash Per Share,2.06,2.19,2.41,-36.74,-27.54,-22.97,-
39,Filing Date Shares Outstanding,700.67,718.35,691.54,213.74,716.5,213.74,214.39
40,Total Common Shares Outstanding,700.67,718.35,691.54,213.74,213.74,213.74,214.39
41,Working Capital,982.8,1106,1050,904.3,1049,1206,-
42,Book Value Per Share,1.48,1.61,1.71,-39.10,-29.00,-24.70,-
43,Tangible Book Value,1035,1154,1181,-8357,-6199,-5281,-
44,Tangible Book Value Per Share,1.48,1.61,1.71,-39.10,-29.00,-24.71,-
45,Machinery,100.98,93.44,89.02,83.22,79.39,59.74,-
46,Leasehold Improvements,35.2,35.04,32.82,42.27,43.29,30.05,-
