,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Revenue,436.58,454.21,400.53,400.15,350.77,366.84,312.79
1,Revenue Growth (YoY),9.00%,13.51%,14.19%,9.08%,12.14%,-,-
2,Cost of Revenue,154.83,176.29,163.52,173.9,161.45,155.25,123.87
3,Gross Profit,281.75,277.92,237.01,226.25,189.32,211.59,188.92
4,"Selling, General & Admin",274.73,290.19,332.47,310.71,241.88,256.51,281.1
5,Research & Development,154.78,163.9,186.97,158.47,144.86,133.08,125.28
6,Other Operating Expenses,-46.09,-38.04,-30.26,-19.48,-15.87,-1.25,-3.61
7,Operating Expenses,385.76,415.26,493.75,450.01,373.46,389.36,402.77
8,Operating Income,-104,-137.34,-256.74,-223.76,-184.15,-177.77,-213.85
9,Interest Expense,-0.57,-0.79,-1.23,-1.22,-1.86,-1.53,-1.1
10,Interest & Investment Income,1.3,3.51,4.96,4.43,3.21,3.8,4.01
11,Currency Exchange Gain (Loss),-2.78,-1.16,-2.16,-0.06,-0.56,23.98,20.23
12,Other Non Operating Income (Expenses),-,-,-2811,-2236,-4.99,-977.6,-660.6
13,EBT Excluding Unusual Items,-106.05,-135.78,-3066,-2457,-188.35,-1129,-851.31
14,Gain (Loss) on Sale of Investments,11,-1.73,9.29,19.34,21.19,12.69,4.79
15,Gain (Loss) on Sale of Assets,-0.04,-0.03,0.14,-0.15,0.03,-0.49,12.18
16,Other Unusual Items,-,-,-,-,-,15.36,14.33
17,Pretax Income,-95.09,-137.54,-3057,-2438,-167.12,-1102,-820.01
18,Income Tax Expense,3.95,12.98,1.49,-1.61,-4.3,-12.99,0.18
19,Net Income,-99.04,-150.52,-3058,-2436,-162.82,-1089,-820.2
20,Net Income to Common,-99.04,-150.52,-3058,-2436,-162.82,-1089,-820.2
21,Shares Outstanding (Basic),720,774,659,214,214,214,214
22,Shares Outstanding (Diluted),720,774,659,214,214,214,214
23,Shares Change (YoY),9.27%,262.23%,208.23%,-0.00%,-0.30%,-,-
24,EPS (Basic),-0.14,-0.19,-4.64,-11.40,-0.76,-5.09,-3.83
25,EPS (Diluted),-0.14,-0.19,-4.64,-11.40,-0.76,-5.09,-3.83
26,Free Cash Flow,-105.09,85.21,-181.58,33.41,-220.29,-46.08,-152.17
27,Free Cash Flow Per Share,-0.15,0.11,-0.28,0.16,-1.03,-0.22,-0.71
28,Operating Margin,-23.82%,-30.24%,-64.10%,-55.92%,-52.50%,-48.46%,-68.37%
29,Profit Margin,-22.69%,-33.14%,-763.50%,-608.82%,-46.42%,-296.75%,-262.22%
30,Free Cash Flow Margin,-24.07%,18.76%,-45.33%,8.35%,-62.80%,-12.56%,-48.65%
31,EBITDA,-90.8,-123.79,-243.7,-211,-173.09,-170.14,-208.21
32,D&A For EBITDA,13.21,13.56,13.04,12.76,11.06,7.64,5.64
33,EBIT,-104,-137.34,-256.74,-223.76,-184.15,-177.77,-213.85
