,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,4132,2663,3563,4056,-,-,-,-
1,Market Cap Growth,-34.35%,-34.35%,-,-,-,-,-,-
2,Enterprise Value,2492,829,1861,13031,-,-,-,-
3,Last Close Price,5.90,3.80,4.96,5.67,-,-,-,-
4,PS Ratio,4.47,2.70,3.85,4.72,-,-,-,-
5,PB Ratio,3.60,2.32,2.85,3.20,-,-,-,-
6,P/TBV Ratio,2.32,2.32,2.85,3.20,-,-,-,-
7,P/FCF Ratio,-,-,-34.11,-,-,-,-,-
8,P/OCF Ratio,-,-,-40.44,-,-,-,-,-
9,EV/Sales Ratio,2.53,0.84,2.01,15.16,-,-,-,-
10,EV/FCF Ratio,-106.84,-,-17.81,-,-,-,-,-
11,Debt / Equity Ratio,0.02,0.02,0.02,0.03,-1.13,-1.21,-1.27,-
12,Debt / FCF Ratio,-,-,-0.24,-,-50.65,-,-,-
13,Earnings Yield,-6.69%,-10.38%,-97.60%,-145.39%,-,-,-,-
14,FCF Yield,-0.56%,-0.83%,-2.93%,-3.92%,-,-,-,-
15,Buyback Yield / Dilution,-71.24%,-9.27%,-262.23%,-208.23%,0.00%,0.30%,-,-
16,Total Shareholder Return,-71.24%,-9.27%,-262.23%,-208.23%,0.00%,0.30%,-,-
