,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,22627,32673,18679,21086,-,25481,23308,27092,23362,39921,17496,15891,-,12881,12085,-,6292,19158,9147,9034,Upgrade
1,Short-Term Investments,6177,6687,7999,7999,-,8040,9265,9715,11428,11428,11428,11428,-,9175,8513,-,8408,9609,9609,11428,Upgrade
2,Cash & Short-Term Investments,28805,39359,26678,29085,33521,33521,32573,36808,34789,51348,28924,27319,22056,22056,20598,14700,14700,28767,18756,20461,Upgrade
3,Cash Growth,-14.07%,17.42%,-18.10%,-20.98%,-3.64%,-34.72%,12.62%,34.73%,57.73%,132.81%,40.42%,85.85%,50.05%,-23.33%,9.82%,-28.16%,-,-25.35%,-60.29%,-50.92%,Upgrade
4,Accounts Receivable,25096,25980,28483,27583,-,28044,31206,29932,28137,25894,30985,23631,-,55608,52172,-,50711,40664,42760,42433,Upgrade
5,Other Receivables,472.83,326.56,166.09,220.07,-,347.49,192.44,351.04,186.02,246.85,306.44,128.53,-,250.71,268.83,-,1139,1163,1107,1218,Upgrade
6,Receivables,25569,26306,28649,27803,-,28391,31398,30283,28323,26141,31291,23759,-,55859,52440,-,51849,41828,43867,43651,Upgrade
7,Inventory,93553,102363,99576,104838,-,98536,98786,100341,82738,73652,87593,100016,-,91403,93265,-,96786,89543,105151,103140,Upgrade
8,Prepaid Expenses,-,-,304.3,596.46,-,-,292.16,584.32,876.48,-,292.16,589.86,-,16.62,305.24,-,11.08,16.62,257.95,525.41,Upgrade
