,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,123.44,262.31,65.65,90.03,-
1,Short-Term Investments,-,11.02,10.98,11.25,-
2,Trading Asset Securities,42.64,-,-,-,-
3,Cash & Short-Term Investments,166.08,273.34,76.63,101.28,-
4,Cash Growth,116.74%,169.89%,-,-,-
5,Accounts Receivable,74.16,63.71,27.71,23.53,-
6,Other Receivables,11.7,2.92,2.02,1.06,-
7,Receivables,85.86,66.63,29.73,24.59,-
8,Inventory,908.87,857.86,835.75,786.69,-
9,Prepaid Expenses,-,-,3.54,-,-
10,Restricted Cash,10.6,10,-,-,-
11,Other Current Assets,36.6,3.93,38.95,35.22,-
12,Total Current Assets,1208,1212,984.6,947.77,-
13,"Property, Plant & Equipment",323.74,319.57,342.55,366.26,-
14,Long-Term Investments,27.04,27.8,30.81,33.38,-
15,Other Intangible Assets,3.1,2.61,2.86,3.32,-
16,Long-Term Deferred Tax Assets,66.85,59.84,55.94,53.07,-
17,Other Long-Term Assets,13.11,6.39,5.25,7.1,-
18,Total Assets,1642,1628,1422,1411,-
19,Accounts Payable,133.23,112.84,131.31,120.91,-
20,Accrued Expenses,-,20.69,10.43,21.27,-
21,Short-Term Debt,170.3,53,33,33,-
22,Current Portion of Long-Term Debt,3.2,79.2,79.1,101.9,-
23,Current Portion of Leases,31.37,31.28,34.23,30.46,-
24,Current Income Taxes Payable,2.52,5.5,5.26,13.45,-
25,Current Unearned Revenue,12.58,16.67,12.78,4.94,-
26,Other Current Liabilities,103.94,66.18,66.26,60.61,-
27,Total Current Liabilities,457.14,385.36,372.37,386.53,-
28,Long-Term Debt,96.7,118.3,99.9,76.3,-
29,Long-Term Leases,93.37,103.48,123.16,138.75,-
30,Long-Term Unearned Revenue,10.07,10.54,10.71,9.14,-
31,Long-Term Deferred Tax Liabilities,-,-,0.76,0.91,-
32,Total Liabilities,657.28,617.67,606.9,611.63,-
33,Common Stock,126,84,63,63,-
34,Additional Paid-In Capital,-,426.72,303.74,303.74,-
35,Retained Earnings,406.35,478.65,422.94,404.87,-
36,Comprehensive Income & Other,451,19.03,21.69,22.63,-
37,Total Common Equity,983.34,1008,811.36,794.24,-
38,Minority Interest,1.23,1.91,3.74,5.03,-
39,Shareholders' Equity,984.57,1010,815.1,799.27,-
40,Total Liabilities & Equity,1642,1628,1422,1411,-
41,Total Debt,394.94,385.26,369.38,380.41,-
42,Net Cash (Debt),-228.86,-111.93,-292.76,-279.14,-
43,Net Cash Per Share,-2.55,-1.17,-4.65,-2.95,-
44,Filing Date Shares Outstanding,126,126,94.5,94.5,94.5
45,Total Common Shares Outstanding,126,126,94.5,94.5,94.5
46,Working Capital,750.87,826.41,612.23,561.24,-
47,Book Value Per Share,7.80,8.00,8.59,8.40,-
48,Tangible Book Value,980.24,1006,808.5,790.92,-
49,Tangible Book Value Per Share,7.78,7.98,8.56,8.37,-
50,Machinery,-,220.16,212.97,208.55,-
51,Construction In Progress,-,6.32,2.38,2.17,-
