,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,195.13,295.32,232.03,234.62,228.25
1,Revenue Growth (YoY),-15.90%,25.87%,1.65%,-,-
2,Cost of Revenue,70.46,84.75,92.2,70.61,87.27
3,Gross Profit,124.67,210.57,139.83,164.01,140.99
4,"Selling, General & Admin",116,145.04,106.15,113.72,100.93
5,Other Operating Expenses,-2.04,-5.49,0.28,-5.76,0.49
6,Operating Expenses,113.96,139.55,106.43,107.96,101.43
7,Operating Income,10.71,71.02,33.39,56.05,39.56
8,Interest Expense,-8.09,-8,-7.82,-7.28,-6.22
9,Interest & Investment Income,0.41,0.29,0.16,0.24,0.48
10,Earnings From Equity Investments,-,1.53,1.3,2.07,0.72
11,Currency Exchange Gain (Loss),-,-0.51,-,-,-
12,EBT Excluding Unusual Items,3.03,64.33,27.03,51.07,34.54
13,Gain (Loss) on Sale of Assets,-,0.99,-,-0.15,-0.01
14,Pretax Income,3.03,65.32,27.03,50.92,34.53
15,Income Tax Expense,-1.39,10.37,3.46,10.78,4.17
16,Earnings From Continuing Operations,4.41,54.95,23.57,40.13,30.36
17,Minority Interest in Earnings,0.68,0.77,0.8,1.17,0.55
18,Net Income,5.09,55.71,24.37,41.3,30.91
19,Net Income to Common,5.09,55.71,24.37,41.3,30.91
20,Net Income Growth,-79.11%,34.91%,-21.16%,-,-
21,Shares Outstanding (Basic),90,96,63,95,95
22,Shares Outstanding (Diluted),90,96,63,95,95
23,Shares Change (YoY),42.49%,1.64%,-33.33%,-,-
24,EPS (Basic),0.06,0.58,0.39,0.44,0.33
25,EPS (Diluted),0.06,0.58,0.39,0.44,0.33
26,EPS Growth,-85.34%,32.72%,18.25%,-,-
27,Free Cash Flow,-85.3,14.2,-7.14,-10.11,23.59
28,Free Cash Flow Per Share,-0.95,0.15,-0.11,-0.11,0.25
29,Operating Margin,5.49%,24.05%,14.39%,23.89%,17.33%
30,Profit Margin,2.61%,18.87%,10.50%,17.60%,13.54%
31,Free Cash Flow Margin,-43.72%,4.81%,-3.08%,-4.31%,10.34%
32,EBITDA,21.85,82.48,44.5,65.26,48.75
33,D&A For EBITDA,11.14,11.46,11.11,9.21,9.18
34,EBIT,10.71,71.02,33.39,56.05,39.56
35,Advertising Expenses,-,-,-,-,15.89
