,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,491,765,865,-,-,-
1,Enterprise Value,739,890,1186,-,-,-
2,Last Close Price,3.90,8.09,6.65,-,-,-
3,PE Ratio,6.49,11.70,9.81,-,-,-
4,Forward PE,-,6.93,-,-,-,-
5,PS Ratio,0.80,1.45,1.49,-,-,-
6,PB Ratio,0.47,0.72,0.78,-,-,-
7,P/TBV Ratio,0.73,0.73,0.78,-,-,-
8,P/FCF Ratio,-,-,111.19,-,-,-
9,P/OCF Ratio,-,-,36.15,-,-,-
10,EV/Sales Ratio,1.40,1.69,2.04,-,-,-
11,EV/EBITDA Ratio,4.89,7.94,8.48,-,-,-
12,EV/EBIT Ratio,8.30,10.13,10.31,-,-,-
13,EV/FCF Ratio,-9.67,-,152.37,-,-,-
14,Debt / Equity Ratio,0.40,0.40,0.38,0.45,0.48,-
15,Debt / FCF Ratio,-,-,54.55,-,-,-
16,Return on Capital Employed (ROCE),6.86%,6.90%,8.40%,8.52%,9.33%,-
17,Earnings Yield,13.30%,8.55%,10.20%,-,-,-
18,FCF Yield,-15.55%,-9.99%,0.90%,-,-,-
19,Buyback Yield / Dilution,-37.98%,-42.49%,-1.64%,33.33%,-,-
20,Total Shareholder Return,-31.19%,-42.49%,-1.64%,33.33%,-,-
