,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,408.45,588.57,536.7,695.25,552.29,620.16,568.7,713.69,200.92,321.64,160.85,668.93,108.69,720.93,-,313,-,-,-
1,Trading Asset Securities,121.03,50.43,120.54,-,120.54,110.61,142.45,-,514.11,485.32,624.84,113.65,622.97,75.5,-,-,-,-,-
2,Cash & Short-Term Investments,529.48,638.99,657.24,695.25,672.83,730.77,711.14,713.69,715.03,806.96,785.7,782.57,731.66,796.43,313,313,-,-,220.24
3,Cash Growth,-21.31%,-12.56%,-7.58%,-2.58%,-5.90%,-9.44%,-9.49%,-8.80%,-2.27%,1.32%,151.02%,150.02%,-,-,42.12%,-,-,-,-
4,Accounts Receivable,334.7,332.09,290.9,315.48,331.9,316.7,320.31,291.99,292.04,242.48,208.17,239.34,233.11,213.43,-,205.32,-,-,-
5,Other Receivables,10.14,10.36,9.15,7.39,8.02,8.47,10.17,6.06,8,7.22,6.81,5.87,9.27,6.55,-,6.18,-,-,-
6,Receivables,344.84,342.45,300.05,322.87,339.92,325.17,330.49,298.06,300.04,249.71,214.97,245.22,242.38,219.98,-,211.5,-,-,-
7,Inventory,150.34,148.9,134.45,118.04,104.25,104.15,99.43,106.63,94.44,95.17,90.11,84.41,90.5,79.58,-,90.37,-,-,-
8,Prepaid Expenses,-,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
