,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,34.72,35.81,31.82,39.89,48.84,78.55,53.67,55.08,46.05,41.25,Upgrade
1,Revenue Growth (YoY),9.11%,-10.21%,-34.85%,-49.22%,-8.99%,42.60%,16.55%,33.54%,-67.93%,-69.58%,Upgrade
2,Cost of Revenue,23.41,31.14,14.09,21.06,37.95,121.93,39.82,92.39,21.57,11.57,Upgrade
3,Gross Profit,11.31,4.67,17.73,18.83,10.9,-43.38,13.85,-37.3,24.48,29.68,Upgrade
4,"Selling, General & Admin",31,30.33,26.42,25.71,30.3,28.06,29.84,18.03,36.6,30.94,Upgrade
5,Operating Expenses,31.32,30.34,26.51,18.37,31.78,30.76,31.65,20.29,37.12,31.02,Upgrade
6,Operating Income,-20.01,-25.66,-8.78,0.46,-20.88,-74.14,-17.8,-57.59,-12.64,-1.34,Upgrade
7,Interest Expense,-38.43,-41.82,-37.02,-91.34,-12.54,-12.51,-12.13,-12.8,-15.92,-16.56,Upgrade
8,Interest & Investment Income,0,0.01,0,0.01,0,0.01,0,0,0,0.01,Upgrade
9,Earnings From Equity Investments,-0.45,10.23,10.92,31.72,-6.38,-6.57,1.06,-1.51,1.57,-11.58,Upgrade
10,Currency Exchange Gain (Loss),-,0,-,0.01,-,-0.01,-,-0.02,-,-20.04,Upgrade
11,Other Non Operating Income (Expenses),2.7,2.3,2.81,-6.3,9.19,0.45,5.82,3.11,1.42,7.62,Upgrade
12,EBT Excluding Unusual Items,-56.19,-54.94,-32.07,-65.45,-30.61,-92.77,-23.04,-68.81,-25.57,-41.89,Upgrade
13,Impairment of Goodwill,-,-,-,-,-,-3.48,-,-8.27,-,-10.76,Upgrade
14,Gain (Loss) on Sale of Investments,-,-140.96,-,-2.67,-,-1.72,-,-11.82,-3.79,-24.38,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,13.83,-,-0.14,Upgrade
16,Asset Writedown,-,-17.17,-,1.33,-,-1.33,-,1.43,-2.79,-,Upgrade
17,Other Unusual Items,-,0.45,-,1.13,-,-,-,1.23,-,6.6,Upgrade
18,Pretax Income,-56.19,-212.62,-32.07,-65.66,-30.61,-99.3,-23.04,-72.41,-32.15,-70.58,Upgrade
19,Income Tax Expense,0.02,-1.42,-2.93,-1.04,0.1,18.33,3.01,1.73,-0.14,3.11,Upgrade
20,Earnings From Continuing Operations,-56.21,-211.21,-29.14,-64.62,-30.71,-117.63,-26.06,-74.15,-32,-73.69,Upgrade
21,Net Income to Company,-56.21,-211.21,-29.14,-64.62,-30.71,-117.63,-26.06,-74.15,-32,-73.69,Upgrade
22,Minority Interest in Earnings,-0.18,1.21,0.09,4.53,-2.63,-0.2,-0.24,-3.53,1.43,0.12,Upgrade
23,Net Income,-56.39,-209.99,-29.05,-60.09,-33.34,-117.82,-26.3,-77.68,-30.58,-73.57,Upgrade
24,Net Income to Common,-56.39,-209.99,-29.05,-60.09,-33.34,-117.82,-26.3,-77.68,-30.58,-73.57,Upgrade
25,Shares Outstanding (Basic),2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,Upgrade
26,Shares Outstanding (Diluted),2033,2033,2033,2033,2033,2033,2033,2033,2033,2033,Upgrade
27,EPS (Basic),-0.03,-0.10,-0.01,-0.03,-0.02,-0.06,-0.01,-0.04,-0.02,-0.04,Upgrade
28,EPS (Diluted),-0.03,-0.10,-0.01,-0.03,-0.02,-0.06,-0.01,-0.04,-0.02,-0.04,Upgrade
29,Free Cash Flow,37.74,-2.27,6.09,29.28,5.78,2.3,27.66,6.7,-30.35,-43.15,Upgrade
30,Free Cash Flow Per Share,0.02,-0.00,0.00,0.01,0.00,0.00,0.01,0.00,-0.01,-0.02,Upgrade
31,Operating Margin,-57.64%,-71.66%,-27.59%,1.15%,-42.75%,-94.39%,-33.16%,-104.56%,-27.45%,-3.25%,Upgrade
32,Profit Margin,-162.43%,-586.34%,-91.30%,-150.66%,-68.25%,-150.00%,-49.01%,-141.03%,-66.41%,-178.35%,Upgrade
33,Free Cash Flow Margin,108.70%,-6.33%,19.13%,73.40%,11.83%,2.92%,51.54%,12.16%,-65.90%,-104.61%,Upgrade
34,EBITDA,-9.55,-14.16,3.25,11.55,-8.96,-62.99,-6.62,-47.34,-1.63,8.52,Upgrade
35,D&A For EBITDA,10.47,11.5,12.03,11.1,11.92,11.15,11.18,10.25,11.01,9.86,Upgrade
36,EBIT,-20.01,-25.66,-8.78,0.46,-20.88,-74.14,-17.8,-57.59,-12.64,-1.34,Upgrade
