,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,360.62,360.62,-,-
1,Short-Term Investments,245.69,245.69,-,-
2,Cash & Short-Term Investments,606.31,606.31,-,228.49
3,Accounts Receivable,121.32,121.32,-,-
4,Other Receivables,44.7,44.7,-,-
5,Receivables,166.02,166.02,-,-
6,Prepaid Expenses,28.91,28.91,-,-
7,Restricted Cash,7.89,7.89,-,-
8,Other Current Assets,1637.0,1637.0,-,-
9,Total Current Assets,2446.0,2446.0,-,-
10,"Property, Plant & Equipment",138.28,138.28,-,-
11,Other Intangible Assets,4.65,4.65,-,-
12,Long-Term Deferred Charges,2.51,2.51,-,-
13,Other Long-Term Assets,14.03,14.03,-,-
14,Total Assets,2606.0,2606.0,-,-
15,Accounts Payable,54.66,54.66,-,-
16,Accrued Expenses,28.69,28.69,-,-
17,Current Portion of Long-Term Debt,900.15,900.15,-,-
18,Current Portion of Leases,41.88,41.88,-,-
19,Current Income Taxes Payable,0.01,0.01,-,-
20,Current Unearned Revenue,432.2,432.2,-,-
21,Other Current Liabilities,524.46,524.46,-,-
22,Total Current Liabilities,1982.0,1982.0,-,-
23,Long-Term Leases,55.47,55.47,-,-
24,Long-Term Unearned Revenue,44.06,44.06,-,-
25,Other Long-Term Liabilities,0.78,0.78,-,-
26,Total Liabilities,2082.0,2082.0,-,-
27,Common Stock,0.0,0.0,-,-
28,Retained Earnings,-1501.0,-1501.0,-,-
29,Comprehensive Income & Other,2025.0,2025.0,-,-
30,Shareholders' Equity,523.56,523.56,-,-779.89
31,Total Liabilities & Equity,2606.0,2606.0,-,-
32,Total Debt,997.49,997.49,-,1717
33,Net Cash (Debt),-391.18,-391.18,-,-1489
34,Net Cash Per Share,-2.06,-2.06,-,-8.86
35,Filing Date Shares Outstanding,235.16,235.16,168.09,168.09
36,Total Common Shares Outstanding,235.16,235.16,168.09,168.09
37,Working Capital,464.39,464.39,-,-
38,Book Value Per Share,2.23,2.23,-,-46.40
39,Tangible Book Value,518.91,518.91,-,-783.65
40,Tangible Book Value Per Share,2.21,2.21,-,-46.62
41,Machinery,135.26,135.26,-,-
42,Leasehold Improvements,98.17,98.17,-,-
