,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,369.72,369.72,291.76,291.76
1,Cost of Revenue,173.29,173.29,131.21,131.21
2,Gross Profit,196.43,196.43,160.56,160.56
3,"Selling, General & Admin",150.86,150.86,121.43,121.43
4,Research & Development,52.52,52.52,49.72,49.72
5,Operating Expenses,215.56,215.56,183.41,183.41
6,Operating Income,-19.13,-19.13,-22.85,-22.85
7,Interest Expense,-9.45,-9.45,-8.21,-8.21
8,Interest & Investment Income,1.11,1.11,0.28,0.28
9,Other Non Operating Income (Expenses),2.7,2.7,10.16,10.16
10,EBT Excluding Unusual Items,-24.76,-24.76,-20.62,-20.62
11,Gain (Loss) on Sale of Investments,-390.27,-390.27,-13.33,-13.33
12,Gain (Loss) on Sale of Assets,4.95,4.95,0.15,0.15
13,Pretax Income,-410.08,-410.08,-33.81,-33.81
14,Income Tax Expense,0,0,0.03,0.03
15,Net Income,-410.09,-410.09,-33.84,-33.84
16,Net Income to Common,-410.09,-410.09,-33.84,-33.84
17,Shares Outstanding (Basic),189,189,168,168
18,Shares Outstanding (Diluted),189,189,168,168
19,EPS (Basic),-2.16,-2.16,-0.20,-0.20
20,EPS (Diluted),-2.16,-2.16,-0.20,-0.20
21,Free Cash Flow,-29.06,-29.06,-39.32,-39.32
22,Free Cash Flow Per Share,-0.15,-0.15,-0.23,-0.23
23,Gross Margin,53.13%,53.13%,55.03%,55.03%
24,Operating Margin,-5.17%,-5.17%,-7.83%,-7.83%
25,Profit Margin,-110.92%,-110.92%,-11.60%,-11.60%
26,Free Cash Flow Margin,-7.86%,-7.86%,-13.48%,-13.48%
27,EBITDA,-4.62,-4.62,-12.39,-12.39
28,EBITDA Margin,-1.25%,-1.25%,-4.25%,-4.25%
29,D&A For EBITDA,14.51,14.51,10.46,10.46
30,EBIT,-19.13,-19.13,-22.85,-22.85
31,EBIT Margin,-5.17%,-5.17%,-7.83%,-7.83%
