,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,497.16,1344,207.14,154.08,583.76,1616,216.07,131.09,488.87,1472,303.2,80.43,531.59,1068,1068
1,Other Revenue,-30.19,30.19,-,65.81,-34.13,34.13,-,67.42,-34.1,34.1,-,144.28,-,-,-
2,Revenue,466.97,1374,207.14,219.89,549.63,1650,216.07,198.51,454.77,1506,303.2,224.71,531.59,1068,1068
3,Revenue Growth (YoY),-15.04%,-16.71%,-4.13%,10.77%,20.86%,9.57%,-28.74%,-11.66%,-14.45%,40.98%,-71.61%,-,-,-,-
4,Cost of Revenue,330.24,738.71,136.13,195.6,389.6,952.94,141.15,163.86,322.01,876.46,180.75,283.16,351.09,574.53,574.53
5,Gross Profit,136.73,635.38,71,24.29,160.03,696.79,74.92,34.65,132.76,629.16,122.45,-58.44,180.5,493.44,493.44
6,"Selling, General & Admin",165.3,235.98,140.92,157.47,176.88,272.29,143.47,162.65,155.94,246.54,143.46,65.23,212.89,275.23,275.23
7,Research & Development,6.58,8.75,5.38,-0.78,6.49,8.93,4.88,0.92,7.38,3.65,3.09,5.32,2.16,2.91,2.91
8,Other Operating Expenses,4.09,11.63,0.48,17.7,-1.67,1.38,-6.2,14.56,-3.18,0.4,-3.2,12.08,-1.33,0.71,0.71
9,Operating Expenses,165.93,262.27,144.87,165.01,174.74,300.34,141.6,179.81,150.59,270.09,142.78,75.03,206.12,286.67,286.67
10,Operating Income,-29.2,373.11,-73.87,-140.73,-14.71,396.45,-66.68,-145.16,-17.83,359.08,-20.33,-133.47,-25.62,206.77,206.77
11,Interest Expense,-1.52,-2.06,-1.5,-1.54,-1.24,-1,-2.19,-7.46,-,-4.69,-5.23,-2.95,-1.39,-2.48,-2.48
12,Interest & Investment Income,2.36,2.36,2.03,4.02,2.43,3.72,2.54,1.37,4.02,0.83,0.99,2.01,1.9,1.56,1.56
13,Currency Exchange Gain (Loss),-0.04,0.04,-,0.07,-0.19,0.19,-,0.22,-0.04,0.04,-,-0.34,-,-,-
14,Other Non Operating Income (Expenses),-1.2,0.44,-0.21,-1.49,-0.6,-1.4,0.46,3.12,-4.17,1.44,-1.96,2.15,-0.61,-0.81,-0.81
15,EBT Excluding Unusual Items,-29.6,373.9,-73.54,-139.67,-14.32,397.95,-65.87,-147.9,-18.02,356.69,-26.54,-132.59,-25.73,205.04,205.04
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.06,-0.06,-2.48,-,-,-,-0.34,-,-,-
