,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,759.67,924.64,804.2,626.75,851.56,1114,942.06,903.27,1285,561.81,-,252.24,-,-,-
1,Short-Term Investments,-,73,-,-,-,-,-,50,-,-,-,-,-,-,-
2,Trading Asset Securities,30.59,30.59,-,-,70.69,30,30,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,790.27,1028,804.2,626.75,922.25,1144,972.06,953.27,1285,561.81,252.24,252.24,-,-,606.19
4,Cash Growth,-14.31%,-10.15%,-17.27%,-34.25%,-28.23%,103.69%,285.38%,277.93%,-,-,-58.39%,-,-,-,-
5,Accounts Receivable,134.72,343.34,69.12,84.28,234.41,378.67,101.07,53.77,221.07,401.18,-,42.38,-,-,-
6,Other Receivables,25.53,25.87,26,25.06,25.14,26.92,26.17,22.05,24.9,35.42,-,30.15,-,-,-
7,Receivables,160.25,369.21,95.11,109.34,259.55,405.59,127.24,75.83,245.97,436.6,-,72.53,-,-,-
8,Inventory,177.29,181.54,350.9,197.95,221.4,290.84,457.43,261.62,224.47,237.65,-,315.11,-,-,-
9,Prepaid Expenses,-,2.06,-,1.96,-,1.15,-,2.06,-,-,-,2.57,-,-,-
10,Other Current Assets,46.85,25.51,65.03,58.54,58.6,58.41,175.96,33.05,68.35,185.17,-,60.89,-,-,-
11,Total Current Assets,1175,1607,1315,994.53,1462,1900,1733,1326,1824,1421,-,703.34,-,-,-
12,"Property, Plant & Equipment",1170,1179,1163,1162,1140,1142,830.77,863.48,776.58,807,-,817.78,-,-,-
13,Long-Term Investments,0.23,0.23,0.23,0.23,0.23,0.23,0.43,0.84,0.23,0.23,-,0.23,-,-,-
14,Other Intangible Assets,63.81,64.99,66.47,68.2,67.67,69.57,71.36,73.16,85.04,87.1,-,90.36,-,-,-
15,Long-Term Deferred Tax Assets,9.8,18.81,13.06,10.41,40.02,49.61,47.71,15.61,13,21.72,-,11.97,-,-,-
16,Long-Term Deferred Charges,46.01,46.57,47.05,46.13,43.52,44.19,43.45,48.73,38.18,43.1,-,48.42,-,-,-
17,Other Long-Term Assets,51.13,51.77,52.56,53.94,53.22,53.91,53.71,54.45,54.78,56.05,-,59.08,-,-,-
18,Total Assets,2516,2968,2658,2336,2807,3260,2780,2382,2792,2436,-,1731,-,-,-
19,Accounts Payable,307.54,368.43,205.27,93.86,352.27,553.08,283.2,124.19,282.15,442.99,-,139.82,-,-,-
20,Accrued Expenses,47.99,220.87,38.95,110.54,56.09,311.86,37.47,106.98,56.47,67.79,-,117.97,-,-,-
21,Short-Term Debt,1,1,50.49,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,38,41.52,41.71,43.53,45.5,42.04,54,52.36,55.57,64.2,-,61.76,-,-,-
23,Current Income Taxes Payable,15.53,75.69,5.31,1.8,28.74,93.24,1.82,12.28,49.64,135.88,-,10.99,-,-,-
24,Current Unearned Revenue,101.28,96.01,377.86,81.48,95.33,105.63,415.94,76.66,86.86,104.17,-,80.41,-,-,-
25,Other Current Liabilities,150.15,143.27,187.89,165.99,214.26,130.97,198.86,178.29,130.78,220.71,-,198.05,-,-,-
26,Total Current Liabilities,661.48,946.78,907.47,497.19,792.21,1237,991.3,550.76,661.45,1036,-,609,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,-,-,140.75,140.93,-,92.26,-,-,-
28,Long-Term Leases,40.35,47.75,52.4,59.7,53.35,59.73,104.13,120.64,114.81,135.03,-,149.63,-,-,-
29,Long-Term Unearned Revenue,15.62,15.87,16.45,12,10.01,8.1,10.72,8.51,11.34,8.75,-,7.5,-,-,-
30,Long-Term Deferred Tax Liabilities,0.1,0.22,0.31,0.2,22.4,19.13,31.75,0.64,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,-,-,-,-,21.64,21.64,21.64,21.64,21.64,21.64,-,21.64,-,-,-
32,Total Liabilities,717.56,1011,976.62,569.1,899.62,1345,1160,702.2,949.99,1342,-,880.04,-,-,-
33,Common Stock,198.27,142.66,143.76,143.76,143.84,143.84,102.74,100.74,100.74,75.56,-,75.56,-,-,-
34,Additional Paid-In Capital,1123,1175,1188,1185,1197,1188,1180,1133,1133,396.51,-,396.51,-,-,-
35,Retained Earnings,597.06,759.19,455.92,525.68,601.18,616.24,378.13,442.14,604.19,618.15,-,375.77,-,-,-
36,Treasury Stock,-122.6,-122.6,-109.48,-91.42,-43.44,-43.44,-43.44,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,1.56,1.33,1.33,1.32,1.35,1.36,1.37,1.34,1.32,1.47,-,1.42,-,-,-
38,Total Common Equity,1797,1956,1679,1764,1900,1906,1619,1677,1839,1092,849.26,849.26,-,-,768.68
39,Minority Interest,1.68,1.74,1.87,2.61,7.5,7.96,1.77,2.68,2.38,2.64,-,1.88,-,-,-
40,Shareholders' Equity,1799,1957,1681,1767,1907,1914,1621,1680,1842,1094,851.14,851.14,-,-,770.72
41,Total Liabilities & Equity,2516,2968,2658,2336,2807,3260,2780,2382,2792,2436,-,1731,-,-,-
42,Total Debt,79.35,90.27,144.59,103.22,98.86,101.77,158.14,173,311.13,340.16,303.64,303.64,-,-,210.2
43,Net Cash (Debt),710.92,937.97,659.61,523.53,823.39,1043,813.92,780.27,973.87,221.65,-51.41,-51.41,-,-,396
44,Net Cash Growth,-13.66%,-10.04%,-18.96%,-32.90%,-15.45%,370.39%,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,3.74,4.84,3.38,2.61,4.38,5.05,4.09,3.88,5.91,1.50,-0.35,-0.35,-,-,2.67
46,Filing Date Shares Outstanding,194.66,194.66,197.76,197.76,201.38,201.38,201.38,197.46,197.46,148.09,148.75,148.09,148.15,148.07,148.07
47,Total Common Shares Outstanding,194.66,194.66,197.76,198.71,201.38,201.38,201.38,197.46,197.46,148.09,148.75,148.09,148.15,148.07,148.07
48,Working Capital,513.18,659.77,407.78,497.34,669.59,663.55,741.39,775.06,1162,385.49,-,94.34,-,-,-
49,Book Value Per Share,9.23,10.05,8.49,8.88,9.43,9.47,8.04,8.49,9.31,7.37,5.73,5.73,-,-,5.19
50,Tangible Book Value,1733,1891,1613,1696,1832,1837,1547,1604,1754,1005,758.9,758.9,-,-,671.68
51,Tangible Book Value Per Share,8.90,9.71,8.16,8.53,9.10,9.12,7.68,8.12,8.88,6.78,5.12,5.12,-,-,4.54
52,Buildings,-,1041,-,999.57,-,1019,-,650.89,-,-,-,294.02,-,-,-
53,Machinery,-,259.06,-,239.55,-,214.12,-,195.15,-,-,-,214.21,-,-,-
54,Construction In Progress,-,36.61,-,54.07,-,22.15,-,56.24,-,-,-,352.65,-,-,-
