,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3481,3565,3456,3902,4212,4219,4363,5387,4750,3979,-,-,-,-,-,-
1,Market Cap Growth,-15.50%,-15.50%,-20.78%,-27.57%,-11.32%,6.02%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2771,2629,2798,3086,3396,3184,3551,4415,3779,3760,-,-,-,-,-,-
3,Last Close Price,17.88,18.45,16.88,18.57,20.05,20.07,20.76,25.43,22.87,18.83,-,-,-,-,-,-
4,PE Ratio,25.82,-,24.19,-,-,-,28.63,-,-,-,-,-,-,-,-,-
5,Forward PE,19.27,19.88,17.74,15.87,14.61,14.88,17.84,24.11,18.00,15.93,-,-,-,-,-,-
6,PS Ratio,1.54,1.57,1.47,1.49,1.60,1.61,1.73,2.27,1.93,1.60,-,-,-,-,-,-
7,PB Ratio,1.94,1.98,1.77,2.32,2.38,2.21,2.28,3.32,2.83,2.16,-,-,-,-,-,-
8,P/TBV Ratio,2.06,2.06,1.83,2.42,2.48,2.30,2.38,3.48,2.96,2.27,-,-,-,-,-,-
9,P/FCF Ratio,13.59,-,52.76,-22.33,-,-,-47.34,17.98,-,-,-,-,-,-,-,-
10,P/OCF Ratio,9.75,9.75,20.47,12.46,-,-,10.26,12.05,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.22,1.16,1.19,1.17,1.29,1.22,1.41,1.86,1.53,1.51,-,-,-,-,-,-
12,EV/EBITDA Ratio,11.42,-,14.48,-,-,-,17.02,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,21.43,-,19.46,-,-,-,21.29,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,10.82,-,42.72,-17.66,-,-,-38.53,14.74,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.05,0.09,0.06,0.05,0.05,0.10,0.10,0.17,0.31,0.36,0.36,-,-,0.27
16,Debt / EBITDA Ratio,0.33,-,0.05,-,-,-,0.06,-,-,-,0.21,-,-,-,-,0.25
17,Debt / FCF Ratio,0.31,-,1.38,-0.83,-,-,-1.10,0.53,-,-,-1.24,-,-,-,-,0.72
18,Asset Turnover,0.68,1.95,0.33,0.34,0.72,2.19,0.33,0.31,0.70,-,-,-,-,-,-,
19,Inventory Turnover,7.03,7.36,11.10,1.98,3.73,6.08,10.19,1.57,2.70,5.57,-,-,-,-,-,-
20,Quick Ratio,1.44,1.44,1.48,0.99,1.48,1.49,1.25,1.11,1.87,2.31,0.96,-,0.53,-,-,-
21,Current Ratio,1.78,1.78,1.70,1.45,2.00,1.85,1.54,1.75,2.41,2.76,1.37,-,1.15,-,-,-
22,Return on Equity (ROE),-4.93%,66.65%,-16.36%,-16.73%,-3.21%,72.60%,-15.71%,-20.50%,-3.87%,112.91%,-14.91%,-,-,-,-,
23,Return on Assets (ROA),-2.66%,33.16%,-7.40%,-13.68%,-1.21%,32.82%,-6.46%,-14.03%,-1.70%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-3.72%,48.16%,-9.99%,-18.15%,-1.83%,52.23%,-9.18%,-18.12%,-2.48%,69.34%,-4.40%,-,-,-,-,
25,Return on Capital Employed (ROCE),6.97%,-,7.11%,-,-,-,8.24%,-,-,-,12.83%,-,-,-,-,-
26,Earnings Yield,3.87%,3.78%,4.13%,4.10%,3.93%,3.59%,3.49%,1.97%,2.91%,3.50%,-,-,-,-,-,-
27,FCF Yield,7.36%,7.18%,1.90%,-4.48%,-4.98%,-3.75%,-2.11%,5.56%,2.79%,-0.79%,-,-,-,-,-,-
28,Dividend Yield,3.99%,-,-,-,3.56%,-,-,-,2.45%,-,-,-,-,-,-,-
29,Payout Ratio,104.38%,-,0.05%,-,-,-,12.45%,-,-,-,-,-,-,-,37.86%,37.86%
30,Buyback Yield / Dilution,1.96%,-1.14%,6.19%,1.80%,0.34%,-13.93%,-39.98%,-33.74%,-35.25%,-11.29%,0.31%,-0.46%,-,-,-,-
31,Total Shareholder Return,5.95%,-1.14%,6.19%,1.80%,3.90%,-13.93%,-39.98%,-33.74%,-32.79%,-11.29%,0.31%,-0.46%,-,-,-,-
