,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,36868,35431,30835,29175,33356,32000,34553,41576,42773,25121,30132,Upgrade
1,Market Cap Growth,21.44%,21.44%,-7.56%,-8.83%,-3.46%,-23.03%,-19.22%,65.50%,41.95%,-2.96%,25.03%,Upgrade
2,Enterprise Value,28361,26413,22683,19735,23702,21819,26431,32928,36004,17970,22705,Upgrade
3,Last Close Price,23.10,22.20,18.76,17.75,19.76,18.96,19.53,23.50,23.10,13.40,15.85,Upgrade
4,PE Ratio,12.34,11.86,11.23,11.62,13.03,10.35,9.22,11.74,15.08,12.25,15.39,Upgrade
5,Forward PE,10.68,11.18,10.28,10.09,11.03,9.10,9.22,11.99,16.04,12.05,13.37,Upgrade
6,PS Ratio,2.33,2.24,2.14,2.22,2.40,1.91,1.76,2.30,3.05,2.33,2.75,Upgrade
7,PB Ratio,1.78,1.71,1.49,1.53,1.73,1.72,1.77,2.39,2.44,1.65,2.05,Upgrade
8,P/TBV Ratio,1.71,1.71,1.49,1.54,1.74,1.72,1.77,2.40,2.45,1.66,2.06,Upgrade
9,P/FCF Ratio,54.56,52.44,31.14,26.74,94.10,19.89,12.79,13.23,13.65,10.34,11.87,Upgrade
10,P/OCF Ratio,17.02,17.02,13.91,12.00,16.57,11.12,9.01,9.79,10.99,8.84,9.87,Upgrade
11,PEG Ratio,0.90,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,Upgrade
12,EV/Sales Ratio,1.79,1.67,1.58,1.50,1.70,1.30,1.34,1.82,2.57,1.67,2.07,Upgrade
13,EV/EBITDA Ratio,7.76,7.29,6.92,6.59,7.64,5.62,5.69,7.53,10.19,7.14,9.29,Upgrade
14,EV/EBIT Ratio,8.79,8.21,7.90,7.57,8.72,6.29,6.20,8.27,11.34,8.09,10.68,Upgrade
15,EV/FCF Ratio,41.97,39.09,22.91,18.09,66.86,13.56,9.79,10.48,11.49,7.40,8.95,Upgrade
16,Debt / Equity Ratio,0.11,0.11,0.15,0.16,0.08,0.14,0.14,0.09,0.09,0.09,0.08,Upgrade
17,Debt / FCF Ratio,3.38,3.38,3.06,2.72,4.59,1.64,0.98,0.51,0.50,0.56,0.45,Upgrade
18,Return on Capital Employed (ROCE),13.91%,13.91%,12.07%,11.73%,13.69%,18.07%,20.66%,22.09%,17.57%,14.22%,14.13%,Upgrade
19,Earnings Yield,8.10%,8.43%,8.90%,8.61%,7.68%,9.67%,10.84%,8.52%,6.63%,8.16%,6.50%,Upgrade
20,FCF Yield,1.83%,1.91%,3.21%,3.74%,1.06%,5.03%,7.82%,7.56%,7.32%,9.67%,8.42%,Upgrade
21,Dividend Yield,2.86%,-,-,-,-,-,-,-,3.85%,3.21%,2.52%,Upgrade
22,Total Shareholder Return,2.86%,-,-,-,-,-,-,-,3.85%,3.21%,2.52%,Upgrade
