,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,161.94,145.63,108.26,244.55,179.58,231.5,188.69,230.17,466.39,560.39,568.61,766.82,134.92,178.9,-,176.79,-,75.84,75.84
1,Trading Asset Securities,-,205.34,244.51,341.24,333.6,341.59,347.87,444.06,443.4,209.16,175.65,203.59,46.03,30.06,1.01,-,-,-,54.45,54.45
2,Cash & Short-Term Investments,367.28,367.28,390.14,449.5,578.15,521.17,579.37,632.76,673.57,675.55,736.04,772.2,812.85,164.99,179.91,176.79,176.79,130.29,130.29,130.29
3,Cash Growth,-36.47%,-29.53%,-32.66%,-28.96%,-14.17%,-22.85%,-21.29%,-18.06%,-17.14%,309.46%,309.12%,336.79%,359.78%,26.63%,38.08%,35.69%,-,-,-,-
4,Accounts Receivable,-,276.68,287.54,249.1,194.13,172.75,154.43,115,127.89,115.07,95.37,77.45,69.07,48.14,37.06,-,35.16,-,36.04,36.04
5,Other Receivables,-,4.94,8.3,4.48,8.75,6.62,6.83,2.91,9.75,2.7,1.7,1.93,1.25,1.46,0.88,-,0.72,-,0.92,0.92
6,Receivables,-,281.62,295.84,253.58,202.88,179.37,161.27,117.91,137.64,117.77,97.07,79.38,70.32,49.6,37.95,-,35.88,-,36.96,36.96
7,Inventory,-,253.58,235.7,232.79,199.68,206.39,200.78,205.69,179.81,158.78,137.78,104.99,97.24,100.3,97.31,-,101.09,-,114.75,114.75
8,Other Current Assets,-,44.38,39.57,41.66,27.48,37.33,34.41,38.78,27.77,28.33,23.9,24.6,16.5,26.24,24.81,-,22.18,-,20.43,20.43
9,Total Current Assets,-,946.86,961.26,977.54,1008,944.26,975.82,995.14,1019,980.44,994.79,981.17,996.91,341.13,339.98,-,335.94,-,302.43,302.43
10,"Property, Plant & Equipment",-,477.65,410.16,298.53,302.53,280.09,284.87,265.2,259,229.87,202.74,200.02,192.83,169.56,159.6,-,146.19,-,128.74,128.74
11,Long-Term Investments,-,4.1,3.85,3.93,3.97,4.02,3.8,3.31,3.23,8.11,7.47,6.78,6.74,6.57,6.33,-,6.42,-,6.63,6.63
12,Goodwill,-,59.57,59.2,59.23,59.65,70.57,71.23,70.37,70.21,69.23,69.27,69.75,69.75,71.29,71.29,-,71.29,-,71.29,71.29
13,Other Intangible Assets,-,77.41,79.56,81.49,83.41,78.87,58.63,64.74,64.71,59.14,60.83,62.52,62.12,47.84,47.51,-,43.4,-,44.19,44.19
14,Long-Term Deferred Tax Assets,-,37.06,33.11,35.52,32.61,32.27,28.42,25.37,22.12,15.99,12.33,7.25,6.94,0.62,0.98,-,0.84,-,0.61,0.61
15,Long-Term Deferred Charges,-,14.63,13.57,12.54,14.11,12.07,11.21,9.33,9.42,8.34,7.39,7.74,8.55,6.84,6.97,-,8.99,-,9.01,9.01
16,Other Long-Term Assets,-,59.32,79.66,127.65,90.59,104.99,77.63,19.75,12.62,10.52,7.74,5.76,5.4,8.35,6.08,-,7.98,-,21.79,21.79
17,Total Assets,-,1677,1640,1596,1595,1527,1512,1453,1460,1382,1363,1341,1349,652.19,638.74,-,621.04,-,584.68,584.68
18,Accounts Payable,-,61.02,2.94,53.63,46.64,48.63,41.34,40.89,38.5,29.36,27.56,13.95,10.16,24.09,11.31,-,7.24,-,28.29,28.29
19,Accrued Expenses,-,28.74,31.66,21.35,69.68,40.82,51.1,24.55,62.64,27.09,36.03,13.84,28.82,14.46,15.47,-,15.78,-,12,12
20,Short-Term Debt,-,88.27,43.38,0.07,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
