,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,248,147.78,183.48,169.3,248.52,139.74,163.36,125.49,164.49,113.49,85.67,81.61,117.94,82.21,75.17,71.73,111.45,58.23,46.72,46.72
1,Other Revenue,-,-0.75,0.75,-,0.96,-0.23,0.23,-,-,-0.07,0.07,-,-,-,-,-,0.16,-,-,-
2,Revenue,248,147.03,184.23,169.3,249.49,139.51,163.6,125.49,164.49,113.42,85.74,81.61,117.94,82.21,75.17,71.73,111.61,58.23,46.72,46.72
3,Revenue Growth (YoY),-0.60%,5.39%,12.61%,34.91%,51.68%,23.00%,90.80%,53.77%,39.47%,37.96%,14.07%,13.77%,5.67%,41.18%,60.90%,53.54%,-,-,-,-
4,Cost of Revenue,-153.91,41.91,72.05,39.95,121.9,41.87,58.82,29.91,78.75,28.75,31.76,25,55.09,15.68,29.36,23.07,50.57,9.64,20.84,20.84
5,Gross Profit,401.91,105.12,112.17,129.35,127.59,97.64,104.77,95.58,85.74,84.67,53.98,56.6,62.85,66.53,45.81,48.67,61.04,48.59,25.88,25.88
6,"Selling, General & Admin",-234.28,61.28,81.67,91.33,69.41,62.54,64.54,58.48,52.94,59.02,41.19,40,32.92,35.94,32.36,29.61,13.65,39.66,26.01,26.01
7,Research & Development,-113.11,25.77,42.85,44.48,40.91,36.49,37.76,31.84,37.05,22.58,22.7,14.21,14.12,11.87,12.97,10.39,8.84,10.82,9.79,9.79
8,Other Operating Expenses,777.89,-19.17,-8,-9.2,2.03,-8.66,-13.71,-9.32,-2.06,0.35,-0.06,0.36,-2.66,-1.61,-1.92,-3.08,2.5,-2.53,-0.33,-0.33
