,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5647,5408,6581,5385,8114,8309,8056,9096,8659,8732,8800,6240,5836,5036,-,-,-,-,-,-,-
1,Market Cap Growth,-34.92%,-34.92%,-18.31%,-40.80%,-6.29%,-4.85%,-8.46%,45.75%,48.37%,73.39%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5405,5165,6274,4976,7623,7818,7508,8496,8014,8087,8089,5487,5691,4891,-,-,-,-,-,-,-
3,Last Close Price,41.96,40.18,48.90,40.01,60.18,61.66,59.78,67.50,64.55,65.10,65.61,46.52,43.36,37.41,-,-,-,-,-,-,-
4,PE Ratio,113.18,-,131.70,211.70,184.14,143.62,138.25,166.35,248.79,403.07,196.14,117.88,114.36,88.30,-,-,-,-,-,-,-
5,Forward PE,44.40,47.45,58.82,42.48,59.94,67.24,65.25,78.50,82.73,96.31,108.79,90.14,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.54,7.22,8.77,7.25,11.24,12.25,13.58,16.04,17.70,19.61,22.07,16.98,16.35,14.51,-,-,-,-,-,-,-
7,PB Ratio,4.08,3.87,4.71,3.82,5.71,5.96,5.94,6.75,6.64,6.81,7.01,5.01,4.61,4.00,-,-,-,-,-,-,-
8,P/TBV Ratio,4.34,4.34,5.28,4.28,6.42,6.72,6.75,7.55,7.49,7.71,7.89,5.65,5.20,4.51,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-69.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,222.14,-,-253.66,-,-208.41,-,-,-,76.13,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.21,6.90,8.36,6.70,10.56,11.53,12.66,14.98,16.38,18.16,20.29,14.93,15.94,14.09,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,64.27,-,87.00,119.44,123.88,102.42,129.77,162.88,310.45,665.83,254.35,-,95.04,71.17,-,-,-,-,-,-,-
