,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,2450,2773,2756,3104,-,-,-,-,-
1,Enterprise Value,1958,2131,2140,2941,-,-,-,-,-
2,Last Close Price,13.78,15.51,15.41,17.09,-,-,-,-,-
3,PE Ratio,15.50,27.98,21.72,22.11,-,-,-,-,-
4,PS Ratio,0.88,1.34,1.24,1.32,-,-,-,-,-
5,PB Ratio,2.76,2.32,2.34,2.58,-,-,-,-,-
6,P/TBV Ratio,-,2.42,2.44,2.69,-,-,-,-,-
7,P/FCF Ratio,13.50,34.46,22.64,-,-,-,-,-,-
8,P/OCF Ratio,-,17.18,13.50,12.54,-,-,-,-,-
9,EV/Sales Ratio,0.88,1.03,0.96,1.25,-,-,-,-,-
10,EV/EBITDA Ratio,9.83,-,11.53,-,-,-,-,-,-
11,EV/EBIT Ratio,15.55,17.89,15.09,18.91,-,-,-,-,-
12,EV/FCF Ratio,10.79,26.48,17.58,-,-,-,-,-,-
13,Debt / Equity Ratio,0.02,0.05,0.01,0.01,0.02,0.02,-,0.03,0.03
14,Debt / EBITDA Ratio,0.07,-,0.04,-,0.05,0.06,-,0.10,0.08
15,Debt / FCF Ratio,0.09,0.77,0.06,-,0.09,0.13,-,-,-
16,Asset Turnover,0.98,1.05,-,-,-,-,-,-,
17,Inventory Turnover,14.26,9.13,9.39,-,-,-,-,-,-
18,Quick Ratio,1.03,1.40,1.68,1.60,1.03,1.01,-,-,0.94
19,Current Ratio,1.22,1.88,1.94,2.01,1.22,1.19,-,-,1.11
20,Return on Equity (ROE),5.64%,7.32%,-,-,-,-,13.26%,-,
21,Return on Assets (ROA),3.46%,2.42%,-,-,-,-,-,-,
22,Return on Capital (ROIC),5.45%,3.83%,-,-,-,-,10.36%,-,
23,Return on Capital Employed (ROCE),20.96%,9.71%,11.73%,12.58%,21.49%,18.74%,-,-,4.86%
24,Earnings Yield,5.77%,3.57%,4.60%,4.52%,-,-,-,-,-
25,FCF Yield,7.41%,2.90%,4.42%,5.76%,-,-,-,-,-
26,Payout Ratio,0.24%,0.72%,223.45%,0.27%,0.15%,0.22%,0.26%,0.47%,0.33%
27,Buyback Yield / Dilution,-22.81%,-23.85%,-17.47%,-22.58%,1.05%,-,-,-,-
28,Total Shareholder Return,-20.86%,-23.85%,-17.47%,-22.58%,1.05%,-,-,-,-
