,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Revenue,471.67,496.88,436.23,665.45,627.29,626.14,440.09,522.1
1,Revenue Growth (YoY),-24.81%,-20.64%,-0.88%,27.46%,-,-,-,-
2,Cost of Revenue,413.08,435.55,385.71,571.46,535.79,548.37,384.91,458.83
3,Gross Profit,58.58,61.33,50.51,93.99,91.49,77.77,55.18,63.27
4,"Selling, General & Admin",19.4,19.9,19.7,22.83,19.09,16.21,14.55,17.43
5,Research & Development,15.47,19.54,18.29,23.91,20.7,21.82,13.74,22.92
6,Other Operating Expenses,-0.99,0.27,1.28,-1.62,1.69,0.82,0.65,-4.6
7,Operating Expenses,31.95,42.96,33.85,36.54,42.21,45.65,30.39,33.44
8,Operating Income,26.64,18.37,16.67,57.45,49.28,32.12,24.8,29.83
9,Interest Expense,-0.19,-0.09,-0.13,-1.09,-0.14,-0.18,-0.13,-0.24
10,Interest & Investment Income,6.46,3.84,2.48,0.44,0.79,0.2,0.1,0.85
11,Currency Exchange Gain (Loss),-2.16,2.16,-,-3.18,-3.95,3.95,-,-9.5
12,Other Non Operating Income (Expenses),-7.52,-0.78,0.53,2.9,1.7,6.4,-3.78,7.3
13,EBT Excluding Unusual Items,23.23,23.49,19.54,56.51,47.68,42.49,20.99,28.24
14,Gain (Loss) on Sale of Investments,0.27,0.22,-0.22,0.74,0.1,-0.88,-0.15,-0.24
15,Gain (Loss) on Sale of Assets,0.33,-0.02,0,-0.03,-,-,-,0.95
16,Asset Writedown,-0.91,1,-1.04,-1.71,-0.72,0.18,-0.17,0.47
17,Legal Settlements,-,-,-,-,1.23,-1.23,-,-
18,Other Unusual Items,0.19,-0.19,-,-4.84,-,-,-,-3.05
19,Pretax Income,23.1,24.51,18.28,50.67,48.28,40.56,20.67,26.37
20,Income Tax Expense,6.36,2.74,0.85,6.65,4.35,3.71,1.36,-2.47
21,Earnings From Continuing Operations,16.74,21.76,17.43,44.01,43.94,36.85,19.31,28.84
22,Minority Interest in Earnings,-1.17,-0.34,0.14,0.56,-0.66,-1.9,-0.87,-0.33
23,Net Income,15.57,21.42,17.58,44.57,43.28,34.95,18.44,28.52
24,Net Income to Common,15.57,21.42,17.58,44.57,43.28,34.95,18.44,28.52
25,Net Income Growth,-64.02%,-38.71%,-4.68%,56.30%,-,-,-,-
26,Shares Outstanding (Basic),178,181,163,131,144,154,133,133
27,Shares Outstanding (Diluted),178,181,163,131,144,154,133,133
28,Shares Change (YoY),23.85%,17.47%,22.58%,-1.05%,-,-,-,-
29,EPS (Basic),0.09,0.12,0.11,0.34,0.30,0.23,0.14,0.22
30,EPS (Diluted),0.09,0.12,0.11,0.34,0.30,0.23,0.14,0.22
31,EPS Growth,-70.95%,-47.83%,-22.24%,57.96%,-,-,-,-
32,Free Cash Flow,45.75,9.42,-18.49,43.79,86.99,66.45,-16.72,-22.7
33,Free Cash Flow Per Share,0.26,0.05,-0.11,0.33,0.61,0.43,-0.13,-0.17
34,Gross Margin,12.42%,12.34%,11.58%,14.12%,14.59%,12.42%,12.54%,12.12%
35,Operating Margin,5.65%,3.70%,3.82%,8.63%,7.86%,5.13%,5.63%,5.71%
36,Profit Margin,3.30%,4.31%,4.03%,6.70%,6.90%,5.58%,4.19%,5.46%
37,Free Cash Flow Margin,9.70%,1.90%,-4.24%,6.58%,13.87%,10.61%,-3.80%,-4.35%
38,EBITDA,-,39.6,-,78.05,67.92,50.71,39.95,47.21
39,EBITDA Margin,-,7.97%,-,11.73%,10.83%,8.10%,9.08%,9.04%
40,D&A For EBITDA,-,21.23,-,20.6,18.64,18.6,15.16,17.38
41,EBIT,26.64,18.37,16.67,57.45,49.28,32.12,24.8,29.83
42,EBIT Margin,5.65%,3.70%,3.82%,8.63%,7.86%,5.13%,5.63%,5.71%
43,Effective Tax Rate,27.53%,11.19%,4.66%,13.13%,9.00%,9.14%,6.58%,-
44,Revenue as Reported,471.67,496.88,436.23,-,627.29,626.14,440.09,-
