,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,163271,50664,26917,23208,27106,52968,62667,107949,114048,-,-
1,Market Cap Growth,118.31%,118.31%,-0.69%,-56.18%,-56.75%,-50.93%,-45.05%,-,-,-,-
2,Enterprise Value,156672,44970,21655,18334,21838,47245,56154,101552,113380,-,-
3,Last Close Price,123.10,38.25,20.07,17.27,19.54,37.36,43.82,75.48,79.54,-,-
4,PE Ratio,99.80,30.88,22.57,34.67,50.41,54.58,59.76,121.15,183.44,-,-
5,Forward PE,45.65,28.58,19.85,20.15,25.69,31.19,31.95,78.14,83.79,-,-
6,PS Ratio,18.92,5.86,3.88,4.23,5.19,8.91,11.37,25.88,38.21,-,-
7,PB Ratio,18.09,5.58,3.14,2.94,3.44,6.36,7.49,14.21,15.66,-,-
8,P/TBV Ratio,5.70,5.70,3.19,2.99,3.52,6.47,7.64,14.42,15.91,-,-
9,P/FCF Ratio,60.58,18.80,14.66,16.61,38.37,112.48,103.85,113.73,182.10,-,-
10,P/OCF Ratio,16.82,16.82,12.27,13.34,26.91,63.60,65.53,87.75,136.53,-,-
11,PEG Ratio,0.71,1.16,0.99,0.64,1.21,1.21,1.21,1.21,-,-,-
12,EV/Sales Ratio,18.12,5.20,3.12,3.35,4.18,7.94,10.19,24.35,37.98,-,-
13,EV/EBITDA Ratio,56.10,19.19,12.77,18.38,24.01,29.82,33.88,73.80,116.20,-,-
14,EV/EBIT Ratio,78.14,22.85,16.03,27.32,36.10,36.82,40.19,84.56,132.71,-,-
15,EV/FCF Ratio,58.14,16.69,11.80,13.12,30.91,100.33,93.06,106.99,181.03,-,-
16,Debt / Equity Ratio,0.10,0.10,0.10,0.09,0.11,0.10,0.09,0.06,0.05,0.17,0.31
17,Debt / FCF Ratio,0.33,0.33,0.48,0.52,1.19,1.69,1.26,0.50,0.55,0.61,0.46
18,Return on Capital Employed (ROCE),20.47%,20.47%,14.89%,8.05%,7.18%,14.48%,15.74%,15.25%,11.41%,48.81%,89.63%
19,Earnings Yield,1.00%,3.24%,4.43%,2.88%,1.98%,1.83%,1.67%,0.83%,0.55%,-,-
20,FCF Yield,1.65%,5.32%,6.82%,6.02%,2.61%,0.89%,0.96%,0.88%,0.55%,-,-
21,Buyback Yield / Dilution,1.30%,1.07%,1.52%,2.28%,1.66%,0.12%,-8.44%,-19.80%,-10.15%,0.33%,-
22,Total Shareholder Return,1.55%,1.07%,1.52%,2.28%,1.66%,0.12%,-8.44%,-19.80%,-10.15%,0.33%,-
