,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,5221,4730,3927,4353,5038,5997,5205,8206,-,-
1,Market Cap Growth,8.67%,8.67%,-22.05%,-27.41%,-3.22%,-26.92%,-,-,-,-
2,Enterprise Value,1837,-139,-754,-297,441,1590,1661,7336,-,-
3,Last Close Price,3.46,3.01,2.43,2.62,2.93,3.49,2.94,4.78,-,-
4,PE Ratio,9.48,8.51,7.32,8.89,10.71,13.04,11.79,22.68,-,-
5,Forward PE,8.64,7.73,6.38,7.46,6.96,7.19,6.92,-,-,-
6,PS Ratio,1.33,1.20,1.11,1.39,1.79,2.50,2.21,4.10,-,-
7,PB Ratio,1.36,1.16,0.98,1.15,1.31,1.61,1.37,2.50,-,-
8,P/TBV Ratio,1.34,1.34,1.15,1.35,1.55,1.92,1.64,3.06,-,-
9,P/FCF Ratio,8.30,7.52,5.34,6.23,6.07,5.68,4.31,8.62,-,-
10,P/OCF Ratio,7.20,7.20,5.13,6.10,5.94,5.60,4.25,8.46,-,-
11,PEG Ratio,0.42,0.42,0.39,0.25,0.23,0.12,0.09,-,-,-
12,EV/Sales Ratio,0.47,-,-,-,0.16,0.66,0.71,3.66,-,-
13,EV/EBITDA Ratio,2.37,-,-,-,0.76,2.55,2.51,13.50,-,-
14,EV/EBIT Ratio,2.70,-,-,-,0.79,2.64,2.60,14.07,-,-
15,EV/FCF Ratio,2.92,-,-,-,0.53,1.51,1.38,7.70,-,-
16,Debt / Equity Ratio,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.15,-
17,Debt / FCF Ratio,0.26,0.26,0.16,0.17,0.11,0.07,0.06,0.11,0.26,-
18,Return on Capital Employed (ROCE),15.96%,15.90%,15.76%,13.20%,12.51%,13.70%,14.53%,15.45%,32.50%,-
19,Earnings Yield,10.64%,11.74%,13.66%,11.24%,9.34%,7.67%,8.48%,4.41%,-,-
20,FCF Yield,12.05%,13.30%,18.72%,16.05%,16.48%,17.61%,23.20%,11.60%,-,-
21,Dividend Yield,5.40%,6.07%,7.24%,3.34%,-,-,-,-,-,-
22,Buyback Yield / Dilution,0.00%,0.00%,-,-,-0.08%,-38.86%,-49.30%,-7.61%,-,-
23,Total Shareholder Return,5.41%,6.07%,7.24%,3.34%,-0.08%,-38.86%,-49.30%,-7.61%,-,-
