,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1960,1712,1512,1396,1090,960.19,958.19,707.74,460.31
1,Revenue Growth (YoY),29.65%,22.60%,38.71%,45.42%,13.75%,35.67%,108.16%,-,-
2,Cost of Revenue,1453,1280,1087,1062,744.66,631.94,615.6,452.67,312.09
3,Gross Profit,507.36,431.67,424.96,334.16,345.28,328.25,342.58,255.07,148.22
4,"Selling, General & Admin",158.88,152.17,127.16,110.06,100.87,73.13,88.32,94.54,49.38
5,Other Operating Expenses,-2.41,-13.35,-6.83,-16.25,-8.5,-7.91,-6.06,-13.57,-5.65
6,Operating Expenses,163.28,144.41,122.38,95.93,92.36,67.25,82.27,81.74,43.73
7,Operating Income,344.08,287.26,302.58,238.23,252.92,261,260.32,173.33,104.5
8,Interest Expense,-3.03,-2.44,-2.44,-1.5,-1.64,-1.11,-2.31,-2.31,-26.92
9,Interest & Investment Income,52.9,55.28,51.64,43.47,32.02,17.01,6.8,5.34,27.73
10,Earnings From Equity Investments,0.47,0.13,0.03,-0.17,0.28,-0.08,0.27,-,-
11,Currency Exchange Gain (Loss),-,-1.94,-,3.27,10.59,-16.23,0.39,0.36,-
12,Other Non Operating Income (Expenses),-0.08,-2.04,-0.91,-1.46,-,-1.67,-,-1.79,-
13,EBT Excluding Unusual Items,394.34,336.24,350.9,281.84,294.17,258.93,265.47,174.92,105.31
14,Gain (Loss) on Sale of Assets,-,0.01,-,-0.02,-0.01,-0.12,-0.02,-0.02,-
15,Pretax Income,394.34,336.25,350.9,281.82,294.16,258.81,265.45,174.9,105.31
16,Income Tax Expense,106.88,92.81,94.45,73.08,78.49,73.58,80.95,48.42,28.09
17,Earnings From Continuing Operations,287.46,243.43,256.45,208.75,215.67,185.23,184.51,126.49,77.22
18,Minority Interest in Earnings,-9.79,-4.1,-8.76,-3.45,-4.87,-3.39,-6.82,-3.28,-1.3
19,Net Income,277.68,239.33,247.69,205.3,210.8,181.85,177.69,123.21,75.92
20,Net Income to Common,277.68,239.33,247.69,205.3,210.8,181.85,177.69,123.21,75.92
21,Net Income Growth,12.11%,16.58%,17.50%,12.90%,18.63%,47.59%,134.04%,-,-
22,Shares Outstanding (Basic),1522,1522,1522,1522,1522,1521,1096,1019,1019
23,Shares Outstanding (Diluted),1522,1522,1522,1522,1522,1521,1096,1019,1019
24,Shares Change (YoY),-0.00%,-,-,0.08%,38.86%,49.30%,7.61%,-,-
25,EPS (Basic),0.18,0.16,0.16,0.13,0.14,0.12,0.16,0.12,0.07
26,EPS (Diluted),0.18,0.16,0.16,0.13,0.14,0.12,0.16,0.12,0.07
27,EPS Growth,12.11%,16.58%,17.50%,12.80%,-14.56%,-1.14%,117.49%,-,-
28,Free Cash Flow,203.59,381.92,285.23,361.41,372.98,528.34,455.53,336.1,100.06
29,Free Cash Flow Per Share,0.13,0.25,0.19,0.24,0.25,0.35,0.42,0.33,0.10
30,Dividend Per Share,0.091,0.079,0.081,-,-,-,-,-,-
31,Dividend Growth,12.35%,-,-,-,-,-,-,-,-
32,Operating Margin,17.55%,16.78%,20.01%,17.06%,23.20%,27.18%,27.17%,24.49%,22.70%
33,Profit Margin,14.17%,13.98%,16.38%,14.70%,19.34%,18.94%,18.54%,17.41%,16.49%
34,Free Cash Flow Margin,10.39%,22.31%,18.87%,25.88%,34.22%,55.02%,47.54%,47.49%,21.74%
35,EBITDA,357.97,293.73,316.81,244.1,266.73,266.17,272.6,179.1,109.67
36,D&A For EBITDA,13.89,6.47,14.23,5.87,13.81,5.17,12.28,5.77,5.18
37,EBIT,344.08,287.26,302.58,238.23,252.92,261,260.32,173.33,104.5
38,Advertising Expenses,-,-,-,-,7,-,-,-,4.12
