,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,2733,4695,4620,4361,4150,3803,3191,994.63,-
1,Short-Term Investments,753,9.06,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,3486,4704,4620,4361,4150,3803,3191,994.63,-
3,Cash Growth,-24.54%,7.88%,11.33%,14.65%,30.03%,282.40%,-,-,-
4,Accounts Receivable,874.46,649.2,839.15,641.08,613.39,517.04,425.08,446.85,-
5,Other Receivables,262.29,184.6,174.34,188.48,171.16,137.91,151.17,284.75,-
6,Receivables,1137,833.8,1013,829.56,784.55,654.95,576.24,731.6,-
7,Inventory,7,10.28,9.85,6.3,1.29,1.02,1.08,0.9,-
8,Prepaid Expenses,5.22,13.2,5.64,20.26,8.59,14.48,5.98,9.47,-
9,Restricted Cash,36.24,29.66,19.09,4.11,10.17,10.74,1.03,7.06,-
10,Other Current Assets,336.41,282.55,232.47,196.57,140.91,156.5,142.84,132.08,-
11,Total Current Assets,5008,5874,5900,5418,5095,4641,3918,1876,-
12,"Property, Plant & Equipment",177.71,140.3,140.57,112.91,102.21,93.24,125.01,141.1,-
13,Long-Term Investments,1417,36.49,34.36,33.09,32.73,33.02,32.88,34.78,-
14,Goodwill,260.41,260.41,260.41,260.41,253.33,253.33,248.34,248.34,-
15,Other Intangible Assets,65.93,72.51,78.63,83.85,87.69,92.55,93.57,95.56,-
16,Long-Term Deferred Tax Assets,15.03,12.68,11.4,10.86,10.31,10.05,9.56,8.64,-
17,Other Long-Term Assets,60.79,11,12.89,29.15,15.83,8.13,8.56,6.54,-
18,Total Assets,7005,6407,6438,5948,5597,5131,4436,2411,-
19,Accounts Payable,628.83,399.28,438.85,353.11,215.42,166.58,148.87,80.95,-
20,Accrued Expenses,303.29,319.74,304.99,377.71,122.25,325.72,307.62,265.44,-
21,Current Portion of Leases,70.89,64.51,48.51,40.77,28.47,35.49,57.29,56.93,-
22,Current Income Taxes Payable,40.64,30.19,42.03,37.4,58.45,46.42,52.34,63.35,-
23,Current Unearned Revenue,1136,1119,808.96,656.72,570.38,479.24,520.52,402.92,-
24,Other Current Liabilities,854.29,732.6,698.84,554.79,851.05,489.64,543.66,686.2,-
25,Total Current Liabilities,3034,2665,2342,2021,1846,1543,1630,1556,-
26,Long-Term Debt,-,-,-,-,-,-,-,6.14,-
27,Long-Term Leases,80.41,43.61,59.94,38.06,32.97,19.53,30.77,52.32,-
28,Long-Term Unearned Revenue,-,-,463.39,439.31,491.03,425.36,-,-,-
29,Long-Term Deferred Tax Liabilities,101.92,77.8,66.34,58.75,49.46,53.02,44.02,35.77,-
30,Total Liabilities,3216,2787,2932,2557,2419,2041,1705,1650,-
31,Common Stock,2543,2543,2543,2543,2543,2543,2367,581.02,-
32,Retained Earnings,1435,1282,1151,1067,862.2,783.45,601.61,423.92,-
33,Comprehensive Income & Other,-375.67,-380.23,-366.72,-387.27,-391.5,-394.73,-393.18,-390.31,-
34,Total Common Equity,3603,3445,3327,3223,3014,2932,2575,614.62,-
35,Minority Interest,185.66,175.88,179.21,168.66,163.96,158.69,155.88,146.06,-
36,Shareholders' Equity,3788,3620,3507,3391,3178,3090,2731,760.68,-
37,Total Liabilities & Equity,7005,6407,6438,5948,5597,5131,4436,2411,-
38,Total Debt,151.3,108.13,108.45,78.84,61.44,55.02,88.06,115.4,-
39,Net Cash (Debt),3335,4596,4511,4282,4088,3748,3103,879.23,-
40,Net Cash Growth,-26.07%,7.34%,10.35%,14.23%,31.74%,326.33%,-,-,-
41,Net Cash Per Share,2.19,3.02,2.96,2.81,2.69,2.46,2.83,0.86,-
42,Filing Date Shares Outstanding,1521,1522,1522,1522,1522,1522,1479,1019,1019
43,Total Common Shares Outstanding,1521,1522,1522,1522,1522,1522,1479,1019,1019
44,Working Capital,1974,3208,3558,3397,3249,3098,2288,319.95,-
45,Book Value Per Share,2.37,2.26,2.19,2.12,1.98,1.93,1.74,0.60,-
46,Tangible Book Value,3276,3112,2988,2878,2673,2586,2234,270.72,-
47,Tangible Book Value Per Share,2.15,2.04,1.96,1.89,1.76,1.70,1.51,0.27,-
48,Buildings,-,6.07,-,6.07,-,6.07,-,6.07,-
49,Machinery,-,88.27,-,82.61,-,75.63,-,71.08,-
50,Construction In Progress,-,-,-,-,-,0.73,-,0.38,-
51,Leasehold Improvements,-,6.73,-,8.85,-,8.43,-,7.29,-
