,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,903.99,555.43,1049,505.34,894.02,384.92,789.69,460.04,667.61,408.81,453.15,244.07,581.26,250.34,340.82,145.54
1,Other Revenue,-,-1.34,1.34,-,8.65,-7.26,7.26,-,16.04,-3.96,3.96,-,67.22,-21.08,21.08,-
2,Revenue,903.99,554.09,1050,505.34,902.67,377.66,796.95,460.04,683.66,404.84,457.12,244.07,648.49,229.27,361.9,145.54
3,Revenue Growth (YoY),0.15%,46.72%,31.77%,9.85%,32.04%,-6.71%,74.34%,88.49%,5.42%,76.58%,26.31%,67.70%,-,-,-,-
4,Cost of Revenue,1150,347.12,762.85,342.89,605.64,236.91,612.49,347.03,500.18,276.77,299.78,182.18,453.63,164.3,253.91,104.84
5,Gross Profit,-245.8,206.97,287.26,162.45,297.03,140.75,184.46,113.01,183.48,128.07,157.33,61.89,194.85,64.96,107.99,40.7
6,"Selling, General & Admin",-231.58,81.32,75.33,74.93,105.67,68.9,50.96,54.11,70.02,47.22,46.13,43.16,65.48,36.09,34.72,32.08
7,Research & Development,-139.85,43.97,48.93,46.95,56.71,33.99,40.82,31.07,57.99,24.15,18.29,20.82,36.15,22.63,18.51,16.67
8,Other Operating Expenses,-2.48,-3.04,4.33,1.18,4.93,-0.77,-3.34,-0.12,3.89,2.32,2.27,-0.25,3.38,0.64,1.49,0.22
9,Operating Expenses,-384.4,124.34,133.72,126.34,168.48,98.35,104.54,88.5,127.86,75.68,78.99,66.75,104.68,56.12,61.82,55.84
10,Operating Income,138.6,82.63,153.55,36.1,128.55,42.4,79.92,24.5,55.62,52.39,78.35,-4.86,90.17,8.85,46.16,-15.14
11,Interest Expense,-45.22,-0.99,-0.95,-1.01,-1.4,-0.68,-0.31,-0.25,-0.29,-0.32,-0.57,-,-0.33,-0.23,-0.51,-
12,Interest & Investment Income,2.94,28.48,8.41,8.33,9.79,8.9,11.74,8.78,10,10.67,8.95,6.69,5.89,5.52,6.57,4.79
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-0.36,0.58,-0.07,-0.15
14,Currency Exchange Gain (Loss),-,-,-,-,0.05,-0.05,0.05,-,0.05,0,-0,-,-0.25,0.03,-0.03,-
15,Other Non Operating Income (Expenses),-0.3,-0.03,-0.69,0.5,-4.06,3.24,-0.25,-0.02,-3.53,0.04,0.09,2.69,0.1,-0.19,0.08,-0.29
16,EBT Excluding Unusual Items,96.02,110.09,160.32,43.93,132.93,53.81,91.14,33.02,61.86,62.79,86.82,4.52,95.23,14.56,52.21,-10.78
17,Gain (Loss) on Sale of Investments,-1.71,-0.26,1.47,0.5,-0.54,0.37,-0.25,0.42,-0.08,-,0.19,-0.19,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.48,0.48,-0,-,-1,0.95,-0.98,-,-,-,-,-,-,-,-,-
19,Asset Writedown,0.27,-0.27,-0.87,0.87,1.12,-1.12,0.83,-0.83,0.37,-0.37,0.84,-0.84,2.89,-2.89,-0.53,0.53
20,Other Unusual Items,-,-1.87,1.85,0.03,4.11,-4.25,4.24,0,5.03,0.3,-0.3,-,6.38,-1.54,1.54,-
21,Pretax Income,94.1,108.16,162.77,45.32,136.62,49.77,94.99,32.61,67.18,62.71,87.55,3.49,104.5,10.12,53.22,-10.25
22,Income Tax Expense,12.8,11.2,18.57,2.74,14.8,3.54,9.57,2.24,-2.6,7.6,11.23,-1.04,13.34,-1.13,1.67,0.68
23,Earnings From Continuing Operations,81.3,96.96,144.2,42.59,121.82,46.22,85.42,30.37,69.78,55.11,76.32,4.53,91.16,11.26,51.55,-10.93
24,Minority Interest in Earnings,4.08,-1.76,-1.69,-0.62,-0.41,-2.15,-,-,-,-,-,-,-,-,-,-
25,Net Income,85.37,95.19,142.51,41.97,121.41,44.07,85.42,30.37,69.78,55.11,76.32,4.53,91.16,11.26,51.55,-10.93
26,Net Income to Common,85.37,95.19,142.51,41.97,121.41,44.07,85.42,30.37,69.78,55.11,76.32,4.53,91.16,11.26,51.55,-10.93
