,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,18714,18121,19313,16732,15958,14101,16026,21679,27089,32244,26208,13056,9752,13045,-,-,-
1,Market Cap Growth,28.51%,28.51%,20.51%,-22.82%,-41.09%,-56.27%,-38.85%,66.05%,177.76%,147.19%,-,-,-,-,-,-,-
2,Enterprise Value,16667,16075,17312,14590,13566,12294,14336,19528,25056,30211,24136,11023,8366,11658,-,-,-
3,Last Close Price,33.14,32.09,34.07,29.34,27.99,24.73,28.10,38.02,47.35,56.36,45.81,22.74,16.99,22.73,-,-,-
4,PE Ratio,50.98,49.64,48.15,47.81,54.49,50.13,69.79,90.07,116.97,156.72,115.39,71.24,61.53,91.20,-,-,-
5,Forward PE,30.78,32.10,37.00,33.02,26.46,23.37,30.25,37.31,52.91,76.45,79.33,60.44,-,-,-,-,-
6,PS Ratio,6.18,6.01,6.41,5.90,6.18,5.56,6.91,9.24,13.51,18.02,14.94,8.27,6.57,9.42,-,-,-
7,PB Ratio,6.28,6.03,6.42,5.75,5.57,5.00,5.94,8.17,10.34,12.45,10.40,5.30,4.00,5.36,-,-,-
8,P/TBV Ratio,6.34,6.34,6.75,6.05,5.87,5.27,6.21,8.53,10.50,12.66,10.52,5.36,4.05,5.44,-,-,-
9,P/FCF Ratio,-,-,51.51,-,-,35.40,85.96,-,-,147.04,160.24,-4198.20,-,-307.14,-,-,-
10,P/OCF Ratio,-,-,39.32,-,-,27.09,56.50,-,-,105.99,112.49,298.20,-,2070.14,-,-,-
11,EV/Sales Ratio,5.53,5.33,5.75,5.14,5.25,4.85,6.18,8.33,12.49,16.88,13.76,6.98,5.64,8.42,-,-,-
12,EV/EBITDA Ratio,36.50,35.00,38.54,36.03,41.59,39.59,61.37,80.42,104.60,144.26,99.24,55.31,50.23,74.78,-,-,-
13,EV/EBIT Ratio,40.57,39.12,43.19,40.46,47.27,44.64,70.81,91.92,118.82,166.45,111.71,63.90,-,89.65,-,-,-
14,EV/FCF Ratio,-,-,46.17,-,-,30.86,76.90,-,-,137.77,147.57,-3544.65,-,-274.49,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,0.26,0.20,0.32,0.14,0.57,0.17,0.60,0.26,0.20,0.08,0.12,0.07,3.98,0.07,-,-,-
17,Debt / FCF Ratio,-,-,0.32,-,-,0.29,0.64,-,-,0.12,0.18,-8.10,-,-0.74,-,-,-
18,Asset Turnover,-,0.53,0.98,0.45,0.83,0.39,0.88,0.50,0.77,0.49,0.58,0.31,-,-,-,-,
19,Inventory Turnover,-,-,2.31,4.09,1.54,3.07,1.61,4.77,2.88,5.43,3.65,4.35,2.88,-,-,-,-
20,Quick Ratio,-,-,2.77,2.71,2.02,1.88,2.20,2.95,2.91,2.79,3.42,3.81,4.26,3.83,-,-,-
21,Current Ratio,-,-,3.37,3.28,2.68,2.43,2.84,3.52,3.56,3.25,3.93,4.23,4.82,4.21,-,-,-
22,Return on Equity (ROE),10.82%,13.11%,19.98%,5.99%,17.66%,6.91%,12.96%,4.66%,10.93%,8.85%,12.46%,0.74%,-,-,-,-,
23,Return on Assets (ROA),-,4.93%,8.96%,1.99%,7.39%,2.73%,5.48%,1.68%,3.94%,3.99%,6.26%,-0.39%,-,-,-,-,
24,Return on Capital (ROIC),11.08%,6.73%,12.83%,3.06%,11.17%,3.80%,7.39%,2.33%,5.38%,5.20%,7.91%,-0.49%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,12.61%,11.80%,9.52%,9.24%,7.13%,7.63%,7.86%,6.83%,8.38%,6.87%,-,5.25%,-,-,-
26,Earnings Yield,1.95%,2.01%,2.08%,2.09%,1.84%,1.99%,1.43%,1.11%,0.85%,0.64%,0.87%,1.40%,1.63%,1.10%,-,-,-
27,FCF Yield,-,1.94%,2.15%,2.37%,2.82%,1.16%,0.27%,0.74%,0.68%,0.62%,-0.02%,-0.22%,-0.33%,-,-,-,
28,Dividend Yield,0.81%,-,-,1.06%,-,0.71%,-,-,-,0.22%,-,-,-,0.37%,-,-,-
29,Payout Ratio,0.00%,-,103.81%,-,-,-,2.04%,81.58%,-,-,87.18%,-,-,-,0.00%,113.61%,-
30,Buyback Yield / Dilution,0.16%,-5.78%,8.20%,-4.66%,1.28%,8.38%,-12.03%,29.47%,-34.19%,-19.14%,-36.35%,-49.75%,17.18%,-,-,-,-
31,Total Shareholder Return,0.97%,-5.78%,8.20%,-3.61%,1.28%,9.09%,-12.03%,29.47%,-34.19%,-18.92%,-36.35%,-49.75%,17.18%,0.37%,-,-,-
