,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,846.95,378.57,462.1,517.32,463.6,728.08,974.98,372.53,579.83,117.35
1,Revenue Growth (YoY),83.28%,-26.82%,-0.32%,-28.95%,-52.45%,95.44%,68.15%,217.45%,-10.48%,-
2,Cost of Revenue,704.02,398.12,379.29,440.5,320.67,445.62,741.26,248.35,444.19,82.5
3,Gross Profit,142.92,-19.55,82.81,76.83,142.93,282.46,233.72,124.18,135.64,34.86
4,"Selling, General & Admin",61.96,78.94,80,69.07,44.68,179.46,102.74,55.52,62.2,11.9
5,Other Operating Expenses,33.08,23.51,-3.45,39.17,-,6.46,-,-,-,-
6,Operating Expenses,95.04,105.9,76.55,108.23,44.68,185.52,103.15,62.49,62.2,11.9
7,Operating Income,47.89,-125.45,6.26,-31.41,98.25,96.94,130.58,61.69,73.45,22.96
8,Interest Expense,-6.81,-6.69,-7.56,-9.51,-7.82,-16.58,-5.43,-4.43,-5.51,-4.72
9,Interest & Investment Income,3.04,4.25,5.6,5.83,5.41,5.27,3.73,4.5,7.11,5.67
10,Earnings From Equity Investments,-0.61,1.53,-0.37,-3.15,-1.43,2.16,-1.08,0.31,-,-
11,Currency Exchange Gain (Loss),-,-,-,0.83,-,0.18,6.68,-0.68,0.68,-
12,Other Non Operating Income (Expenses),-2.8,-1.25,6.2,8.44,12.31,18.93,5.19,-63.32,-1.26,-4.27
13,EBT Excluding Unusual Items,40.71,-127.62,10.14,-28.96,106.71,106.9,139.67,-1.94,74.45,19.64
14,Gain (Loss) on Sale of Investments,-,-,-,0.19,-,-,-,-,0.06,-
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,1.26,-,-,0.15,-
16,Other Unusual Items,-,-,-,-,-,2.03,-3.69,-24.3,-,-
17,Pretax Income,40.71,-127.62,10.14,-28.78,106.71,110.19,135.97,-26.24,74.66,19.64
18,Income Tax Expense,10.71,-16.26,6.28,-5.51,33.44,35.29,41.49,9.69,20.53,7.04
19,Earnings From Continuing Operations,30,-111.37,3.86,-23.27,73.28,74.9,94.48,-35.94,54.13,12.6
20,Minority Interest in Earnings,-0.12,0.73,-2.53,0.68,0.24,0.2,-0.33,0.24,-,-0.37
21,Net Income,29.88,-110.64,1.33,-22.59,73.52,75.1,94.15,-35.7,54.13,12.23
22,Net Income to Common,29.88,-110.64,1.33,-22.59,73.52,75.1,94.15,-35.7,54.13,12.23
23,Net Income Growth,2141.79%,-,-98.19%,-,-21.91%,-,73.93%,-,43.20%,-
24,Shares Outstanding (Basic),684,679,676,673,678,678,670,400,400,-
25,Shares Outstanding (Diluted),684,679,678,695,708,714,700,400,483,-
26,Shares Change (YoY),0.88%,-2.32%,-4.25%,-2.62%,1.15%,78.43%,44.82%,-,-,-
27,EPS (Basic),0.04,-0.16,0.00,-0.03,0.11,0.11,0.14,-0.09,0.14,-
28,EPS (Diluted),0.04,-0.16,0.00,-0.03,0.10,0.11,0.14,-0.10,0.12,-
29,EPS Growth,2114.90%,-,-98.10%,-,-23.96%,-,14.30%,-,-,-
30,Free Cash Flow,-14.24,10.37,-66.63,151.89,-79.52,-447.91,-153.21,0,10.18,-5.05
31,Free Cash Flow Per Share,-0.02,0.02,-0.10,0.22,-0.11,-0.63,-0.22,0.00,0.02,-
32,Operating Margin,5.65%,-33.14%,1.36%,-6.07%,21.19%,13.32%,13.39%,16.56%,12.67%,19.56%
33,Profit Margin,3.53%,-29.23%,0.29%,-4.37%,15.86%,10.32%,9.66%,-9.58%,9.34%,10.42%
34,Free Cash Flow Margin,-1.68%,2.74%,-14.42%,29.36%,-17.15%,-61.52%,-15.71%,0.00%,1.76%,-4.31%
35,EBITDA,48.82,-124.52,6.92,-16.28,98.76,98.56,133.68,64.47,102.48,23.56
36,D&A For EBITDA,0.94,0.93,0.65,15.13,0.51,1.61,3.11,2.78,29.03,0.61
37,EBIT,47.89,-125.45,6.26,-31.41,98.25,96.94,130.58,61.69,73.45,22.96
