,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3741,2921,3073,2571,3433,3289,3541,-,-,-,-,-
1,Market Cap Growth,-11.20%,-11.20%,-13.23%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3327,2479,2574,1997,2858,2688,3705,-,-,-,-,-
3,Last Close Price,39.30,30.68,32.28,26.97,36.01,34.50,37.15,-,-,-,-,-
4,PE Ratio,-,-,-,-950.44,297.44,-,-,-,-,-,-,-
5,PS Ratio,31.86,24.88,25.88,23.48,25.45,26.84,21.62,-,-,-,-,-
6,PB Ratio,3.32,2.59,2.71,2.25,3.01,2.90,3.10,-,-,-,-,-
7,P/TBV Ratio,2.67,2.67,2.79,2.31,3.10,2.98,3.19,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-75.35,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,220.51,-,-,-,-,-
10,EV/Sales Ratio,28.33,21.12,21.67,18.24,21.19,21.93,22.61,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-67.14,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-60.33,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-19.02,-,-,-,-,-,-78.83,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.00,0.01,0.17,0.55,0.54,-,0.45,0.24
15,Debt / EBITDA Ratio,-,-,-,3.54,-,-,-,2.76,4.92,-,1.06,0.70
16,Debt / FCF Ratio,-,-,-,-,-,-,-4.24,-,-,-,-,-
17,Asset Turnover,0.02,0.05,0.07,0.22,0.02,0.02,0.27,-,-,-,-,
18,Inventory Turnover,1.23,0.22,0.74,0.90,4.30,0.41,0.51,3.54,-,-,-,-
19,Quick Ratio,6.47,6.47,6.26,5.34,5.08,7.21,10.17,3.66,3.56,-,2.87,-
20,Current Ratio,7.20,7.20,6.85,5.75,5.37,7.88,10.67,4.14,3.92,-,3.32,-
21,Return on Equity (ROE),-2.21%,-2.69%,1.23%,1.72%,-2.85%,-1.56%,17.68%,-,-,37.29%,-,
22,Return on Assets (ROA),-2.17%,-2.36%,0.03%,-2.37%,-2.46%,-1.74%,6.84%,-,-,-,-,
23,Return on Capital (ROIC),-2.41%,-2.66%,0.03%,-2.68%,-2.69%,-1.93%,8.05%,-,-,19.70%,-,
24,Return on Capital Employed (ROCE),-,-,-,-2.84%,-,-,-,12.62%,14.41%,-,11.77%,-
25,Earnings Yield,-0.15%,-0.19%,-0.24%,-0.11%,0.34%,0.51%,1.14%,-,-,-,-,-
26,FCF Yield,-4.67%,-5.99%,-5.64%,-3.97%,-2.20%,-2.23%,-1.33%,-,-,-,-,-
27,Dividend Yield,0.10%,-,-,-,0.10%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,2.64%,0.03%,-,-,14.33%,24.10%,13.48%,5.34%,6.19%
29,Buyback Yield / Dilution,-17.43%,-0.86%,-8.15%,-38.66%,-22.37%,-30.02%,-22.41%,-0.52%,-,-,-,-
30,Total Shareholder Return,-17.34%,-0.86%,-8.15%,-38.66%,-22.27%,-30.02%,-22.41%,-0.52%,-,-,-,-
