,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,384.33,378.46,164.99,399.11,42.58,754.86,63.89,93.43,-,74.82,-
1,Trading Asset Securities,31,64.48,350.83,165.43,538.62,45.41,-,-,-,-,-
2,Cash & Short-Term Investments,415.33,442.94,515.82,564.54,581.21,800.27,63.89,93.43,-,74.82,44.74
3,Cash Growth,-28.54%,-44.65%,707.35%,504.21%,-,969.54%,42.80%,-,-,-,-
4,Accounts Receivable,333,339.55,337.6,317.26,235.6,258.79,316.98,280.34,-,266.29,-
5,Other Receivables,4.48,1.46,3.2,0.86,3.38,6.63,1.99,0.52,-,0.33,-
6,Receivables,337.47,341.01,340.8,318.12,238.98,265.42,318.97,280.86,-,266.62,-
7,Inventory,70.92,59.47,54.36,42.34,53.28,35.68,22.12,17.42,-,37.59,-
8,Prepaid Expenses,-,6.91,-,-,-,-,-,-,-,-,-
9,Other Current Assets,13.98,6.96,11.08,6.97,23.22,17.35,28.07,20.68,-,16.25,-
10,Total Current Assets,837.7,857.28,922.06,931.96,896.68,1119,433.05,412.39,-,395.29,-
11,"Property, Plant & Equipment",348.54,349.89,344.23,335.19,287.05,275.34,263.05,252.49,-,206.78,-
12,Long-Term Investments,4.75,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,31.17,31.37,31.58,31.79,31.89,32.09,30.69,30.85,-,31.19,-
14,Long-Term Deferred Tax Assets,7.9,7.86,7.53,7.07,5.67,5.13,4.42,4.61,-,4.05,-
15,Long-Term Deferred Charges,0.94,1.09,1.11,1.26,0.17,-,-,-,-,-,-
16,Other Long-Term Assets,14.57,16.55,19.91,14.47,38.36,19.98,15.79,13.67,-,15.56,-
17,Total Assets,1246,1264,1326,1322,1260,1451,747,714,-,652.86,-
18,Accounts Payable,107.26,118.6,121.88,130.13,102.61,94.3,81.09,73.92,-,78.17,-
19,Accrued Expenses,3.44,4.04,3.72,5.83,3.84,3.24,2.74,10.96,-,10.3,-
20,Short-Term Debt,-,-,-,2.89,-,-,-,-,-,-,-
21,Current Portion of Leases,0.32,0.92,1.01,1,3.61,4.13,3.9,3.85,-,3.36,-
22,Current Income Taxes Payable,0.72,0,0.44,0,-,-,12.03,11.58,-,11.28,-
23,Current Unearned Revenue,4.32,1.55,0.41,0.7,2.39,1.79,1.87,0.42,-,1.35,-
24,Other Current Liabilities,0.36,0.11,32.94,33.02,1.33,1.35,2.94,4.52,-,14.62,-
25,Total Current Liabilities,116.41,125.21,160.41,173.58,113.78,104.82,104.57,105.26,-,119.08,-
26,Long-Term Debt,-,-,15.02,-,-,193.02,219.65,202.63,-,153.63,-
27,Long-Term Leases,0.33,0.65,0.86,1.07,3.24,2.17,3.79,4.16,-,6.5,-
28,Long-Term Unearned Revenue,-,2.2,2.2,2.2,2.2,2.2,2.2,2.2,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,0.73,0.05,-,-,-,-,-
30,Other Long-Term Liabilities,2.01,2.9,3.79,4.26,4.34,5.38,6.03,6.55,-,6.54,-
31,Total Liabilities,118.76,130.97,182.27,181.11,124.29,307.63,336.24,320.8,-,285.74,-
32,Common Stock,95.2,95.2,68,68,68,68,51,51,-,51,-
33,Additional Paid-In Capital,802.54,802.54,829.74,829.74,829.74,829.74,70.87,70.87,-,70.62,-
34,Retained Earnings,229.09,235.34,246.41,242.89,237.77,245.88,288.89,271.33,-,245.5,-
35,Shareholders' Equity,1127,1133,1144,1141,1136,1144,410.76,393.2,-,367.12,312.42
36,Total Liabilities & Equity,1246,1264,1326,1322,1260,1451,747,714,-,652.86,-
37,Total Debt,0.65,1.57,16.89,4.96,6.85,199.32,227.34,210.65,-,163.48,75.65
38,Net Cash (Debt),414.68,441.36,498.93,559.58,574.36,600.95,-163.45,-117.21,-,-88.66,-30.9
39,Net Cash Growth,-27.80%,-26.56%,-,-,-,-,-,-,-,-,-
40,Net Cash Per Share,4.36,4.65,5.06,6.43,6.08,6.85,-2.30,-1.65,-,-1.24,-0.44
41,Filing Date Shares Outstanding,95.2,95.2,95.2,95.2,95.2,95.2,71.4,71.4,72.6,71.4,70.69
42,Total Common Shares Outstanding,95.2,95.2,95.2,95.2,95.2,95.2,71.4,71.4,72.6,71.4,70.69
43,Working Capital,721.29,732.07,761.65,758.38,782.9,1014,328.48,307.13,-,276.21,-
44,Book Value Per Share,11.84,11.90,12.02,11.98,11.93,12.01,5.75,5.51,-,5.14,4.38
45,Tangible Book Value,1096,1102,1113,1109,1104,1112,380.07,362.35,-,335.93,280.9
46,Tangible Book Value Per Share,11.51,11.57,11.69,11.65,11.59,11.68,5.32,5.07,-,4.70,3.94
47,Buildings,-,79.18,-,74.59,-,-,-,-,-,-,-
48,Machinery,-,31.82,-,24.12,-,21.99,-,18.48,-,17.51,-
49,Construction In Progress,-,247.98,-,242.03,-,257.48,-,235.26,-,188.11,-
