,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,6.33,15.93,24.74,70.37,7.64,6.7,50.13,58.09,48.91,88.06,55.17
1,Other Revenue,-0.03,0.03,-,0.05,-,-,-,0,-0,0,-
2,Revenue,6.3,15.96,24.74,70.42,7.64,6.7,50.13,58.09,48.91,88.06,55.17
3,Revenue Growth (YoY),-17.61%,138.25%,-50.65%,21.22%,-84.38%,-92.39%,-9.12%,-,-,-,-
4,Cost of Revenue,3.63,10.51,10.84,51.42,4.57,3.7,17.5,36.85,18.98,35.24,17.8
5,Gross Profit,2.67,5.46,13.9,18.99,3.07,3,32.64,21.24,29.93,52.82,37.37
6,"Selling, General & Admin",5.72,5.25,5.31,5,10.15,6.69,5.14,4.11,5.8,5.98,4.25
7,Research & Development,4.56,4.57,4.8,5.98,5.98,7.87,6.8,4.9,6.51,7.22,5.15
8,Other Operating Expenses,0.45,-0.01,-1.04,10.61,0.01,-9.26,-0.43,1.53,-0.17,0.75,-0.29
9,Operating Expenses,13.56,17.68,13.75,31.25,16.42,10.63,12.65,14.83,11.45,16.63,10.74
10,Operating Income,-10.89,-12.22,0.15,-12.26,-13.35,-7.64,19.99,6.4,18.47,36.2,26.63
11,Interest Expense,-0.01,-0.02,-0.13,-,-0.12,-0.37,-0.32,-0.32,-0.24,-0.24,-0.21
12,Interest & Investment Income,1.64,2.48,2.1,2.69,3.12,3.28,0.34,0.51,0.31,0.29,0.22
13,Other Non Operating Income (Expenses),-0.02,-0.03,-0.01,0.08,-0.1,-0.04,-0.01,0.56,-0.01,-0.01,-0.58
14,EBT Excluding Unusual Items,-9.27,-9.79,2.1,-9.49,-10.46,-4.77,20,7.16,18.54,36.25,26.06
15,Gain (Loss) on Sale of Investments,0.24,0.55,1.46,0.43,0.62,0.01,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.22,-,-,0.11,0.22,-,-,-,-,-,-
17,Asset Writedown,-0.07,0,-0.01,0.35,-0.44,0.06,-0.06,0.96,-0.96,0.05,-0.05
18,Other Unusual Items,0.59,-0.5,0.01,13.59,-0.19,0.19,-,2.9,0.02,-0.02,-
19,Pretax Income,-8.29,-9.74,3.56,5,-10.25,-4.52,19.94,11.02,17.59,36.28,26.01
20,Income Tax Expense,-2.04,-2.07,0.05,0.09,-2.14,-1.5,2.18,0.94,1.88,4.6,3.29
21,Net Income,-6.25,-7.67,3.52,4.91,-8.11,-3.02,17.76,10.08,15.72,31.68,22.72
22,Net Income to Common,-6.25,-7.67,3.52,4.91,-8.11,-3.02,17.76,10.08,15.72,31.68,22.72
23,Net Income Growth,-,-,-80.20%,-51.32%,-,-,-21.81%,-,-,-,-
24,Shares Outstanding (Basic),95,95,99,87,94,88,71,71,73,72,71
25,Shares Outstanding (Diluted),95,95,99,87,94,88,71,71,73,72,71
26,Shares Change (YoY),0.86%,8.15%,38.66%,22.37%,30.02%,22.41%,0.52%,-,-,-,-
27,EPS (Basic),-0.07,-0.08,0.04,0.06,-0.09,-0.03,0.25,0.14,0.22,0.44,0.32
28,EPS (Diluted),-0.07,-0.08,0.04,0.06,-0.09,-0.03,0.25,0.14,0.22,0.44,0.32
29,EPS Growth,-,-,-85.72%,-60.22%,-,-,-22.22%,-,-,-,-
30,Free Cash Flow,-28.97,-54.41,-66.19,-25.3,-27.41,16.88,-39.82,-23.07,-0.99,-21.81,-29.44
31,Free Cash Flow Per Share,-0.30,-0.57,-0.67,-0.29,-0.29,0.19,-0.56,-0.32,-0.01,-0.30,-0.42
32,Dividend Per Share,-,-,-,0.036,-,-,-,0.420,-,-,-
33,Dividend Growth,-,-,-,-91.50%,-,-,-,-,-,-,-
34,Gross Margin,42.38%,34.19%,56.20%,26.97%,40.19%,44.74%,65.10%,36.56%,61.19%,59.98%,67.74%
35,Operating Margin,-172.97%,-76.54%,0.60%,-17.41%,-174.73%,-113.99%,39.88%,11.02%,37.77%,41.11%,48.27%
36,Profit Margin,-99.34%,-48.02%,14.22%,6.97%,-106.12%,-45.10%,35.43%,17.36%,32.13%,35.97%,41.18%
37,Free Cash Flow Margin,-460.24%,-340.85%,-267.55%,-35.93%,-358.69%,251.98%,-79.43%,-39.71%,-2.02%,-24.77%,-53.36%
38,EBITDA,-9.85,-10.68,1.19,-11.21,-12.73,-6.99,20.61,7.02,19.03,36.78,27.18
39,EBITDA Margin,-156.40%,-66.93%,4.82%,-15.93%,-166.64%,-104.26%,41.11%,12.09%,38.90%,41.77%,49.27%
40,D&A For EBITDA,1.04,1.53,1.04,1.04,0.62,0.65,0.62,0.62,0.55,0.58,0.55
41,EBIT,-10.89,-12.22,0.15,-12.26,-13.35,-7.64,19.99,6.4,18.47,36.2,26.63
42,EBIT Margin,-172.97%,-76.54%,0.60%,-17.41%,-174.73%,-113.99%,39.88%,11.02%,37.77%,41.11%,48.27%
43,Effective Tax Rate,-,-,1.29%,1.75%,-,-,10.93%,8.50%,10.67%,12.69%,12.65%
44,Revenue as Reported,6.3,15.96,24.74,70.42,7.64,6.7,50.13,58.09,48.91,88.06,55.17
