,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,92.5,118.2,114.2,111.39,100.07,126.05,118.28,100.93,105.35,136.39,102.65,120.88,115.31,118.54,116.71,120.22,122.54,144.27,92.31,59.07
1,Revenue Growth (YoY),-7.56%,-6.23%,-3.46%,10.36%,-5.01%,-7.58%,15.23%,-16.50%,-8.63%,15.06%,-12.05%,0.55%,-5.90%,-17.84%,26.43%,103.52%,-,-,-,-
2,Cost of Revenue,-81.31,28.49,28.04,24.78,25.38,29.4,31.17,24.61,28.89,33.27,28.47,30.48,32.14,30.2,28.09,29.41,33.88,34.92,28.53,19.92
3,Gross Profit,173.82,89.71,86.16,86.61,74.69,96.65,87.12,76.33,76.47,103.12,74.17,90.4,83.17,88.34,88.63,90.81,88.66,109.36,63.78,39.15
4,"Selling, General & Admin",-102.78,35.3,36.24,31.24,37.82,32.1,38.04,25.45,32.39,36.99,34.15,31.63,33.33,37.64,39.85,32.41,39.23,35.76,30.28,23.75
5,Research & Development,-48.83,20.18,10.03,18.62,17.91,15.73,14.42,17.09,17.03,19.22,13.61,18.5,18.54,17.02,16.5,14.73,10.68,21.83,11.18,10.63
6,Other Operating Expenses,308.66,-9.02,1.47,0.43,0.94,1.48,-6.01,0.49,7.97,-5.14,1.26,1.41,7.95,-5.27,0.42,0.56,6.49,1.06,0.58,-4.91
7,Operating Expenses,157.01,46.55,47.89,50.1,56.51,49.34,46.29,42.9,57.55,51.14,48.93,51.44,59.89,49.14,56.91,47.88,56.35,59.18,42.41,28.93
8,Operating Income,16.81,43.16,38.27,36.51,18.18,47.31,40.83,33.43,18.92,51.98,25.25,38.96,23.28,39.2,31.72,42.92,32.31,50.18,21.38,10.22
9,Interest Expense,-16.4,-1.98,-0.8,-0.27,-0.3,-0.04,-0.06,-0.08,-0.1,-0.12,-0.12,-0.18,-0.18,-0.18,-0.2,-0.17,-0.01,-,-0.01,-
10,Interest & Investment Income,3.06,4.94,5.27,6.19,4.97,4.36,6.99,5.72,5.47,6.39,7.09,6.08,6.65,5.13,4.61,1.9,3.55,3.96,2.74,3.61
11,Currency Exchange Gain (Loss),-,-0.03,0.03,-,0.08,-0.2,0.2,-,0.4,-0.23,0.23,-,-0.13,-0.01,0.01,-,-0.29,-0.29,0.29,-
12,Other Non Operating Income (Expenses),3.42,-0.28,-0.05,-0.01,-0.16,-0.07,0.06,-0.14,-3.32,-0.27,3.3,0.21,-0.16,-0.09,-0.1,-0.08,2.15,-0.03,-1.19,-1.01
13,EBT Excluding Unusual Items,6.9,45.8,42.72,42.41,22.77,51.36,48.02,38.93,21.37,57.75,35.74,45.07,29.47,44.04,36.04,44.58,37.73,53.82,23.21,12.82
14,Gain (Loss) on Sale of Assets,-0.48,0.57,0.01,-0.1,0.03,0.12,-0,0,-0.65,0.47,-0.38,-0.05,-0.61,-0.01,-0.02,-,-0.19,0.06,-0.13,-0.09
15,Asset Writedown,3.5,-2.62,-0.87,-0.01,-0.71,-0.79,-1.21,-0.09,0.36,-1.37,-0.36,-0.09,1.03,-1.34,0.18,-0.18,1.66,-1.66,0.82,-0.82
16,Other Unusual Items,-,-0.53,0.55,-0.02,7.69,-,-,-,19.51,-,-,-,9.02,-,-,-,8.21,-,-,-
17,Pretax Income,9.91,43.23,42.41,42.28,29.78,50.69,46.81,38.84,40.58,56.86,34.99,44.93,38.91,42.69,36.2,44.39,47.41,52.21,23.9,11.92
18,Income Tax Expense,-4.93,7.72,4.16,3.89,2.64,7.08,5.02,4,6.21,8.13,4.58,5.82,3.95,4.9,4.33,6.25,6.98,6.78,3.51,1.14
19,Net Income,14.84,35.51,38.25,38.39,27.14,43.61,41.79,34.84,34.37,48.73,30.41,39.11,34.95,37.79,31.88,38.14,40.42,45.43,20.38,10.78
20,Net Income to Common,14.84,35.51,38.25,38.39,27.14,43.61,41.79,34.84,34.37,48.73,30.41,39.11,34.95,37.79,31.88,38.14,40.42,45.43,20.38,10.78
