,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3054,2703,2754,2504,2928,4327,4202,3810,5121,3797,3926,4944,5602,7186,6608,8946,-,-,-,-,-
1,Market Cap Growth,-37.53%,-37.53%,-34.46%,-34.28%,-42.82%,13.94%,7.05%,-22.95%,-8.59%,-47.15%,-40.59%,-44.73%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2415,2063,2159,1873,2204,3602,3444,2877,4145,2822,2999,3995,4721,6305,5780,8401,-,-,-,-,-
3,Last Close Price,7.74,6.85,6.98,6.33,7.17,10.59,10.29,9.32,12.16,9.02,9.32,11.74,13.12,16.83,15.48,20.96,-,-,-,-,-
4,PE Ratio,24.19,21.28,19.77,16.99,19.40,29.36,27.18,23.85,34.52,24.88,25.62,34.76,38.98,50.34,44.58,57.40,-,-,-,-,-
5,PS Ratio,7.04,6.20,6.21,5.54,6.42,9.72,9.33,8.26,11.50,8.16,8.26,10.81,11.88,15.26,13.83,17.76,-,-,-,-,-
6,PB Ratio,2.18,1.93,1.97,1.83,2.12,3.12,3.09,2.89,3.62,2.75,2.92,3.84,4.24,5.62,5.31,7.42,-,-,-,-,-
7,P/TBV Ratio,2.25,2.25,2.29,2.13,2.45,3.60,3.52,3.31,4.10,3.13,3.34,4.42,4.86,6.47,6.14,8.62,-,-,-,-,-
8,P/FCF Ratio,-,-,80.71,-59.12,-,-,-,-,-,-,26.03,31.84,39.92,61.78,53.50,79.27,-,-,-,-,-
