,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,356.68,394.78,505.25,448.66,353.39,354.99,247.05,342.14,349.58,368.68,338.87,311.63,176.21,406.92,271.88,224.82,-,94.43,-
1,Trading Asset Securities,-,533,453,373,470,535,491.7,705,643,639,577,633,613,721,448,303,328.57,-,407,-
2,Cash & Short-Term Investments,889.68,889.68,847.78,878.25,918.66,888.39,846.69,952.05,985.14,988.58,945.68,971.87,924.63,897.21,854.92,574.88,553.39,-,501.43,583.16
3,Cash Growth,-3.16%,0.14%,0.13%,-7.75%,-6.75%,-10.13%,-10.47%,-2.04%,6.54%,10.18%,10.62%,69.06%,67.08%,-,70.50%,-1.42%,-,-,-,-
4,Accounts Receivable,-,24.63,24.55,22.03,25.29,29.69,28.37,31.49,34.06,32.18,31.47,33.07,35.13,33.76,36.53,36.32,31.28,-,23,-
5,Other Receivables,-,4.66,6.06,6.19,6.48,6.5,3.08,3.04,2.94,3.35,3.11,3.23,3.21,3.79,3.25,3.8,3.25,-,2.89,-
6,Receivables,-,29.29,30.6,28.22,31.77,36.2,31.45,34.53,37.01,35.53,34.58,36.31,38.34,37.56,39.78,40.12,34.52,-,25.89,-
7,Inventory,-,111.09,111.02,111.76,110.61,111.41,112.91,113.38,112.56,121.25,119.82,116.59,122.36,121.59,117.21,107.31,98.67,-,93.29,-
8,Other Current Assets,-,30.68,31.58,30.72,41.59,58.79,49.71,37.79,30.55,16.69,13.3,8.72,5.96,6.66,6.26,23.06,15.75,-,13.04,-
9,Total Current Assets,-,1061,1021,1049,1103,1095,1041,1138,1165,1162,1113,1133,1091,1063,1018,745.37,702.34,-,633.65,-
10,"Property, Plant & Equipment",-,481.64,523.1,539.13,495.01,410.93,356.11,230.87,223.44,159.09,157.58,154.42,157.85,157.07,157.41,156.16,125.54,-,116.98,-
11,Goodwill,-,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,153.76,-,153.76,-
12,Other Intangible Assets,-,44.7,39.38,33.01,34.24,13.54,13.65,13.81,13.97,14.12,13.96,13.83,13.75,13.9,14.04,14.09,14.07,-,14.35,-
13,Long-Term Deferred Tax Assets,-,25.28,27.78,25.05,22.08,19.78,19.03,17.38,15.17,14.85,13.32,12.26,10.7,8.24,6.26,4.9,4.02,-,3.78,-
14,Long-Term Deferred Charges,-,72.51,42.77,19.41,12.84,32.51,27.37,23.45,19.59,14.9,10.78,2.95,3.55,4.5,5.19,6.18,7.1,-,6.18,-
15,Other Long-Term Assets,-,0,-,-,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Total Assets,-,1839,1808,1819,1821,1725,1611,1577,1591,1519,1463,1471,1431,1400,1355,1080,1007,-,928.69,-
17,Accounts Payable,-,82.91,88.68,86.93,90.24,91.76,104.83,36.73,67.75,28.23,34.73,22.54,22.03,28.81,32.91,29.41,32.04,-,22.35,-
18,Accrued Expenses,-,18.53,20.96,12.76,22.22,18.88,19.4,10.51,38.88,21.55,32.09,12.65,24.13,18.77,16.78,13.68,15.26,-,13.31,-
19,Current Portion of Leases,-,5.21,5.97,5.45,6.66,1.61,3.85,8.05,10.9,8.97,11.28,11.49,11.39,-,-,-,-,-,-,-
20,Current Income Taxes Payable,-,11.5,8.03,17.12,9.61,16.59,8.29,24.51,16.48,34.73,9.72,19.72,9.28,11.12,4.53,11.17,6.5,-,2.38,-
21,Current Unearned Revenue,-,10.18,5.69,6.95,6.91,6.01,4.64,4.01,4.58,3,4.23,3.05,3.57,5.17,2.68,3.96,5.4,-,12.48,-
22,Other Current Liabilities,-,55.72,57.11,55.06,58.5,55.88,55.62,54.79,58.67,58.86,58.57,51.8,51.16,59.08,48.24,51.9,45.53,-,64.39,-
23,Total Current Liabilities,-,184.05,186.43,184.27,194.13,190.72,196.63,138.61,197.25,155.34,150.61,121.25,121.56,122.95,105.13,110.13,104.73,-,114.91,-
24,Long-Term Debt,-,220.36,220.38,218.16,196.67,161.96,83.97,10,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Leases,-,24.55,26.18,23.96,31.28,0.36,0.76,1.59,1.57,4.13,7.3,10.59,13.22,16.47,26.79,29.3,-,-,-,-
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,-,5.01,-
27,Long-Term Deferred Tax Liabilities,-,8.28,8.89,9.54,9.68,10.62,11.25,11.41,11.77,12.09,12.35,12.55,12.46,12.35,11.97,10.54,9.73,-,7.64,-
