,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+18 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+18 Quarters
0,Market Capitalization,420765,396721,396721,528962,553005,661202,589071,480874,769409,764016,1056387,1143213,759751,490285,524333,442619,245643,224095,224095,857720,1317960,Upgrade
1,Market Cap Growth,-40.00%,-40.00%,-32.65%,10.00%,-28.13%,-13.46%,-44.24%,-57.94%,1.27%,55.83%,101.47%,158.28%,209.29%,118.78%,133.98%,-48.40%,-81.36%,-14.98%,30.63%,412.50%,1083.26%,Upgrade
2,Enterprise Value,404497,435659,358197,501991,511665,649511,468961,300180,638662,620922,948338,1117179,727370,497140,525787,444073,239309,235585,266840,900465,1307308,Upgrade
3,Last Close Price,3500.00,3300.00,3300.00,4400.00,4600.00,5500.00,4900.00,4000.00,6400.00,6355.14,13644.86,14766.36,9813.08,6221.89,6653.96,5616.98,4925.66,4493.59,4493.59,17199.12,26427.92,Upgrade
4,PE Ratio,15.02,-13.03,-8.46,-,16.45,11.29,7.28,4.75,5.97,6.41,10.09,13.94,25.24,30.53,30.09,15.42,5.91,5.10,6.77,40.63,119.32,Upgrade
5,PS Ratio,1.35,0.90,0.80,0.97,0.77,0.70,0.52,0.40,0.63,0.68,1.20,1.29,0.92,0.72,0.70,0.62,0.33,0.28,0.32,1.29,2.55,Upgrade
6,PB Ratio,0.33,0.31,0.31,0.42,0.42,0.50,0.45,0.36,0.58,0.60,1.26,1.40,1.00,0.66,0.71,0.60,0.51,0.47,0.48,1.88,2.74,Upgrade
7,P/TBV Ratio,0.32,0.32,0.31,0.42,0.42,0.50,0.45,0.37,0.58,0.60,1.26,1.40,1.00,0.66,0.71,0.60,0.51,0.47,0.48,1.88,2.99,Upgrade
8,P/FCF Ratio,11.45,3.97,-,-,-,10.01,-1.61,-1.38,-2.73,-,6.07,8.26,-,-2.87,-,-,-,6.74,-,147.43,-,Upgrade
