,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,307.84,155.99,159.58,247.3,341.09,193.61,165.54,284.1,317.47,192.29,176.75,252.2,328.27,173.43,171.62,256.67,315.4,153.84,158.47
1,Other Revenue,-4.46,4.46,-,5.15,-2.32,2.32,-,7.94,-3.83,3.83,-,7.51,-3.79,3.79,-,7.04,-3.14,3.14,-
2,Revenue,303.39,160.45,159.58,252.45,338.77,195.93,165.54,292.04,313.64,196.12,176.75,259.71,324.48,177.22,171.62,263.71,312.27,156.97,158.47
3,Revenue Growth (YoY),-10.45%,-18.11%,-3.60%,-13.56%,8.01%,-0.10%,-6.34%,12.45%,-3.34%,10.66%,2.99%,-1.51%,3.91%,12.90%,8.29%,-,-,-,-
4,Cost of Revenue,251.45,128.09,121.53,205.47,254.65,150.68,135.39,231.38,246.97,157.33,138.63,220.92,246.73,133.71,125.39,183.97,227.71,119.78,119.75
5,Gross Profit,51.93,32.36,38.05,46.98,84.12,45.25,30.15,60.67,66.67,38.79,38.11,38.8,77.75,43.51,46.23,79.74,84.55,37.19,38.73
6,"Selling, General & Admin",10.72,11.82,10.36,20.66,8.66,9.36,8.13,11.79,9.68,11.75,9.35,-0.43,17.39,13.2,12.12,20.78,15.05,12.27,10.67
7,Research & Development,16.65,16.42,12.17,15.53,18.49,15.4,10.17,16.33,15.83,14.76,10.19,15.57,13.16,8.95,7.32,10.5,9.57,7.76,7.39
8,Other Operating Expenses,4.11,14.57,-8.22,8.84,0.49,-0.51,0.63,8.12,0.33,-4.88,0.12,4.43,-0.36,0.53,0.8,7.7,-2.12,-1.94,2.23
9,Operating Expenses,35.88,43.37,14.07,43.31,32.71,25.71,15.33,34.05,31.72,22.6,20.05,15.35,36.08,23.77,20.23,36.86,24.32,19.3,20.29
10,Operating Income,16.05,-11.01,23.98,3.67,51.41,19.54,14.82,26.62,34.95,16.18,18.06,23.45,41.67,19.74,25.99,42.88,60.23,17.9,18.44
11,Interest Expense,-0.25,-0.19,-0.42,-3.4,-3.27,-0.28,-0.37,-0.11,-0.07,-0.09,-0.09,-0.1,-0.1,-0.17,-0.06,-0.18,-,-0.2,-
12,Interest & Investment Income,0.52,1.91,1.18,2.44,5.64,0.69,0.85,1.69,1.55,3.95,3.28,2.96,4.02,2.39,0.8,0.57,0.57,1.22,1.13
13,Currency Exchange Gain (Loss),-5.55,5.55,-,4.57,-5.28,5.28,-,16.43,-7.44,7.44,-,-6.37,1.87,-1.87,-,-15.71,-0.89,0.89,-
14,Other Non Operating Income (Expenses),2,-1.63,1.95,-5.02,3.03,3.67,-3.81,-23.09,22,0.66,-0.96,-1.56,-0.07,1.38,-0.52,7.17,-6.18,2.41,-0.37
