,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,76.22,80.65,267.27,332.65,217.34,142.04,208.85,236.21,193.22,314.83,383.8,380.08,256.93,171.84,644.13,275.2,-,-,-
1,Short-Term Investments,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,6.15,18.96,50,24,109,242,215,314.99,-,-,-,-,-
3,Cash & Short-Term Investments,76.22,120.65,267.27,332.65,217.34,142.04,215,255.17,243.22,338.83,492.8,622.08,471.93,486.83,644.13,275.2,-,-,150.82
4,Cash Growth,-64.93%,-15.06%,24.31%,30.36%,-10.64%,-58.08%,-56.37%,-58.98%,-48.46%,-30.40%,-23.49%,126.05%,-,-,327.09%,-,-,-,-
5,Accounts Receivable,249.08,160.14,165.87,153.03,255.87,158.27,141.4,160.45,243.19,138.57,127.9,116.08,223.24,105.75,92.99,85.59,-,-,-
6,Other Receivables,25.45,26.53,22.25,36.92,8.67,8.49,8.21,14.24,16.05,14.16,8.59,11.01,13.86,8.12,6.17,11.62,-,-,-
7,Receivables,274.53,186.66,188.12,189.94,264.54,166.77,149.61,174.69,259.24,152.73,136.48,127.09,237.11,113.87,99.16,97.21,-,-,-
8,Inventory,232.92,289.37,220.19,203.96,202.9,234.43,195.5,194.92,202.48,242.4,187.43,165.71,172.7,218.55,134.95,138.18,-,-,-
9,Other Current Assets,49.12,28.15,24.24,23.95,20.1,54.76,48.77,54.2,18.06,19.77,16.04,23.66,42.2,45.64,16.7,27.08,-,-,-
10,Total Current Assets,632.78,624.83,699.82,750.5,704.89,597.99,608.88,678.97,723,753.73,832.75,938.55,923.94,864.88,894.93,537.67,-,-,-
11,"Property, Plant & Equipment",1272,1237,1224,1284,1258,1205,1124,1009,816.4,750.96,623.38,495.04,418.95,335,268.68,229.24,-,-,-
12,Long-Term Investments,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,9.78,-,-,-
13,Other Intangible Assets,41.62,42.21,42.8,47.51,47.28,47.89,48.49,49.1,49.71,50.32,50.93,51.65,51.83,52.98,53.71,51.65,-,-,-
14,Long-Term Deferred Tax Assets,33.05,31.58,31.43,31.39,15.73,14.85,13.75,14.36,3.5,2.53,2.38,2.15,2.89,2.16,1.87,1.9,-,-,-
15,Long-Term Deferred Charges,3.6,3.99,4.39,4.79,3.61,3.91,4.2,4.49,4.79,4.69,4.36,4.57,3.5,3.72,3.77,4.06,-,-,-
16,Other Long-Term Assets,129.64,134.15,133.24,17.09,59.39,62.57,87.95,126.41,26.12,4.06,3.77,4.17,4.56,12.1,5.48,4.55,-,-,-
17,Total Assets,2122,2083,2145,2145,2099,1942,1897,1892,1633,1576,1527,1506,1415,1281,1238,838.85,-,-,-
18,Accounts Payable,162.75,131.59,129.25,173.94,169.92,156.98,164.02,241.88,161.54,161.4,146.17,178.13,122.32,117.06,94.52,121.43,-,-,-
19,Accrued Expenses,18.55,22.15,14.3,33.54,18.23,16.55,13.18,23.39,18.75,16.77,12.91,23.92,17.8,16.61,14.64,24,-,-,-
20,Short-Term Debt,12,11.01,11.01,11.01,11,-,-,-,-,-,-,-,-,-,0.1,0.1,-,-,-
21,Current Portion of Long-Term Debt,109.29,108.95,109.04,124.89,126.68,102.35,-,22.49,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,0.47,-,0.62,-,0.51,79.19,0.68,17.87,1.37,1.77,1.63,2.15,2.18,-,-,-,-,-
23,Current Income Taxes Payable,8.54,-,6.09,2.69,5.82,1.21,4.58,3.42,5.17,3.25,5.37,2.74,6.75,1.88,8.79,7.33,-,-,-
24,Current Unearned Revenue,17.77,31.21,24.9,17.29,19.04,22.94,20.14,19.64,16.75,19.1,16.13,12.32,18.51,28.93,25.83,20.47,-,-,-
25,Other Current Liabilities,50.56,56.65,52.61,69.36,74.05,74.74,69.74,73.84,15.8,10.84,11.53,13.05,21.69,14.03,39.53,8.7,-,-,-
26,Total Current Liabilities,379.45,362.03,347.19,433.36,424.75,375.27,350.84,385.33,235.88,212.72,193.88,231.78,189.23,180.69,183.39,182.02,-,-,-
