,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3787,1740,1758,1850,2398,2388,2284,2366,2112,2136,1871,1995,2490,2200,2830,-,-,-,-,-
1,Market Cap Growth,-27.14%,-27.14%,-23.01%,-21.81%,13.52%,11.77%,22.08%,18.62%,-15.18%,-2.91%,-33.89%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4166,2073,1976,2066,2613,2586,2353,2291,2036,1965,1529,1610,2105,1716,2186,-,-,-,-,-
3,Last Close Price,26.30,12.08,12.21,12.46,16.15,16.08,15.38,15.60,13.92,14.08,12.33,13.05,16.28,14.39,18.51,-,-,-,-,-
4,PE Ratio,47.64,22.01,16.55,15.49,22.63,16.09,15.82,15.86,13.62,18.97,17.17,19.38,23.15,18.00,22.27,-,-,-,-,-
5,PS Ratio,4.30,1.99,1.93,1.95,2.52,2.41,2.36,2.45,2.16,2.26,1.95,2.13,2.67,2.35,3.06,-,-,-,-,-
6,PB Ratio,2.85,1.31,1.35,1.36,1.80,1.83,1.82,1.84,1.66,1.77,1.61,1.73,2.20,1.98,2.65,-,-,-,-,-
7,P/TBV Ratio,1.35,1.35,1.39,1.41,1.87,1.89,1.89,1.91,1.73,1.85,1.68,1.81,2.30,2.08,2.79,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-26.22,-,-,-,-,-,-,-,-16.87,-,-,-,-,-,-,-
9,P/OCF Ratio,15.93,15.93,-,-,14.19,10.56,-,13.50,14.15,-,-,-,19.76,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.76,2.37,2.17,2.18,2.74,2.61,2.43,2.37,2.08,2.08,1.60,1.72,2.26,1.83,2.36,-,-,-,-,-
11,EV/EBITDA Ratio,63.03,30.67,19.36,16.21,22.26,18.54,19.18,19.18,16.65,16.54,12.14,12.48,15.32,10.91,12.42,-,-,-,-,-
12,EV/EBIT Ratio,135.36,63.40,-,20.96,29.22,23.01,24.52,24.74,21.25,21.21,15.39,15.64,18.99,13.17,14.69,-,-,-,-,-
13,EV/FCF Ratio,-48.62,-,-,-,-28.58,-,-,-,-,-,-,-,-14.26,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.34,0.34,0.35,0.36,0.33,0.33,0.27,0.22,0.16,0.14,0.14,0.13,0.10,0.08,0.00,0.00,0.00,-,-,0.02
15,Debt / EBITDA Ratio,6.88,4.78,90.33,3.82,8.38,1.86,3.13,3.27,1.37,1.01,1.72,1.54,0.85,0.45,0.03,0.00,0.00,-,-,0.10
16,Debt / FCF Ratio,-,-,-,-,-4.82,-,-,-,-,-,-,-,-0.75,-,-,-,0.00,-,-,1.47
17,Asset Turnover,0.58,0.30,0.30,0.48,0.67,0.41,0.35,0.66,0.78,0.51,0.47,0.71,0.96,0.56,0.66,-,-,-,-,
18,Inventory Turnover,3.24,3.85,2.01,2.29,4.04,4.66,2.80,2.77,4.66,4.44,2.93,3.14,5.22,5.05,3.03,3.67,-,-,-,-
19,Quick Ratio,0.92,0.92,0.85,1.31,1.21,1.13,0.82,1.04,1.12,2.13,2.31,3.25,3.23,3.75,3.32,4.05,2.05,-,-,-
20,Current Ratio,1.67,1.67,1.73,2.02,1.73,1.66,1.59,1.74,1.76,3.07,3.54,4.30,4.05,4.88,4.79,4.88,2.95,-,-,-
21,Return on Equity (ROE),6.82%,2.21%,7.84%,6.95%,15.50%,6.46%,4.01%,21.07%,15.45%,8.78%,6.52%,8.17%,15.47%,7.31%,10.95%,-,-,-,-,
22,Return on Assets (ROA),1.91%,-1.30%,2.79%,0.43%,6.36%,2.54%,1.96%,3.78%,5.45%,2.61%,2.98%,4.01%,7.73%,3.92%,6.26%,-,-,-,-,
23,Return on Capital (ROIC),2.26%,-1.53%,3.32%,0.52%,7.70%,3.08%,2.44%,4.68%,6.46%,3.08%,3.55%,4.81%,9.19%,4.66%,7.65%,-,-,-,-,
24,Return on Capital Employed (ROCE),1.77%,1.88%,-,5.48%,5.22%,6.71%,6.12%,5.99%,6.36%,6.63%,7.29%,7.72%,8.70%,10.62%,13.53%,13.94%,21.23%,-,-,-
25,Earnings Yield,2.09%,4.54%,6.04%,6.46%,4.42%,6.21%,6.32%,6.31%,7.34%,5.27%,5.83%,5.16%,4.32%,5.55%,4.49%,-,-,-,-,-
26,FCF Yield,-2.26%,-4.93%,-2.75%,-4.05%,-3.81%,-12.77%,-16.93%,-19.75%,-24.34%,-14.37%,-16.51%,-13.87%,-5.93%,-6.56%,-0.53%,-,-,-,-,-
27,Dividend Yield,1.55%,-,-,-,2.48%,-,-,-,2.39%,-,-,-,0.64%,-,-,-,-,-,-,-
28,Payout Ratio,104.58%,19.45%,905.66%,1.69%,49.58%,2.65%,232.69%,2.29%,9.73%,1.18%,56.87%,2.22%,-,-,0.01%,0.00%,0.00%,0.00%,0.06%,0.62%
29,Buyback Yield / Dilution,0.71%,0.01%,4.41%,-4.72%,2.86%,-0.00%,-0.91%,0.95%,-1.48%,-33.29%,-3.08%,2.98%,-31.25%,-0.09%,-33.17%,-33.40%,-,-,-,-
30,Total Shareholder Return,2.26%,0.01%,4.41%,-4.72%,5.33%,-0.00%,-0.91%,0.95%,0.92%,-33.29%,-3.08%,2.98%,-30.61%,-0.09%,-33.17%,-33.40%,-,-,-,-
