,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,368,572,273,460,223,248,189,288,290,493,615,Upgrade
1,Market Cap Growth,24.42%,24.42%,22.78%,85.23%,17.91%,-13.73%,-34.95%,-41.71%,-52.75%,24.11%,-12.80%,Upgrade
2,Enterprise Value,1153,681,499,682,437,471,408,505,507,706,822,Upgrade
3,Last Close Price,0.06,0.09,0.10,0.16,0.08,0.09,0.07,0.10,0.10,0.17,0.22,Upgrade
4,PE Ratio,21.75,64.49,108.99,-,-,195.19,-,-18.08,-,-,-61456.43,Upgrade
5,PS Ratio,3.16,9.38,7.15,11.76,5.59,6.01,5.00,10.41,16.87,35.87,45.67,Upgrade
6,PB Ratio,0.75,1.17,2.06,3.57,1.70,1.37,1.05,1.65,1.67,2.59,3.12,Upgrade
7,P/TBV Ratio,1.17,1.17,2.06,3.57,1.70,1.37,1.05,1.65,1.67,2.59,3.12,Upgrade
8,P/FCF Ratio,10.53,-,5.60,-,-,31.60,-,112.28,152.26,157.87,-48.59,Upgrade
9,P/OCF Ratio,16.19,-,5.56,-,-,29.95,-,93.27,126.03,145.23,-51.19,Upgrade
10,EV/Sales Ratio,18.91,11.18,13.03,17.45,10.97,11.42,10.80,18.29,29.43,51.36,61.11,Upgrade
11,EV/EBITDA Ratio,31.34,19.09,57.93,-1651.72,-,68.94,107.39,-506.68,-,-,-,Upgrade
12,EV/EBIT Ratio,63.51,37.54,60.72,-872.33,-,75.54,134.36,-294.72,-,-,-,Upgrade
13,EV/FCF Ratio,32.94,-,10.21,-,-,60.04,-,197.25,265.70,226.05,-65.02,Upgrade
14,Debt / Equity Ratio,1.66,1.66,1.21,1.79,1.74,1.24,1.28,1.29,1.27,1.14,1.09,Upgrade
15,Debt / FCF Ratio,23.20,-,3.29,-,-,28.70,-,87.78,115.54,69.71,-16.98,Upgrade
16,Return on Capital Employed (ROCE),1.67%,1.67%,3.91%,-0.60%,-,3.44%,1.69%,-0.98%,-,-,-,Upgrade
17,Earnings Yield,2.41%,1.55%,0.92%,-11.28%,-21.11%,0.51%,-0.17%,-5.53%,-7.91%,0.17%,-0.00%,Upgrade
18,FCF Yield,9.50%,6.12%,17.86%,-0.48%,3.73%,3.16%,-0.14%,0.89%,0.66%,0.63%,-2.06%,Upgrade
19,Buyback Yield / Dilution,-17.92%,-35.83%,-,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-17.92%,-35.83%,-,-,-,-,-,-,-,-,-,Upgrade
