,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,1.39,10.48,10.31,25.04,23.41,10.6,14.57,10.93,14.29,91.62,Upgrade
1,Revenue Growth (YoY),-86.50%,-58.16%,-55.96%,136.22%,60.72%,-3.05%,1.92%,-88.07%,-28.82%,210.68%,Upgrade
2,Cost of Revenue,0.62,9.74,9.61,24.27,23.25,10.58,13.9,20.85,13.18,141.91,Upgrade
3,Gross Profit,0.78,0.74,0.7,0.77,0.17,0.02,0.67,-9.92,1.12,-50.29,Upgrade
4,"Selling, General & Admin",3.67,2.17,4.15,5.47,5.07,3.6,2.06,2.95,4.23,8.82,Upgrade
5,Other Operating Expenses,-0,-0,-0,0.04,-0.04,-0.26,-,-2.01,-,-2.3,Upgrade
6,Operating Expenses,3.67,2.12,4.14,5.41,5,3.33,2.06,1.15,4.23,6.52,Upgrade
7,Operating Income,-2.89,-1.38,-3.44,-4.64,-4.84,-3.31,-1.38,-11.06,-3.11,-56.81,Upgrade
8,Interest Expense,-0.06,-0.07,-0.09,-0.04,-0.01,-0.01,-0.02,-0.01,-0.01,-,Upgrade
9,Interest & Investment Income,1.64,1.63,1.63,1.58,1.59,1.55,1.48,1.25,1.31,0.99,Upgrade
10,Other Non Operating Income (Expenses),-,-79.4,-,-,-,-,-,-0.03,0.03,-1.74,Upgrade
11,EBT Excluding Unusual Items,-1.31,-79.21,-1.89,-3.09,-3.25,-1.77,0.07,-9.85,-1.78,-57.55,Upgrade
12,Impairment of Goodwill,-,-71.04,-,-1.95,-,-,-,-,-,-20.18,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.01,0.33,-,Upgrade
14,Other Unusual Items,-,-,-,0.02,-,-,-,-,-,-,Upgrade
15,Pretax Income,-1.31,-150.25,-1.89,-5.02,-3.25,-1.77,0.07,-9.84,-1.45,-77.73,Upgrade
16,Income Tax Expense,0.53,-17.73,0.03,-0.94,-,-4.8,-4.67,-0.38,0.21,-13.45,Upgrade
17,Earnings From Continuing Operations,-1.84,-132.52,-1.92,-4.08,-3.25,3.03,4.74,-9.46,-1.67,-64.28,Upgrade
18,Net Income to Company,-1.84,-132.52,-1.92,-4.08,-3.25,3.03,4.74,-9.46,-1.67,-64.28,Upgrade
19,Net Income,-1.84,-132.52,-1.92,-4.08,-3.25,3.03,4.74,-9.46,-1.67,-64.28,Upgrade
20,Net Income to Common,-1.84,-132.52,-1.92,-4.08,-3.25,3.03,4.74,-9.46,-1.67,-64.28,Upgrade
21,Shares Outstanding (Basic),1409,1409,1409,1409,1409,1409,1409,1409,1409,1409,Upgrade
22,Shares Outstanding (Diluted),1409,1409,1409,1409,1409,2424,1409,1409,1409,1409,Upgrade
23,Shares Change (YoY),-,-,-,-41.88%,-,72.05%,-,-0.00%,0.00%,0.00%,Upgrade
24,EPS (Basic),-0.00,-0.09,-0.00,-0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.05,Upgrade
25,EPS (Diluted),-0.00,-0.09,-0.00,-0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.05,Upgrade
26,Free Cash Flow,-8.6,-2.65,0.13,-1.41,-1.61,0.29,2.4,-1.39,-0.93,13.76,Upgrade
27,Free Cash Flow Per Share,-0.01,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.01,Upgrade
28,Operating Margin,-207.76%,-13.14%,-33.34%,-18.54%,-20.65%,-31.23%,-9.49%,-101.19%,-21.76%,-62.00%,Upgrade
29,Profit Margin,-132.11%,-1264.74%,-18.65%,-16.29%,-13.89%,28.58%,32.50%,-86.49%,-11.65%,-70.16%,Upgrade
30,Free Cash Flow Margin,-617.53%,-25.24%,1.21%,-5.63%,-6.89%,2.71%,16.50%,-12.70%,-6.53%,15.02%,Upgrade
31,EBITDA,-2.89,-1.38,-3.44,-4.63,-4.82,-3.29,-1.38,-11.06,-3.1,-56.79,Upgrade
32,D&A For EBITDA,0,-,0,0.01,0.01,0.03,0,0,0.02,0.02,Upgrade
33,EBIT,-2.89,-1.38,-3.44,-4.64,-4.84,-3.31,-1.38,-11.06,-3.11,-56.81,Upgrade
