,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,4028,3299,2902,3553,3846,3968,4020,3766,3505,3762,3692,3934,3705,3889,3698,4099,4679,4539,3985,5678,9567,Upgrade
1,Market Cap Growth,-16.85%,-16.85%,-27.80%,-5.65%,9.72%,5.47%,8.89%,-4.27%,-5.38%,-3.27%,-0.17%,-4.04%,-20.82%,-14.31%,-7.19%,-27.80%,-51.10%,-34.95%,-29.58%,11.08%,86.71%,Upgrade
2,Enterprise Value,4605,3320,2740,3637,3930,3898,3950,4013,3752,4002,3908,4150,4026,4169,3988,4389,4950,4805,4130,5824,9505,Upgrade
3,Last Close Price,6.19,5.07,4.46,5.30,5.74,5.92,5.99,5.52,5.14,5.64,5.47,5.82,5.48,5.76,5.39,5.98,6.82,6.62,5.76,8.20,13.82,Upgrade
4,PE Ratio,13.48,11.18,8.77,9.36,9.58,9.76,10.09,9.62,8.95,16.06,16.07,19.26,-,12.51,10.00,11.21,14.02,13.38,13.37,19.22,33.82,Upgrade
5,Forward PE,-,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,24.67,Upgrade
6,PS Ratio,1.57,1.31,1.09,1.28,1.45,1.40,1.51,1.59,1.24,2.00,1.94,2.14,-,1.83,1.65,1.79,1.98,1.92,1.77,2.48,4.17,Upgrade
7,PB Ratio,1.09,0.84,0.78,0.94,1.03,1.11,-,1.09,1.04,1.18,1.16,1.26,-,1.18,1.13,1.27,1.52,1.52,1.38,2.00,3.50,Upgrade
8,P/TBV Ratio,0.99,0.99,0.84,1.01,1.11,1.20,-,1.17,1.12,1.35,1.33,1.46,-,1.39,1.33,1.50,1.79,1.79,1.62,2.36,4.14,Upgrade
9,P/FCF Ratio,129.72,-,-,-,19.72,45.87,19.08,-,9.43,13.07,14.41,85.36,-,24.49,-,17.98,39.57,44.13,-,57.17,-,Upgrade
10,P/OCF Ratio,15.73,-,8.63,9.59,11.97,20.65,14.71,-,7.88,10.99,11.57,24.70,-,15.18,-,13.35,-,20.17,-,29.12,-,Upgrade
11,EV/Sales Ratio,1.82,1.31,1.03,1.31,1.48,1.37,1.48,1.69,1.33,2.13,2.06,2.25,-,1.96,1.77,1.92,2.09,2.03,1.84,2.54,4.15,Upgrade
12,EV/EBITDA Ratio,11.36,8.55,6.09,7.93,7.92,7.51,8.91,8.36,7.50,11.17,9.55,10.66,-,7.10,6.44,7.32,9.34,9.13,8.65,12.23,21.08,Upgrade
