,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Operating Revenue,632.48,562.69,575.98,726.8,765.12,668.5,465.28,919.3,569.71,390.78,899.04,-,587.5,334.34,622.04,576.54,703.85,374.28,702.41,579.62,Upgrade
1,Other Revenue,-12.08,12.08,-,30.25,-15.41,15.41,-,24.29,-,-,21.02,-,-,-,10.53,-2.72,2.72,-,6.47,-,Upgrade
2,Revenue,620.4,574.76,575.98,757.05,749.72,683.9,465.28,943.59,569.71,390.78,920.05,-,587.5,334.34,632.57,573.82,706.57,374.28,708.89,579.62,Upgrade
3,Revenue Growth (YoY),-17.25%,-15.96%,23.79%,-19.77%,31.60%,75.01%,-49.43%,-,-3.03%,16.88%,45.45%,-,-16.85%,-10.67%,-10.77%,-1.00%,21.20%,-10.24%,-0.52%,23.93%,Upgrade
4,Cost of Revenue,348.17,351.34,335.63,463.49,381.5,397.94,245.73,528.22,328.07,192.79,541.1,-,333.92,157.45,254.35,340.25,383.16,241.41,362.37,329.33,Upgrade
5,Gross Profit,272.24,223.42,240.35,293.56,368.22,285.96,219.56,415.37,241.64,197.99,378.96,-,253.58,176.88,378.22,233.57,323.41,132.88,346.51,250.29,Upgrade
6,"Selling, General & Admin",143.15,135.12,130.48,177.37,196.44,165.02,129.72,174.61,127.76,100.93,160.77,-,112.71,94.75,143.71,107.84,131.23,71.24,179.98,108.97,Upgrade
7,Research & Development,32.35,28.47,28.66,46.59,29.24,34.87,29.08,38.47,25.52,34.04,52.14,-,19.95,17.14,24.8,23.31,20.82,19.79,28.07,21.85,Upgrade
8,Other Operating Expenses,-3.48,2.18,-9.17,-8.38,-3.85,-1.9,-9.46,2.01,-0.62,-2.5,3.59,-,1.29,-3.23,11.71,-11.13,2.65,-7.06,-10.67,0.92,Upgrade
9,Operating Expenses,192.23,180.07,172.1,201.82,224.3,236.09,111.15,298.66,173.6,111.54,250.75,-,134.34,108.27,186.35,115.35,167.23,79.51,219.03,134.81,Upgrade
10,Operating Income,80,43.34,68.25,91.74,143.92,49.87,108.41,116.7,68.04,86.46,128.21,-,119.25,68.62,191.87,118.22,156.18,53.36,127.48,115.48,Upgrade
11,Interest Expense,-8.74,-8.89,-6.61,-5.98,-5.83,-5.63,-5.09,-6.79,-,-7.78,-14.07,-,-0.64,-4.75,-16.14,-3.82,-6.34,-3.39,-14.16,-4.89,Upgrade
12,Interest & Investment Income,2.86,2.59,2.33,57.88,-,7.58,1.67,59.01,7.98,2.06,1.3,-,4.75,2.71,7.17,4.39,8.14,0.4,1.87,2.16,Upgrade
13,Currency Exchange Gain (Loss),0,-0,-,-0,-0.01,0.01,-,0.13,-,-,-0.15,-,-,-,-0.19,-0.02,0.02,-,-0.02,-,Upgrade
14,Other Non Operating Income (Expenses),14.67,-17.17,13.2,-20.14,-1.53,19.75,1.4,-29.97,12.98,12.3,-29.68,-,-20.46,12.8,-34.68,25.45,-1.34,16.2,-19.24,1.53,Upgrade
15,EBT Excluding Unusual Items,88.8,19.87,77.17,123.5,136.55,71.57,106.38,139.08,89,93.04,85.6,-,102.9,79.36,148.03,144.22,156.65,66.58,95.93,114.28,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-19.55,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Investments,-0.12,-3.63,-9.63,5.84,0.03,0.76,-1.37,-,-,-,-,-,-,-,0,-0.01,0.01,0,-0.1,-,Upgrade
18,Gain (Loss) on Sale of Assets,0.38,-0.56,0.45,1.58,-0.08,0.05,0.01,5.61,-0.04,0.15,-1.18,-,0.25,-0.18,-0.57,0.89,-1.5,-0.16,-7.1,-0.47,Upgrade
19,Asset Writedown,-31.03,1.82,-1.82,30.16,-44.15,2.88,-2.88,17.95,-8.44,-1.12,13.8,-,-8.52,-5.38,17.06,-20.21,3.3,-3.3,9.91,-0.27,Upgrade
20,Other Unusual Items,-13.26,13.26,-,20.31,-1.7,1.7,-,50.46,-,-,29.02,-,-,-,27.71,-25.15,8.89,-,24.92,-,Upgrade
21,Pretax Income,44.77,30.76,66.16,181.39,90.65,76.97,102.14,193.55,80.52,92.07,127.24,-,94.63,73.81,192.24,99.73,167.36,63.12,123.56,113.54,Upgrade
22,Income Tax Expense,4.56,5.46,24.78,40.24,11.51,7.91,14.67,20.22,14.55,14.3,31.32,-,17.27,10.35,39.18,13.32,26.82,9.23,19.67,19.29,Upgrade
23,Earnings From Continuing Operations,40.21,25.3,41.38,141.15,79.14,69.07,87.47,173.33,65.97,77.77,95.92,-,77.36,63.45,153.06,86.41,140.54,53.89,103.89,94.25,Upgrade
24,Minority Interest in Earnings,4,12.72,19.19,11.24,0.88,17.6,-4.94,-16.09,5.93,2.24,-13.57,-,-9.93,-9.03,-44.7,-5.82,-13.91,-3.88,-27.43,-8.26,Upgrade
25,Net Income,44.21,38.02,60.57,152.39,80.02,86.67,82.52,157.24,71.9,80.01,82.35,-,67.43,54.43,108.36,80.6,126.64,50.02,76.46,86,Upgrade
26,Net Income to Common,44.21,38.02,60.57,152.39,80.02,86.67,82.52,157.24,71.9,80.01,82.35,-,67.43,54.43,108.36,80.6,126.64,50.02,76.46,86,Upgrade
27,Net Income Growth,-44.75%,-56.13%,-26.60%,-3.08%,11.30%,8.32%,0.21%,-,6.62%,47.00%,-24.00%,-,-46.75%,8.82%,41.73%,-6.28%,47.90%,5.58%,19.68%,37.22%,Upgrade
28,Shares Outstanding (Basic),633,642,673,624,666,667,635,666,650,615,633,-,678,605,617,668,637,625,637,614,Upgrade
29,Shares Outstanding (Diluted),633,642,673,624,666,667,635,666,650,615,633,-,678,605,617,668,637,625,637,614,Upgrade
30,Shares Change (YoY),-5.00%,-3.77%,6.02%,-6.39%,2.39%,8.32%,0.36%,-,-4.06%,1.77%,2.53%,-,6.50%,-3.27%,-3.13%,8.68%,-0.73%,-7.62%,-0.28%,-4.14%,Upgrade
31,EPS (Basic),0.07,0.06,0.09,0.24,0.12,0.13,0.13,0.24,0.11,0.13,0.13,-,0.10,0.09,0.18,0.12,0.20,0.08,0.12,0.14,Upgrade
32,EPS (Diluted),0.07,0.06,0.09,0.24,0.12,0.13,0.13,0.24,0.11,0.13,0.13,-,0.10,0.09,0.17,0.12,0.20,0.08,0.12,0.14,Upgrade
33,EPS Growth,-41.85%,-54.41%,-30.77%,3.53%,8.70%,0%,-0.16%,-,11.14%,44.44%,-23.93%,-,-50.00%,12.50%,42.57%,-13.76%,48.98%,14.29%,20.02%,43.16%,Upgrade
34,Free Cash Flow,-148.44,-4.94,-7.9,192.33,14.37,37.84,-49.49,83.79,138.59,78.34,70.91,-,107,-131.83,182.44,1.19,119.89,-75.53,72.68,-14.2,Upgrade
35,Free Cash Flow Per Share,-0.23,-0.01,-0.01,0.31,0.02,0.06,-0.08,0.13,0.21,0.13,0.11,-,0.16,-0.22,0.30,0.00,0.19,-0.12,0.11,-0.02,Upgrade
36,Dividend Per Share,-,-,-,0.150,-,-,-,0.100,-,-,0.080,-,-,-,0.090,-,-,-,0.070,-,Upgrade
37,Dividend Growth,-,-,-,50.00%,-,-,-,-,-,-,-11.11%,-,-,-,28.57%,-,-,-,40.00%,-,Upgrade
38,Gross Margin,43.88%,38.87%,41.73%,38.78%,49.11%,41.81%,47.19%,44.02%,42.41%,50.67%,41.19%,-,43.16%,52.91%,59.79%,40.70%,45.77%,35.50%,48.88%,43.18%,Upgrade
39,Operating Margin,12.90%,7.54%,11.85%,12.12%,19.20%,7.29%,23.30%,12.37%,11.94%,22.12%,13.93%,-,20.30%,20.52%,30.33%,20.60%,22.10%,14.26%,17.98%,19.92%,Upgrade
40,Profit Margin,7.13%,6.61%,10.52%,20.13%,10.67%,12.67%,17.74%,16.66%,12.62%,20.47%,8.95%,-,11.48%,16.28%,17.13%,14.05%,17.92%,13.36%,10.79%,14.84%,Upgrade
41,Free Cash Flow Margin,-23.93%,-0.86%,-1.37%,25.40%,1.92%,5.53%,-10.64%,8.88%,24.33%,20.05%,7.71%,-,18.21%,-39.43%,28.84%,0.21%,16.97%,-20.18%,10.25%,-2.45%,Upgrade
42,EBITDA,107.42,66.03,95.67,119.16,168.92,74.75,133.4,141.7,93.63,111.5,153.26,-,144.41,91.67,214.92,136.35,176.57,71.49,145.61,132.42,Upgrade
43,EBITDA Margin,17.31%,11.49%,16.61%,15.74%,22.53%,10.93%,28.67%,15.02%,16.43%,28.53%,16.66%,-,24.58%,27.42%,33.98%,23.76%,24.99%,19.10%,20.54%,22.85%,Upgrade
44,D&A For EBITDA,27.42,22.68,27.42,27.42,24.99,24.88,24.99,24.99,25.59,25.05,25.05,-,25.16,23.05,23.05,18.13,20.39,18.13,18.13,16.94,Upgrade
45,EBIT,80,43.34,68.25,91.74,143.92,49.87,108.41,116.7,68.04,86.46,128.21,-,119.25,68.62,191.87,118.22,156.18,53.36,127.48,115.48,Upgrade
46,EBIT Margin,12.90%,7.54%,11.85%,12.12%,19.20%,7.29%,23.30%,12.37%,11.94%,22.12%,13.93%,-,20.30%,20.52%,30.33%,20.60%,22.10%,14.26%,17.98%,19.92%,Upgrade
47,Effective Tax Rate,10.19%,17.77%,37.46%,22.19%,12.70%,10.27%,14.36%,10.45%,18.07%,15.54%,24.61%,-,18.25%,14.03%,20.38%,13.36%,16.02%,14.62%,15.92%,16.99%,Upgrade
48,Revenue as Reported,620.4,574.76,575.98,757.05,749.72,683.9,465.28,943.59,-,390.78,920.05,-,-,334.34,632.57,573.82,706.57,374.28,708.89,579.62,Upgrade
