,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,4554,4348,4248,3702,5021,3492,4390,1562,6976,3273,4523,2422,2422,1276,2476,1747,1747,1528
1,Other Revenue,-38.06,38.06,-,926.87,-647.13,647.13,-,3051,-1230,1230,-,160.6,160.6,668.89,-,976.16,976.16,-
2,Revenue,4516,4386,4248,4629,4374,4139,4390,4614,5746,4503,4523,2583,2583,1945,2476,2723,2723,1528
3,Revenue Growth (YoY),3.25%,5.97%,-3.23%,0.33%,-23.88%,-8.08%,-2.95%,78.63%,122.47%,131.56%,82.65%,-5.16%,-5.16%,27.28%,-,-,-,-
4,Cost of Revenue,4426,4395,4086,4725,4140,3976,4064,4409,5208,4246,4085,2398,2398,1791,2297,2694,2692,1372
5,Gross Profit,90.12,-8.5,161.67,-96.62,234.3,163.05,325.67,204.39,537.94,257.02,438.35,184.52,184.52,154.07,179.13,29.74,31.64,156.01
6,"Selling, General & Admin",70.48,52.19,53.16,58.34,52.63,45.15,41.6,43.16,54.06,42.64,37.46,30.96,30.96,33.37,30.07,9.68,9.68,-
7,Research & Development,21.93,27.02,13.96,-8.14,18.24,21.05,28.66,5.85,15.54,9.82,8.98,8.67,8.67,3.92,6.07,7.66,7.66,-
8,Other Operating Expenses,-62.76,3.15,6.73,107.22,-16.17,-69.15,-7.55,96.39,-13.18,-76.07,-4.8,25.89,25.89,-11.86,-40.91,-3.19,-3.19,88.21
9,Operating Expenses,20.56,78.8,89.16,169.12,48.03,-9.73,56.01,144.47,63.12,-20.59,37.52,74.27,74.27,37.47,-10.26,5.87,10.89,88.21
10,Operating Income,69.55,-87.3,72.51,-265.74,186.27,172.78,269.66,59.92,474.83,277.61,400.83,110.25,110.25,116.61,189.4,23.87,20.76,67.8
11,Interest Expense,-30.76,-41.25,-23.06,-15.67,-34.22,-,-56.45,-32.5,-121.57,-34.38,-41.96,-26.24,-26.24,-20.14,-17.79,-18.23,-18.23,-
12,Interest & Investment Income,-,22.26,33.2,76.53,19.27,30.09,54.21,-,-,114.99,14.73,1.32,1.32,0.26,1.23,1.37,1.37,-
13,Currency Exchange Gain (Loss),-47.43,47.43,-,-13.2,15.71,-15.71,-,23.76,-4.3,4.3,-,1.05,1.05,5.32,-,6.26,6.26,-
14,Other Non Operating Income (Expenses),34.28,-10.3,6.91,7.71,-10.62,-1.3,-0.49,-73.29,65.71,-6.25,0.3,-6.12,-6.12,-10.35,12.94,-7.19,-2.19,-1.21
15,EBT Excluding Unusual Items,25.64,-69.16,89.56,-210.37,176.42,185.86,266.93,-22.1,414.66,356.26,373.9,80.26,80.26,91.7,185.77,6.08,7.97,66.59
16,Impairment of Goodwill,-,-,-,-0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-90.68,-2.47,-11.69,30.3,-14.13,-22.86,-1.62,12.88,6.63,-56.46,-8.14,18.84,18.84,-56.01,0.07,0.35,0.35,-
18,Gain (Loss) on Sale of Assets,-,0.02,-,0.08,0.01,0.89,0.01,-4.33,-7.39,-,0,-0.18,-0.18,-,-,1.74,1.74,-
