,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,4855,2422,2018,2040,2484,3061,3468,3927,-,3509,3998,610.15,610.15,453.46,-,513.45,513.45,-
1,Short-Term Investments,-,-,-,-,-,-,-,207.42,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,142.4,-,-,-,25.2,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,4855,2422,2018,2183,2484,3061,3468,4159,-,3509,3998,610.15,610.15,453.46,513.45,513.45,513.45,-
4,Cash Growth,95.45%,-20.87%,-41.80%,-47.52%,-,-12.78%,-13.27%,581.66%,-,673.90%,678.74%,18.83%,18.83%,-,-,-,-,-
5,Accounts Receivable,851.26,1010,1005,792.88,620.55,702.01,900.17,952.11,-,851.2,873.4,861.21,861.21,534.14,-,427.86,427.86,-
6,Other Receivables,46.89,48.99,67.39,55.95,23.71,34.35,2.83,68.5,-,124.14,14.5,81.62,81.62,15.53,-,141.9,2.37,-
7,Receivables,898.15,1059,1073,848.83,644.27,736.35,903.01,1021,-,975.34,887.9,942.83,942.83,549.67,-,569.76,430.23,-
8,Inventory,3365,3586,3718,3536,4144,3791,3269,2457,-,2937,2345,1907,1907,1603,-,1237,1237,-
9,Prepaid Expenses,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,1022,636.6,620.56,622.28,813.51,494.42,853.24,647.07,-,563.89,789.21,558.47,558.47,261.55,-,259.16,398.69,-
11,Total Current Assets,10140,7703,7430,7190,8086,8083,8493,8284,-,7985,8021,4018,4018,2867,-,2579,2579,-
12,"Property, Plant & Equipment",6257,5489,4809,3965,3970,3573,3396,3250,-,2683,2696,2708,2708,2201,-,1911,1911,-
13,Long-Term Investments,25.9,26.1,26.08,26.06,25.85,26.01,25.96,25.96,-,31.17,29.21,29.94,29.94,29.73,-,30,30,-
14,Other Intangible Assets,446.43,452.48,447.05,388.26,387.05,389.97,389.14,392.02,-,148.44,147.42,148.57,148.57,148.88,-,151,151,-
15,Long-Term Deferred Tax Assets,67.46,36.46,31.07,37.21,21.78,18.71,17.89,29.98,-,35.62,25.71,24.07,24.07,44.31,-,49.03,49.03,-
16,Long-Term Deferred Charges,34.54,37.79,39.83,41.36,18.28,19.41,20.08,22.06,-,26.93,24.5,25.05,25.05,27.08,-,26.48,26.48,-
17,Other Long-Term Assets,382.04,686.44,665.62,1113,618.19,302.9,65.12,72.77,-,109.59,79.88,43.31,43.31,157.25,-,92.56,92.56,-
18,Total Assets,17353,14432,13448,12761,13127,12413,12407,12076,-,11020,11024,6997,6997,5476,-,4839,4839,-
19,Accounts Payable,998.54,909.57,951.55,1178,1179,914.42,942.07,977.43,-,869.66,1831,929.52,929.52,797.6,-,518.47,518.47,-
20,Accrued Expenses,39.59,111.44,24.05,85.88,33.93,72.75,20.16,88.78,-,74.23,15.09,63.49,63.49,33.48,-,32.48,32.48,-
21,Short-Term Debt,3730,3508,3400,3132,3828,3912,4064,3778,-,3325,2180,2280,2280,1398,-,1012,1012,-
22,Current Portion of Long-Term Debt,593.79,570.97,600.37,521.18,162.91,68.64,20.16,40.47,-,65.21,112.89,68.72,68.72,78.1,-,45.93,-,-
23,Current Portion of Leases,-,4.37,-,4.3,-,-,-,-,-,3.78,-,3.7,3.7,-,-,-,-,-
24,Current Income Taxes Payable,38.73,3.1,44.22,5.65,41.04,23.48,52.05,46.3,-,118.57,64.81,16.27,16.27,13.72,-,4.71,4.71,-
25,Current Unearned Revenue,596.88,540.22,495.95,409.26,540.99,494.36,682.25,575.41,-,699.89,614.91,596.18,596.18,462.6,-,667.63,667.63,-
26,Other Current Liabilities,213.55,103.09,119.24,90.06,144.4,96.03,105.54,83.64,-,123.54,109.56,82.11,82.11,114.18,-,98.5,144.43,-
27,Total Current Liabilities,6211,5750,5636,5426,5930,5582,5886,5590,-,5280,4929,4040,4040,2898,-,2380,2380,-
28,Long-Term Debt,4080,1517,888.81,726.98,641.07,449.5,210,137.03,-,178.33,703.8,762.69,762.69,689.03,-,626.65,626.65,-
29,Long-Term Leases,1.13,5,5.03,5.45,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Unearned Revenue,1517,1508,1180,892.07,761.99,722.61,692.17,643.78,-,382.35,390.64,398.24,398.24,351.39,-,365.48,365.48,-
31,Long-Term Deferred Tax Liabilities,0.31,-,1.65,1.83,1.07,0.41,3.07,3.05,-,0.62,6.4,5.86,5.86,1.49,-,-,-,-
32,Other Long-Term Liabilities,-,-,-,-,-,-,-,13.89,-,-,-,-,-,-,-,120.03,120.03,-
33,Total Liabilities,11810,8780,7711,7053,7337,6754,6791,6388,-,5841,6030,5207,5207,3939,-,3492,3492,-
34,Common Stock,515.09,515.09,515.09,515.09,515.09,515.09,343.4,343.4,-,343.4,343.4,257.55,257.55,257.55,-,257.55,257.55,-
35,Additional Paid-In Capital,3508,3508,3508,3508,3508,3508,3708,3956,-,3856,3856,1027,1027,1027,-,1026,1026,-
36,Retained Earnings,1553,1690,1768,1723,1767,1636,1565,1389,-,979.35,794.7,505.7,505.7,251.99,-,63.79,63.79,-
37,Treasury Stock,-60.07,-59.56,-53.51,-37.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,25.38,-1.59,-0.25,0.03,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,5541,5651,5737,5708,5790,5659,5616,5688,-,5179,4994,1790,1790,1537,1348,1348,1348,-
40,Minority Interest,1.49,0.63,0.46,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Shareholders' Equity,5543,5652,5738,5708,5790,5659,5616,5688,-,5179,4994,1790,1790,1537,1348,1348,1348,-
42,Total Liabilities & Equity,17353,14432,13448,12761,13127,12413,12407,12076,-,11020,11024,6997,6997,5476,-,4839,4839,-
43,Total Debt,8405,5605,4895,4390,4635,4430,4294,3956,-,3573,2997,3115,3115,2165,1684,1684,1638,-
44,Net Cash (Debt),-3551,-3183,-2876,-2208,-2152,-1369,-825.96,203.29,-,-63.25,1001,-2505,-2505,-1712,-1171,-1171,-1125,-
45,Net Cash Per Share,-7.56,-5.52,-5.72,-4.38,-4.13,-2.70,-1.58,0.40,-,-0.12,2.60,-6.52,-6.52,-4.39,-3.05,-3.06,-2.94,-
46,Filing Date Shares Outstanding,510.5,510.5,503.13,512.38,515.09,515.09,515.09,515.09,513.84,515.09,515.09,515.09,515.09,386.32,515.09,386.32,386.32,-
47,Total Common Shares Outstanding,510.5,510.54,503.13,512.38,515.09,515.09,515.09,515.09,513.84,515.09,515.09,386.32,386.32,386.32,386.32,386.32,386.32,-
48,Working Capital,3928,1953,1794,1764,2156,2501,2607,2693,-,2705,3092,-22.03,-22.03,-30.21,-,199.67,199.67,-
49,Book Value Per Share,10.85,11.07,11.40,11.14,11.24,10.99,10.90,11.04,-,10.05,9.70,4.63,4.63,3.98,3.49,3.49,3.49,-
