,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6846,5963,5734,6300,7278,7587,8566,9694,9849,9673,10834,11627,-,-,-,-,-,-,-
1,Market Cap Growth,-21.41%,-21.41%,-33.07%,-35.02%,-26.10%,-21.57%,-20.94%,-16.63%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10398,9146,8610,8451,9430,8957,9392,9716,9860,9737,9833,13339,-,-,-,-,-,-,-
3,Last Close Price,13.41,11.68,11.19,12.07,13.94,14.53,16.41,18.36,18.65,18.32,20.52,21.87,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,22.67,-,13.71,11.21,11.13,10.31,9.59,13.64,19.82,-,-,-,-,-,-,-
5,Forward PE,51.58,30.74,8.17,8.03,9.39,6.48,7.38,8.43,6.74,7.02,13.66,-,-,-,-,-,-,-,-
6,PS Ratio,0.39,0.34,0.33,0.36,0.42,0.43,0.45,0.50,0.51,0.56,0.76,1.00,-,-,-,-,-,-,-
7,PB Ratio,1.24,1.08,1.01,1.10,1.28,1.31,1.51,1.73,1.73,-,2.09,2.33,-,-,-,-,-,-,-
8,P/TBV Ratio,1.17,1.17,1.10,1.19,1.37,1.40,1.63,1.85,1.86,-,2.15,2.40,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-5.97,-,-,-,-,-,-,-113.25,-19.28,-,-9.91,-,-,-,-,-,-,-
10,P/OCF Ratio,3.99,3.99,10.73,-,-57.41,-,-,-,9.46,75.42,-,-19.89,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.58,0.51,0.49,0.49,0.54,0.51,0.50,0.50,0.51,0.56,0.69,1.15,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,122.76,153.22,-,20.52,-,9.80,7.92,7.57,7.05,6.77,9.11,14.88,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-43.35,-,50.96,-,13.01,9.61,8.98,8.13,7.71,10.94,18.08,-,-,-,-,-,-,-
14,EV/FCF Ratio,-10.41,-9.16,-,-,-,-,-,-,-113.38,-19.41,-,-11.37,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.52,1.52,0.99,0.85,0.77,0.80,0.78,0.76,0.70,-,0.69,0.60,1.74,1.74,1.41,1.25,1.25,1.22,-
16,Debt / EBITDA Ratio,99.24,15.58,-,8.88,-,4.80,4.72,3.30,8.33,-,2.68,1.71,5.02,5.02,3.64,1.89,7.20,7.40,-
17,Debt / FCF Ratio,-,-8.42,-,-,-,-,-,-,-45.49,-,-,-2.55,-,-,-,-,-,-,-
18,Asset Turnover,1.14,1.26,1.30,1.43,1.37,1.33,1.43,-,-,1.63,2.01,1.48,1.66,-,-,2.25,-,-,
19,Inventory Turnover,4.70,5.09,4.81,4.51,4.92,4.17,4.51,5.68,-,-,6.43,7.69,5.03,5.47,-,-,8.71,-,-
20,Quick Ratio,0.93,0.93,0.61,0.55,0.56,0.53,0.68,0.74,0.93,-,0.85,0.99,0.38,0.38,0.35,-,0.46,0.40,-
21,Current Ratio,1.63,1.63,1.34,1.32,1.32,1.36,1.45,1.44,1.48,-,1.51,1.63,0.99,0.99,0.99,-,1.08,1.08,-
22,Return on Equity (ROE),-9.67%,-0.13%,3.19%,-3.07%,9.12%,10.36%,14.43%,-,-,19.86%,33.95%,28.34%,30.50%,12.47%,42.51%,7.16%,-,-,
23,Return on Assets (ROA),1.09%,-1.57%,1.38%,-5.13%,3.65%,3.48%,5.51%,-,-,6.30%,11.12%,3.94%,4.42%,-,-,1.23%,-,-,
24,Return on Capital (ROIC),1.38%,-1.99%,1.75%,-6.47%,4.54%,4.32%,6.89%,-,-,8.29%,15.54%,5.62%,6.40%,8.66%,15.62%,1.98%,-,-,
25,Return on Capital Employed (ROCE),-,-1.89%,-,2.12%,-,9.57%,14.30%,16.59%,18.70%,-,15.66%,12.11%,17.80%,14.88%,13.60%,-,4.57%,3.60%,-
